Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Turionifera1,Turionifera2,Turionifera3,,,Duckweed_Notes,,,,,Notes
Jul-26,Jul-31,simplelong15_000_1,15,0,1,0,8,1,,,,,,,,,,,,,,
Jul-26,Jul-31,simplelong15_090_1,15,0.9,3,6,6,0,,,,,,,,,,,,,,
Jul-26,Jul-31,simplelong15_060_1,15,0.6,5,0,3,4,,,,,,,,,,,,,,
Jul-26,Jul-31,simplelong15_090_rev_1,15,0.9,6,0,0,1,,,,,,,,,,,,,,
Aug-02,Aug-07,simplelong19_000_1,19,0,1,12,16,21,,,,,,,,,,,,,,
Aug-02,Aug-07,N/A,19,0,2,18,15,17,,,,,,,,,,,,,,run at constant temperature
Aug-02,Aug-07,simplelong19_060_1,19,0.6,3,19,16,14,,,,,,,,,,,,,,
Aug-02,Aug-07,simplelong19_095_1,19,0.95,5,22,23,8,,,,,,,,,,,,,,
Aug-02,Aug-07,simplelong19_095_rev_1,19,0.95,6,19,17,8,,,,,,,,,,,,,,
Aug-09,Aug-14,simplelong23_000_1,23,0,1,21,21,22,,,,,,,,,,,,,,
Aug-09,Aug-14,simplelong23_060_1,23,0.6,3,23,26,20,,,,,,,,,,,,,,
Aug-09,Aug-14,simplelong23_095_1,23,0.95,5,24,22,27,,,,,,,,,,,,,,
Aug-09,Aug-14,simplelong23_095_rev_1,23,0.95,6,28,17,20,,,,,,,,,,,,,,
Aug-16,Aug-21,simplelong27_000_1,27,0,1,10,9,7,,,,,,,,,,,,,,possible power outage affecting results from Aug 16-21
Aug-16,Aug-21,simplelong27_060_1,27,0.6,3,7,2,2,,,,,,,,,,,,,,
Aug-16,Aug-21,simplelong27_095_1,27,0.95,5,16,17,25,,,,,,,,,,,,,,
Aug-16,Aug-21,simplelong27_095_rev_1,27,0.95,6,22,1,7,,,,,,,,,,,,,,
