"Plot Title: random"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316906, SEN S/N: 10316906)","Intensity, Lux (LGR S/N: 10316906, SEN S/N: 10316906)","Coupler Detached (LGR S/N: 10316906)","Coupler Attached (LGR S/N: 10316906)","Host Connected (LGR S/N: 10316906)","Stopped (LGR S/N: 10316906)","End Of File (LGR S/N: 10316906)"
1,04/17/25 02:42:56  PM,23.581,0.0,,,,,
2,04/17/25 02:43:02  PM,,,Logged,,,,
3,04/17/25 03:42:56  PM,25.319,15844.5,,,,,
4,04/17/25 04:42:56  PM,22.525,3961.1,,,,,
5,04/17/25 05:42:56  PM,22.908,2497.2,,,,,
6,04/17/25 06:42:56  PM,22.238,527.4,,,,,
7,04/17/25 07:42:56  PM,20.615,150.7,,,,,
8,04/17/25 08:42:56  PM,19.092,10.8,,,,,
9,04/17/25 09:42:56  PM,18.045,10.8,,,,,
10,04/17/25 10:42:56  PM,17.379,10.8,,,,,
11,04/17/25 11:42:56  PM,16.903,0.0,,,,,
12,04/18/25 12:42:56  AM,16.618,0.0,,,,,
13,04/18/25 01:42:56  AM,16.427,0.0,,,,,
14,04/18/25 02:42:56  AM,16.332,0.0,,,,,
15,04/18/25 03:42:56  AM,16.999,1722.2,,,,,
16,04/18/25 04:42:56  AM,17.475,1722.2,,,,,
17,04/18/25 05:42:56  AM,18.045,1722.2,,,,,
18,04/18/25 06:42:56  AM,18.331,1808.3,,,,,
19,04/18/25 07:42:56  AM,18.901,2152.8,,,,,
20,04/18/25 08:42:56  AM,19.472,2927.8,,,,,
21,04/18/25 09:42:56  AM,19.662,527.4,,,,,
22,04/18/25 10:42:56  AM,19.472,409.0,,,,,
23,04/18/25 11:42:56  AM,20.138,3272.2,,,,,
24,04/18/25 12:42:56  PM,21.664,1636.1,,,,,
25,04/18/25 01:42:56  PM,23.196,4650.0,,,,,
26,04/18/25 02:42:56  PM,24.158,893.4,,,,,
27,04/18/25 03:42:56  PM,23.581,2927.8,,,,,
28,04/18/25 04:42:56  PM,25.028,2583.4,,,,,
29,04/18/25 05:42:56  PM,26.195,1377.8,,,,,
30,04/18/25 06:42:56  PM,25.416,419.8,,,,,
31,04/18/25 07:42:56  PM,24.158,43.1,,,,,
32,04/18/25 08:42:56  PM,23.004,10.8,,,,,
33,04/18/25 09:42:56  PM,22.142,10.8,,,,,
34,04/18/25 10:42:56  PM,21.569,10.8,,,,,
35,04/18/25 11:42:56  PM,21.473,0.0,,,,,
36,04/19/25 12:42:56  AM,21.473,0.0,,,,,
37,04/19/25 01:42:56  AM,21.569,0.0,,,,,
38,04/19/25 02:42:56  AM,21.664,0.0,,,,,
39,04/19/25 03:42:56  AM,22.238,1722.2,,,,,
40,04/19/25 04:42:56  AM,22.621,1722.2,,,,,
41,04/19/25 05:42:56  AM,22.908,1722.2,,,,,
42,04/19/25 06:42:56  AM,23.100,1808.3,,,,,
43,04/19/25 07:42:56  AM,23.484,2411.1,,,,,
44,04/19/25 08:42:56  AM,24.545,4822.3,,,,,
45,04/19/25 09:42:56  AM,25.610,2583.4,,,,,
46,04/19/25 10:42:56  AM,25.805,2669.5,,,,,
47,04/19/25 11:42:56  AM,25.610,1377.8,,,,,
48,04/19/25 12:42:56  PM,24.448,1011.8,,,,,
49,04/19/25 01:42:56  PM,23.773,1894.5,,,,,
50,04/19/25 02:42:56  PM,23.484,1345.5,,,,,
51,04/19/25 03:42:56  PM,22.812,871.9,,,,,
52,04/19/25 04:42:56  PM,22.333,1108.7,,,,,
53,04/19/25 05:42:56  PM,21.473,742.7,,,,,
54,04/19/25 06:42:56  PM,20.710,247.6,,,,,
55,04/19/25 07:42:56  PM,19.948,86.1,,,,,
56,04/19/25 08:42:56  PM,19.282,10.8,,,,,
57,04/19/25 09:42:56  PM,18.521,10.8,,,,,
58,04/19/25 10:42:56  PM,17.665,10.8,,,,,
59,04/19/25 11:42:56  PM,17.094,0.0,,,,,
60,04/20/25 12:42:56  AM,16.523,0.0,,,,,
61,04/20/25 01:42:56  AM,16.046,0.0,,,,,
62,04/20/25 02:42:56  AM,15.664,0.0,,,,,
63,04/20/25 03:42:56  AM,15.760,1808.3,,,,,
64,04/20/25 04:42:56  AM,15.760,1808.3,,,,,
65,04/20/25 05:42:56  AM,15.951,1808.3,,,,,
66,04/20/25 06:42:56  AM,16.141,1894.5,,,,,
67,04/20/25 07:42:56  AM,16.427,2583.4,,,,,
68,04/20/25 08:42:56  AM,18.331,5166.7,,,,,
69,04/20/25 09:42:56  AM,20.996,7233.4,,,,,
70,04/20/25 10:42:56  AM,23.677,5511.1,,,,,
71,04/20/25 11:42:56  AM,26.585,10333.4,,,,,
72,04/20/25 12:42:56  PM,28.754,7233.4,,,,,
73,04/20/25 01:42:56  PM,30.255,5166.7,,,,,
74,04/20/25 02:42:56  PM,31.268,4994.5,,,,,
75,04/20/25 03:42:56  PM,31.574,4650.0,,,,,
76,04/20/25 04:42:56  PM,30.154,2755.6,,,,,
77,04/20/25 05:42:56  PM,28.060,1550.0,,,,,
78,04/20/25 06:42:56  PM,25.416,807.3,,,,,
79,04/20/25 07:42:56  PM,23.004,183.0,,,,,
80,04/20/25 08:42:56  PM,20.996,10.8,,,,,
81,04/20/25 09:42:56  PM,19.377,10.8,,,,,
82,04/20/25 10:42:56  PM,18.521,10.8,,,,,
83,04/20/25 11:42:56  PM,17.855,0.0,,,,,
84,04/21/25 12:42:56  AM,17.475,0.0,,,,,
85,04/21/25 01:42:56  AM,17.284,0.0,,,,,
86,04/21/25 02:42:56  AM,17.189,0.0,,,,,
87,04/21/25 03:42:56  AM,17.570,1808.3,,,,,
88,04/21/25 04:42:56  AM,17.855,1808.3,,,,,
89,04/21/25 05:42:56  AM,17.950,1808.3,,,,,
90,04/21/25 06:42:56  AM,18.045,1894.5,,,,,
91,04/21/25 07:42:56  AM,18.236,1980.6,,,,,
92,04/21/25 08:42:56  AM,18.331,3272.2,,,,,
93,04/21/25 09:42:56  AM,18.901,1270.1,,,,,
94,04/21/25 10:42:56  AM,20.710,871.9,,,,,
95,04/21/25 11:42:56  AM,20.805,1334.7,,,,,
96,04/21/25 12:42:56  PM,20.805,398.3,,,,,
97,04/21/25 01:42:56  PM,20.043,1205.6,,,,,
98,04/21/25 02:42:56  PM,20.710,344.4,,,,,
99,04/21/25 03:42:56  PM,23.869,8266.7,,,,,
100,04/21/25 04:42:56  PM,26.977,4305.6,,,,,
101,04/21/25 05:42:56  PM,27.468,753.5,,,,,
102,04/21/25 06:42:56  PM,26.195,710.4,,,,,
103,04/21/25 07:42:56  PM,24.062,64.6,,,,,
104,04/21/25 08:42:56  PM,22.717,0.0,,,,,
105,04/21/25 09:42:56  PM,21.664,0.0,,,,,
106,04/21/25 10:42:56  PM,20.710,0.0,,,,,
107,04/21/25 11:42:56  PM,19.853,0.0,,,,,
108,04/22/25 12:42:56  AM,19.282,0.0,,,,,
109,04/22/25 01:42:56  AM,18.901,0.0,,,,,
110,04/22/25 02:42:56  AM,18.426,0.0,,,,,
111,04/22/25 03:42:56  AM,18.426,1980.6,,,,,
112,04/22/25 04:42:56  AM,18.711,1980.6,,,,,
113,04/22/25 05:42:56  AM,18.901,1980.6,,,,,
114,04/22/25 06:42:56  AM,18.901,2066.7,,,,,
115,04/22/25 07:42:56  AM,19.187,3100.0,,,,,
116,04/22/25 08:42:56  AM,20.234,2669.5,,,,,
117,04/22/25 09:42:56  AM,21.951,1722.2,,,,,
118,04/22/25 10:42:56  AM,24.738,5166.7,,,,,
119,04/22/25 11:42:56  AM,27.961,7233.4,,,,,
120,04/22/25 12:42:56  PM,30.862,8266.7,,,,,
121,04/22/25 01:42:56  PM,32.600,6200.0,,,,,
122,04/22/25 02:42:56  PM,33.953,10333.4,,,,,
123,04/22/25 03:42:56  PM,34.479,9644.5,,,,,
124,04/22/25 04:42:56  PM,33.326,4994.5,,,,,
125,04/22/25 05:42:56  PM,31.370,3788.9,,,,,
126,04/22/25 06:42:56  PM,28.655,742.7,,,,,
127,04/22/25 07:42:56  PM,25.902,150.7,,,,,
128,04/22/25 08:42:56  PM,23.773,0.0,,,,,
129,04/22/25 09:42:56  PM,22.142,0.0,,,,,
130,04/22/25 10:42:56  PM,20.901,0.0,,,,,
131,04/22/25 11:42:56  PM,20.138,0.0,,,,,
132,04/23/25 12:42:56  AM,19.853,0.0,,,,,
133,04/23/25 01:42:56  AM,19.567,0.0,,,,,
134,04/23/25 02:42:56  AM,19.472,0.0,,,,,
135,04/23/25 03:42:56  AM,19.853,1980.6,,,,,
136,04/23/25 04:42:56  AM,20.234,1980.6,,,,,
137,04/23/25 05:42:56  AM,20.329,1980.6,,,,,
138,04/23/25 06:42:56  AM,20.234,2066.7,,,,,
139,04/23/25 07:42:56  AM,20.519,2411.1,,,,,
140,04/23/25 08:42:56  AM,21.760,3272.2,,,,,
141,04/23/25 09:42:56  AM,24.062,3788.9,,,,,
142,04/23/25 10:42:56  AM,26.195,4305.6,,,,,
143,04/23/25 11:42:56  AM,29.752,6544.5,,,,,
144,04/23/25 12:42:56  PM,32.497,7577.8,,,,,
145,04/23/25 01:42:56  PM,33.222,2583.4,,,,,
146,04/23/25 02:42:56  PM,33.222,3100.0,,,,,
147,04/23/25 03:42:56  PM,34.585,9644.5,,,,,
148,04/23/25 04:42:56  PM,34.479,4822.3,,,,,
149,04/23/25 05:42:56  PM,32.497,3616.7,,,,,
150,04/23/25 06:42:56  PM,29.352,968.8,,,,,
151,04/23/25 07:42:56  PM,26.292,161.5,,,,,
152,04/23/25 08:42:56  PM,23.966,0.0,,,,,
153,04/23/25 09:42:56  PM,22.717,0.0,,,,,
154,04/23/25 10:42:56  PM,21.951,0.0,,,,,
155,04/23/25 11:42:56  PM,21.187,0.0,,,,,
156,04/24/25 12:42:56  AM,20.519,0.0,,,,,
157,04/24/25 01:42:56  AM,20.043,0.0,,,,,
158,04/24/25 02:42:56  AM,19.662,0.0,,,,,
159,04/24/25 03:42:56  AM,19.853,1894.5,,,,,
160,04/24/25 04:42:56  AM,20.234,1894.5,,,,,
161,04/24/25 05:42:56  AM,20.424,1894.5,,,,,
162,04/24/25 06:42:56  AM,20.615,2066.7,,,,,
163,04/24/25 07:42:56  AM,20.901,2927.8,,,,,
164,04/24/25 08:42:56  AM,22.621,3616.7,,,,,
165,04/24/25 09:42:56  AM,25.222,4133.4,,,,,
166,04/24/25 10:42:56  AM,27.665,3961.1,,,,,
167,04/24/25 11:42:56  AM,30.356,6544.5,,,,,
168,04/24/25 12:42:56  PM,32.086,3616.7,,,,,
169,04/24/25 01:42:56  PM,33.326,5511.1,,,,,
170,04/24/25 02:42:56  PM,33.953,7233.4,,,,,
171,04/24/25 03:42:56  PM,33.953,3444.5,,,,,
172,04/24/25 04:42:56  PM,33.326,3961.1,,,,,
173,04/24/25 05:42:56  PM,32.086,3100.0,,,,,
174,04/24/25 06:42:56  PM,29.853,452.1,,,,,
175,04/24/25 07:42:56  PM,27.468,150.7,,,,,
176,04/24/25 08:42:56  PM,25.319,0.0,,,,,
177,04/24/25 09:42:56  PM,23.773,0.0,,,,,
178,04/24/25 10:42:56  PM,22.142,0.0,,,,,
179,04/24/25 11:42:56  PM,21.473,0.0,,,,,
180,04/25/25 12:42:56  AM,20.996,0.0,,,,,
181,04/25/25 01:42:56  AM,20.519,0.0,,,,,
182,04/25/25 02:42:56  AM,20.234,0.0,,,,,
183,04/25/25 03:42:56  AM,20.234,1722.2,,,,,
184,04/25/25 04:42:56  AM,20.329,1722.2,,,,,
185,04/25/25 05:42:56  AM,20.424,1722.2,,,,,
186,04/25/25 06:42:56  AM,20.424,1808.3,,,,,
187,04/25/25 07:42:56  AM,20.901,2325.0,,,,,
188,04/25/25 08:42:56  AM,22.046,3272.2,,,,,
189,04/25/25 09:42:56  AM,23.004,2238.9,,,,,
190,04/25/25 10:42:56  AM,23.677,1550.0,,,,,
191,04/25/25 11:42:56  AM,25.319,2927.8,,,,,
192,04/25/25 12:42:56  PM,25.902,2755.6,,,,,
193,04/25/25 01:42:56  PM,26.292,3961.1,,,,,
194,04/25/25 02:42:56  PM,28.754,3100.0,,,,,
195,04/25/25 03:42:56  PM,30.659,6200.0,,,,,
196,04/25/25 04:42:56  PM,30.054,4305.6,,,,,
197,04/25/25 05:42:56  PM,27.272,1237.9,,,,,
198,04/25/25 06:42:56  PM,24.835,602.8,,,,,
199,04/25/25 07:42:56  PM,22.812,118.4,,,,,
200,04/25/25 08:42:56  PM,21.569,0.0,,,,,
201,04/25/25 09:42:56  PM,20.805,0.0,,,,,
202,04/25/25 10:42:56  PM,20.424,0.0,,,,,
203,04/25/25 11:42:56  PM,20.424,0.0,,,,,
204,04/26/25 12:42:56  AM,20.138,0.0,,,,,
205,04/26/25 01:42:56  AM,19.948,0.0,,,,,
206,04/26/25 02:42:56  AM,19.758,0.0,,,,,
207,04/26/25 03:42:56  AM,20.043,1722.2,,,,,
208,04/26/25 04:42:56  AM,20.234,1722.2,,,,,
209,04/26/25 05:42:56  AM,19.377,1722.2,,,,,
210,04/26/25 06:42:56  AM,17.855,1722.2,,,,,
211,04/26/25 07:42:56  AM,16.427,2152.8,,,,,
212,04/26/25 08:42:56  AM,15.569,2238.9,,,,,
213,04/26/25 09:42:56  AM,14.996,1324.0,,,,,
214,04/26/25 10:42:56  AM,15.378,1722.2,,,,,
215,04/26/25 11:42:56  AM,15.091,1722.2,,,,,
216,04/26/25 12:42:56  PM,15.282,1894.5,,,,,
217,04/26/25 01:42:56  PM,15.855,5511.1,,,,,
218,04/26/25 02:42:56  PM,15.951,1044.1,,,,,
219,04/26/25 03:42:56  PM,15.855,2497.2,,,,,
220,04/26/25 04:42:56  PM,16.046,1280.9,,,,,
221,04/26/25 05:42:56  PM,15.187,1119.5,,,,,
222,04/26/25 06:42:56  PM,14.325,430.6,,,,,
223,04/26/25 07:42:56  PM,13.365,129.2,,,,,
224,04/26/25 08:42:56  PM,12.980,0.0,,,,,
225,04/26/25 09:42:56  PM,12.883,0.0,,,,,
226,04/26/25 10:42:56  PM,13.173,0.0,,,,,
227,04/26/25 11:42:56  PM,13.076,0.0,,,,,
228,04/27/25 12:42:56  AM,12.401,0.0,,,,,
229,04/27/25 01:42:56  AM,11.916,0.0,,,,,
230,04/27/25 02:42:56  AM,11.528,0.0,,,,,
231,04/27/25 03:42:56  AM,11.916,1636.1,,,,,
232,04/27/25 04:42:56  AM,12.110,1636.1,,,,,
233,04/27/25 05:42:56  AM,12.110,1636.1,,,,,
234,04/27/25 06:42:56  AM,11.819,1722.2,,,,,
235,04/27/25 07:42:56  AM,12.690,2669.5,,,,,
236,04/27/25 08:42:56  AM,14.900,3961.1,,,,,
237,04/27/25 09:42:56  AM,17.760,4133.4,,,,,
238,04/27/25 10:42:56  AM,20.424,3616.7,,,,,
239,04/27/25 11:42:56  AM,22.717,4477.8,,,,,
240,04/27/25 12:42:56  PM,25.222,5338.9,,,,,
241,04/27/25 01:42:56  PM,26.488,4650.0,,,,,
242,04/27/25 02:42:56  PM,27.075,7233.4,,,,,
243,04/27/25 03:42:56  PM,27.567,7577.8,,,,,
244,04/27/25 04:42:56  PM,26.683,4822.3,,,,,
245,04/27/25 05:42:56  PM,25.319,3272.2,,,,,
246,04/27/25 06:42:56  PM,23.292,366.0,,,,,
247,04/27/25 07:42:56  PM,20.901,86.1,,,,,
248,04/27/25 08:42:56  PM,19.377,0.0,,,,,
249,04/27/25 09:42:56  PM,18.331,0.0,,,,,
250,04/27/25 10:42:56  PM,17.189,0.0,,,,,
251,04/27/25 11:42:56  PM,16.141,0.0,,,,,
252,04/28/25 12:42:56  AM,15.282,0.0,,,,,
253,04/28/25 01:42:56  AM,14.421,0.0,,,,,
254,04/28/25 02:42:56  AM,13.750,0.0,,,,,
