"Plot Title: 2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,05/02/25 12:58:56  PM,23.677,0.0,,,,,
2,05/02/25 01:02:36  PM,,,Logged,,,,
3,05/02/25 01:58:56  PM,23.677,7577.8,,,,,
4,05/02/25 02:58:56  PM,24.255,3444.5,,,,,
5,05/02/25 03:58:56  PM,25.902,8611.2,,,,,
6,05/02/25 04:58:56  PM,24.835,1980.6,,,,,
7,05/02/25 05:58:56  PM,23.196,1377.8,,,,,
8,05/02/25 06:58:56  PM,23.292,1022.6,,,,,
9,05/02/25 07:58:56  PM,22.717,215.3,,,,,
10,05/02/25 08:58:56  PM,21.569,0.0,,,,,
11,05/02/25 09:58:56  PM,20.996,0.0,,,,,
12,05/02/25 10:58:56  PM,20.138,0.0,,,,,
13,05/02/25 11:58:56  PM,19.472,0.0,,,,,
14,05/03/25 12:58:56  AM,19.092,0.0,,,,,
15,05/03/25 01:58:56  AM,18.711,0.0,,,,,
16,05/03/25 02:58:56  AM,18.426,0.0,,,,,
17,05/03/25 03:58:56  AM,18.616,2325.0,,,,,
18,05/03/25 04:58:56  AM,18.806,2325.0,,,,,
19,05/03/25 05:58:56  AM,18.711,2325.0,,,,,
20,05/03/25 06:58:56  AM,16.903,2411.1,,,,,
21,05/03/25 07:58:56  AM,15.855,3100.0,,,,,
22,05/03/25 08:58:56  AM,15.951,3788.9,,,,,
23,05/03/25 09:58:56  AM,15.282,1894.5,,,,,
24,05/03/25 10:58:56  AM,15.569,1636.1,,,,,
25,05/03/25 11:58:56  AM,16.141,3100.0,,,,,
26,05/03/25 12:58:56  PM,17.665,4650.0,,,,,
27,05/03/25 01:58:56  PM,19.092,4133.4,,,,,
28,05/03/25 02:58:56  PM,20.329,6200.0,,,,,
29,05/03/25 03:58:56  PM,20.424,3100.0,,,,,
30,05/03/25 04:58:56  PM,19.853,1980.6,,,,,
31,05/03/25 05:58:56  PM,19.187,1377.8,,,,,
32,05/03/25 06:58:56  PM,20.138,688.9,,,,,
33,05/03/25 07:58:56  PM,20.519,172.2,,,,,
34,05/03/25 08:58:56  PM,20.329,0.0,,,,,
35,05/03/25 09:58:56  PM,20.138,0.0,,,,,
36,05/03/25 10:58:56  PM,19.758,0.0,,,,,
37,05/03/25 11:58:56  PM,19.282,0.0,,,,,
38,05/04/25 12:58:56  AM,18.901,0.0,,,,,
39,05/04/25 01:58:56  AM,18.426,0.0,,,,,
40,05/04/25 02:58:56  AM,18.045,0.0,,,,,
41,05/04/25 03:58:56  AM,18.331,2238.9,,,,,
42,05/04/25 04:58:56  AM,18.806,2238.9,,,,,
43,05/04/25 05:58:56  AM,18.996,2238.9,,,,,
44,05/04/25 06:58:56  AM,17.284,2497.2,,,,,
45,05/04/25 07:58:56  AM,16.618,3444.5,,,,,
46,05/04/25 08:58:56  AM,17.665,4822.3,,,,,
47,05/04/25 09:58:56  AM,18.140,4133.4,,,,,
48,05/04/25 10:58:56  AM,19.758,2755.6,,,,,
49,05/04/25 11:58:56  AM,19.948,3616.7,,,,,
50,05/04/25 12:58:56  PM,20.615,3100.0,,,,,
51,05/04/25 01:58:56  PM,20.996,2755.6,,,,,
52,05/04/25 02:58:56  PM,19.948,2066.7,,,,,
53,05/04/25 03:58:56  PM,19.377,1808.3,,,,,
54,05/04/25 04:58:56  PM,18.806,979.5,,,,,
55,05/04/25 05:58:56  PM,18.236,1636.1,,,,,
56,05/04/25 06:58:56  PM,19.662,667.4,,,,,
