"Plot Title: 4"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316955, SEN S/N: 10316955)","Intensity, Lux (LGR S/N: 10316955, SEN S/N: 10316955)","Coupler Detached (LGR S/N: 10316955)","Coupler Attached (LGR S/N: 10316955)","Host Connected (LGR S/N: 10316955)","Stopped (LGR S/N: 10316955)","End Of File (LGR S/N: 10316955)"
1,04/28/25 04:09:34  PM,22.046,0.0,,,,,
2,04/28/25 04:09:38  PM,,,Logged,,,,
3,04/28/25 05:09:34  PM,29.352,4994.5,,,,,
4,04/28/25 06:09:34  PM,26.585,2583.4,,,,,
5,04/28/25 07:09:34  PM,23.966,570.5,,,,,
6,04/28/25 08:09:34  PM,22.046,107.6,,,,,
7,04/28/25 09:09:34  PM,20.710,0.0,,,,,
8,04/28/25 10:09:34  PM,21.282,0.0,,,,,
9,04/28/25 11:09:34  PM,21.664,0.0,,,,,
10,04/29/25 12:09:34  AM,21.664,0.0,,,,,
11,04/29/25 01:09:34  AM,21.187,0.0,,,,,
12,04/29/25 02:09:34  AM,19.377,0.0,,,,,
13,04/29/25 03:09:34  AM,18.426,0.0,,,,,
14,04/29/25 04:09:34  AM,18.616,1550.0,,,,,
15,04/29/25 05:09:34  AM,18.996,1550.0,,,,,
16,04/29/25 06:09:34  AM,20.805,1636.1,,,,,
17,04/29/25 07:09:34  AM,22.142,1722.2,,,,,
18,04/29/25 08:09:34  AM,23.677,2238.9,,,,,
19,04/29/25 09:09:34  AM,24.931,1980.6,,,,,
20,04/29/25 10:09:34  AM,24.351,1377.8,,,,,
21,04/29/25 11:09:34  AM,24.351,2755.6,,,,,
22,04/29/25 12:09:34  PM,25.902,7577.8,,,,,
23,04/29/25 01:09:34  PM,28.258,7233.4,,,,,
24,04/29/25 02:09:34  PM,30.255,1722.2,,,,,
25,04/29/25 03:09:34  PM,30.255,3616.7,,,,,
26,04/29/25 04:09:34  PM,30.255,1894.5,,,,,
27,04/29/25 05:09:34  PM,29.452,947.2,,,,,
28,04/29/25 06:09:34  PM,26.683,839.6,,,,,
29,04/29/25 07:09:34  PM,23.677,409.0,,,,,
30,04/29/25 08:09:34  PM,20.710,86.1,,,,,
31,04/29/25 09:09:34  PM,18.140,0.0,,,,,
32,04/29/25 10:09:34  PM,17.475,0.0,,,,,
33,04/29/25 11:09:34  PM,16.618,0.0,,,,,
34,04/30/25 12:09:34  AM,15.855,0.0,,,,,
35,04/30/25 01:09:34  AM,14.996,0.0,,,,,
36,04/30/25 02:09:34  AM,12.980,10.8,,,,,
37,04/30/25 03:09:34  AM,11.722,10.8,,,,,
38,04/30/25 04:09:34  AM,11.431,1377.8,,,,,
39,04/30/25 05:09:34  AM,11.334,1377.8,,,,,
40,04/30/25 06:09:34  AM,12.787,1377.8,,,,,
41,04/30/25 07:09:34  AM,13.846,1550.0,,,,,
42,04/30/25 08:09:34  AM,14.709,2066.7,,,,,
43,04/30/25 09:09:34  AM,14.900,2238.9,,,,,
44,04/30/25 10:09:34  AM,15.760,6200.0,,,,,
45,04/30/25 11:09:34  AM,17.189,4133.4,,,,,
46,04/30/25 12:09:34  PM,18.426,6544.5,,,,,
47,04/30/25 01:09:34  PM,20.615,9300.1,,,,,
48,04/30/25 02:09:34  PM,23.004,5511.1,,,,,
