"Plot Title: 3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316906, SEN S/N: 10316906)","Intensity, Lux (LGR S/N: 10316906, SEN S/N: 10316906)","Coupler Detached (LGR S/N: 10316906)","Coupler Attached (LGR S/N: 10316906)","Host Connected (LGR S/N: 10316906)","Stopped (LGR S/N: 10316906)","End Of File (LGR S/N: 10316906)"
1,05/13/25 02:43:05  PM,22.238,0.0,,,,,
2,05/13/25 02:43:09  PM,,,Logged,,,,
3,05/13/25 03:43:05  PM,26.683,990.3,,,,,
4,05/13/25 04:43:05  PM,24.545,495.1,,,,,
5,05/13/25 05:43:05  PM,23.388,1324.0,,,,,
6,05/13/25 06:43:05  PM,23.869,279.9,,,,,
7,05/13/25 07:43:05  PM,24.351,150.7,,,,,
8,05/13/25 08:43:05  PM,24.738,0.0,,,,,
9,05/13/25 09:43:05  PM,25.222,0.0,,,,,
10,05/13/25 10:43:05  PM,25.319,0.0,,,,,
11,05/13/25 11:43:05  PM,25.416,0.0,,,,,
12,05/14/25 12:43:05  AM,25.513,0.0,,,,,
13,05/14/25 01:43:05  AM,25.513,0.0,,,,,
14,05/14/25 02:43:05  AM,25.513,0.0,,,,,
15,05/14/25 03:43:05  AM,25.416,0.0,,,,,
16,05/14/25 04:43:05  AM,25.319,0.0,,,,,
17,05/14/25 05:43:05  AM,25.513,1184.0,,,,,
18,05/14/25 06:43:05  AM,24.255,1216.3,,,,,
19,05/14/25 07:43:05  AM,23.196,1463.9,,,,,
20,05/14/25 08:43:05  AM,22.621,1808.3,,,,,
21,05/14/25 09:43:05  AM,23.100,3961.1,,,,,
22,05/14/25 10:43:05  AM,24.738,4650.0,,,,,
23,05/14/25 11:43:05  AM,24.545,2152.8,,,,,
24,05/14/25 12:43:05  PM,24.448,3444.5,,,,,
25,05/14/25 01:43:05  PM,25.319,2411.1,,,,,
26,05/14/25 02:43:05  PM,25.513,1259.4,,,,,
27,05/14/25 03:43:05  PM,25.319,3444.5,,,,,
28,05/14/25 04:43:05  PM,25.610,1980.6,,,,,
29,05/14/25 05:43:05  PM,25.125,1808.3,,,,,
30,05/14/25 06:43:05  PM,25.610,688.9,,,,,
31,05/14/25 07:43:05  PM,25.902,161.5,,,,,
32,05/14/25 08:43:05  PM,25.708,10.8,,,,,
33,05/14/25 09:43:05  PM,24.835,0.0,,,,,
34,05/14/25 10:43:05  PM,24.158,0.0,,,,,
35,05/14/25 11:43:05  PM,24.255,0.0,,,,,
36,05/15/25 12:43:05  AM,24.351,0.0,,,,,
37,05/15/25 01:43:05  AM,24.351,0.0,,,,,
38,05/15/25 02:43:05  AM,24.255,0.0,,,,,
39,05/15/25 03:43:05  AM,24.255,0.0,,,,,
40,05/15/25 04:43:05  AM,24.255,0.0,,,,,
41,05/15/25 05:43:05  AM,24.641,1173.3,,,,,
42,05/15/25 06:43:05  AM,23.677,1377.8,,,,,
43,05/15/25 07:43:05  AM,22.908,2238.9,,,,,
44,05/15/25 08:43:05  AM,23.677,5338.9,,,,,
45,05/15/25 09:43:05  AM,25.125,5166.7,,,,,
46,05/15/25 10:43:05  AM,27.665,9300.1,,,,,
47,05/15/25 11:43:05  AM,29.752,9644.5,,,,,
48,05/15/25 12:43:05  PM,30.558,2927.8,,,,,
49,05/15/25 01:43:05  PM,30.760,3100.0,,,,,
50,05/15/25 02:43:05  PM,31.064,5338.9,,,,,
51,05/15/25 03:43:05  PM,30.255,6200.0,,,,,
52,05/15/25 04:43:05  PM,29.652,4133.4,,,,,
53,05/15/25 05:43:05  PM,28.555,1054.9,,,,,
54,05/15/25 06:43:05  PM,28.853,409.0,,,,,
55,05/15/25 07:43:05  PM,28.655,204.5,,,,,
56,05/15/25 08:43:05  PM,27.665,0.0,,,,,
57,05/15/25 09:43:05  PM,26.683,0.0,,,,,
58,05/15/25 10:43:05  PM,25.805,0.0,,,,,
59,05/15/25 11:43:05  PM,25.125,0.0,,,,,
60,05/16/25 12:43:05  AM,24.545,0.0,,,,,
61,05/16/25 01:43:05  AM,24.158,0.0,,,,,
62,05/16/25 02:43:05  AM,24.062,0.0,,,,,
63,05/16/25 03:43:05  AM,23.966,0.0,,,,,
64,05/16/25 04:43:05  AM,23.677,0.0,,,,,
65,05/16/25 05:43:05  AM,24.545,1270.1,,,,,
66,05/16/25 06:43:05  AM,23.581,1463.9,,,,,
67,05/16/25 07:43:05  AM,22.812,2497.2,,,,,
68,05/16/25 08:43:05  AM,23.966,4822.3,,,,,
69,05/16/25 09:43:05  AM,24.835,3961.1,,,,,
70,05/16/25 10:43:05  AM,27.075,12400.1,,,,,
71,05/16/25 11:43:05  AM,28.456,8266.7,,,,,
72,05/16/25 12:43:05  PM,30.457,10333.4,,,,,
73,05/16/25 01:43:05  PM,31.268,5166.7,,,,,
74,05/16/25 02:43:05  PM,31.472,3961.1,,,,,
75,05/16/25 03:43:05  PM,31.676,4477.8,,,,,
76,05/16/25 04:43:05  PM,31.268,2669.5,,,,,
77,05/16/25 05:43:05  PM,30.154,1463.9,,,,,
78,05/16/25 06:43:05  PM,29.452,376.7,,,,,
79,05/16/25 07:43:05  PM,28.655,193.8,,,,,
80,05/16/25 08:43:05  PM,27.862,10.8,,,,,
81,05/16/25 09:43:05  PM,27.075,0.0,,,,,
82,05/16/25 10:43:05  PM,26.390,0.0,,,,,
83,05/16/25 11:43:05  PM,26.000,0.0,,,,,
84,05/17/25 12:43:05  AM,25.610,0.0,,,,,
85,05/17/25 01:43:05  AM,25.222,0.0,,,,,
86,05/17/25 02:43:05  AM,24.835,0.0,,,,,
87,05/17/25 03:43:05  AM,24.351,0.0,,,,,
88,05/17/25 04:43:05  AM,23.773,0.0,,,,,
89,05/17/25 05:43:05  AM,23.869,1227.1,,,,,
90,05/17/25 06:43:05  AM,22.429,1356.3,,,,,
91,05/17/25 07:43:05  AM,21.473,1808.3,,,,,
92,05/17/25 08:43:05  AM,21.282,2238.9,,,,,
93,05/17/25 09:43:05  AM,21.664,2411.1,,,,,
94,05/17/25 10:43:05  AM,22.525,1636.1,,,,,
95,05/17/25 11:43:05  AM,20.710,731.9,,,,,
96,05/17/25 12:43:05  PM,19.948,1184.0,,,,,
97,05/17/25 01:43:05  PM,19.567,667.4,,,,,
98,05/17/25 02:43:05  PM,19.948,2583.4,,,,,
99,05/17/25 03:43:05  PM,20.901,1345.5,,,,,
100,05/17/25 04:43:05  PM,21.091,1722.2,,,,,
101,05/17/25 05:43:05  PM,20.329,1011.8,,,,,
102,05/17/25 06:43:05  PM,20.805,236.8,,,,,
103,05/17/25 07:43:05  PM,21.378,161.5,,,,,
104,05/17/25 08:43:05  PM,21.378,0.0,,,,,
105,05/17/25 09:43:05  PM,21.282,0.0,,,,,
106,05/17/25 10:43:05  PM,21.282,0.0,,,,,
107,05/17/25 11:43:05  PM,21.187,0.0,,,,,
108,05/18/25 12:43:05  AM,21.091,0.0,,,,,
109,05/18/25 01:43:05  AM,20.996,0.0,,,,,
110,05/18/25 02:43:05  AM,20.901,0.0,,,,,
111,05/18/25 03:43:05  AM,21.091,0.0,,,,,
112,05/18/25 04:43:05  AM,21.091,0.0,,,,,
113,05/18/25 05:43:05  AM,21.473,1205.6,,,,,
114,05/18/25 06:43:05  AM,20.424,1291.7,,,,,
115,05/18/25 07:43:05  AM,19.187,1808.3,,,,,
116,05/18/25 08:43:05  AM,18.426,2152.8,,,,,
117,05/18/25 09:43:05  AM,18.236,2755.6,,,,,
118,05/18/25 10:43:05  AM,18.901,4133.4,,,,,
119,05/18/25 11:43:05  AM,19.472,3272.2,,,,,
120,05/18/25 12:43:05  PM,20.043,2669.5,,,,,
121,05/18/25 01:43:05  PM,20.424,1980.6,,,,,
122,05/18/25 02:43:05  PM,19.853,1808.3,,,,,
123,05/18/25 03:43:05  PM,19.567,1980.6,,,,,
124,05/18/25 04:43:05  PM,19.472,2325.0,,,,,
125,05/18/25 05:43:05  PM,18.996,1097.9,,,,,
126,05/18/25 06:43:05  PM,19.377,376.7,,,,,
127,05/18/25 07:43:05  PM,19.853,150.7,,,,,
128,05/18/25 08:43:05  PM,19.758,10.8,,,,,
129,05/18/25 09:43:05  PM,19.472,0.0,,,,,
130,05/18/25 10:43:05  PM,19.472,0.0,,,,,
131,05/18/25 11:43:05  PM,19.377,0.0,,,,,
132,05/19/25 12:43:05  AM,19.187,0.0,,,,,
133,05/19/25 01:43:05  AM,18.901,0.0,,,,,
134,05/19/25 02:43:05  AM,18.616,0.0,,,,,
135,05/19/25 03:43:05  AM,18.426,0.0,,,,,
136,05/19/25 04:43:05  AM,18.426,0.0,,,,,
137,05/19/25 05:43:05  AM,18.901,1194.8,,,,,
138,05/19/25 06:43:05  AM,17.760,1291.7,,,,,
139,05/19/25 07:43:05  AM,16.713,1550.0,,,,,
140,05/19/25 08:43:05  AM,16.332,1722.2,,,,,
141,05/19/25 09:43:05  AM,16.808,2927.8,,,,,
142,05/19/25 10:43:05  AM,18.140,6544.5,,,,,
143,05/19/25 11:43:05  AM,20.710,7233.4,,,,,
144,05/19/25 12:43:05  PM,22.525,6544.5,,,,,
145,05/19/25 01:43:05  PM,23.869,4994.5,,,,,
146,05/19/25 02:43:05  PM,24.641,3961.1,,,,,
147,05/19/25 03:43:05  PM,24.931,5166.7,,,,,
148,05/19/25 04:43:05  PM,24.641,2669.5,,,,,
149,05/19/25 05:43:05  PM,23.388,1463.9,,,,,
150,05/19/25 06:43:05  PM,22.621,322.9,,,,,
151,05/19/25 07:43:05  PM,21.760,183.0,,,,,
152,05/19/25 08:43:05  PM,20.901,21.5,,,,,
153,05/19/25 09:43:05  PM,19.758,0.0,,,,,
154,05/19/25 10:43:05  PM,18.806,0.0,,,,,
155,05/19/25 11:43:05  PM,18.236,0.0,,,,,
156,05/20/25 12:43:05  AM,17.855,0.0,,,,,
157,05/20/25 01:43:05  AM,17.475,0.0,,,,,
158,05/20/25 02:43:05  AM,17.189,0.0,,,,,
159,05/20/25 03:43:05  AM,16.999,0.0,,,,,
160,05/20/25 04:43:05  AM,16.808,0.0,,,,,
161,05/20/25 05:43:05  AM,16.999,1194.8,,,,,
162,05/20/25 06:43:05  AM,15.855,1356.3,,,,,
163,05/20/25 07:43:05  AM,15.282,2669.5,,,,,
164,05/20/25 08:43:05  AM,16.427,4305.6,,,,,
165,05/20/25 09:43:05  AM,18.521,4994.5,,,,,
166,05/20/25 10:43:05  AM,21.760,11022.3,,,,,
167,05/20/25 11:43:05  AM,23.292,7577.8,,,,,
168,05/20/25 12:43:05  PM,24.351,8611.2,,,,,
169,05/20/25 01:43:05  PM,25.222,3961.1,,,,,
170,05/20/25 02:43:05  PM,25.708,3961.1,,,,,
171,05/20/25 03:43:05  PM,26.097,5166.7,,,,,
172,05/20/25 04:43:05  PM,25.902,2497.2,,,,,
173,05/20/25 05:43:05  PM,24.351,1151.7,,,,,
174,05/20/25 06:43:05  PM,23.388,850.4,,,,,
175,05/20/25 07:43:05  PM,23.388,322.9,,,,,
176,05/20/25 08:43:05  PM,22.908,21.5,,,,,
177,05/20/25 09:43:05  PM,22.429,0.0,,,,,
178,05/20/25 10:43:05  PM,21.760,0.0,,,,,
179,05/20/25 11:43:05  PM,21.282,0.0,,,,,
180,05/21/25 12:43:05  AM,20.805,0.0,,,,,
181,05/21/25 01:43:05  AM,20.615,0.0,,,,,
182,05/21/25 02:43:05  AM,20.424,0.0,,,,,
183,05/21/25 03:43:05  AM,20.234,0.0,,,,,
184,05/21/25 04:43:05  AM,20.234,0.0,,,,,
185,05/21/25 05:43:05  AM,20.424,904.2,,,,,
186,05/21/25 06:43:05  AM,18.901,1033.3,,,,,
187,05/21/25 07:43:05  AM,17.665,1463.9,,,,,
188,05/21/25 08:43:05  AM,17.855,1808.3,,,,,
189,05/21/25 09:43:05  AM,18.140,2755.6,,,,,
190,05/21/25 10:43:05  AM,18.806,1980.6,,,,,
191,05/21/25 11:43:05  AM,18.521,1119.5,,,,,
192,05/21/25 12:43:05  PM,17.760,581.3,,,,,
193,05/21/25 01:43:05  PM,17.189,549.0,,,,,
194,05/21/25 02:43:05  PM,16.999,656.6,,,,,
195,05/21/25 03:43:05  PM,16.808,559.7,,,,,
196,05/21/25 04:43:05  PM,16.523,398.3,,,,,
197,05/21/25 05:43:05  PM,16.427,247.6,,,,,
198,05/21/25 06:43:05  PM,17.950,139.9,,,,,
199,05/21/25 07:43:05  PM,19.662,53.8,,,,,
200,05/21/25 08:43:05  PM,20.424,0.0,,,,,
201,05/21/25 09:43:05  PM,20.805,0.0,,,,,
202,05/21/25 10:43:05  PM,20.996,0.0,,,,,
203,05/21/25 11:43:05  PM,20.996,0.0,,,,,
204,05/22/25 12:43:05  AM,20.996,0.0,,,,,
205,05/22/25 01:43:05  AM,20.710,0.0,,,,,
206,05/22/25 02:43:05  AM,20.710,0.0,,,,,
207,05/22/25 03:43:05  AM,20.424,0.0,,,,,
208,05/22/25 04:43:05  AM,20.329,0.0,,,,,
209,05/22/25 05:43:05  AM,20.805,904.2,,,,,
210,05/22/25 06:43:05  AM,18.996,1001.0,,,,,
211,05/22/25 07:43:05  AM,17.570,1173.3,,,,,
212,05/22/25 08:43:05  AM,17.379,1463.9,,,,,
213,05/22/25 09:43:05  AM,17.855,1894.5,,,,,
214,05/22/25 10:43:05  AM,18.045,1722.2,,,,,
215,05/22/25 11:43:05  AM,17.855,1227.1,,,,,
216,05/22/25 12:43:05  PM,18.045,1463.9,,,,,
217,05/22/25 01:43:05  PM,18.426,1334.7,,,,,
218,05/22/25 02:43:05  PM,18.616,871.9,,,,,
219,05/22/25 03:43:05  PM,18.996,1377.8,,,,,
220,05/22/25 04:43:05  PM,18.616,1194.8,,,,,
221,05/22/25 05:43:05  PM,18.140,882.6,,,,,
222,05/22/25 06:43:05  PM,19.187,398.3,,,,,
223,05/22/25 07:43:05  PM,19.853,161.5,,,,,
224,05/22/25 08:43:05  PM,19.948,0.0,,,,,
225,05/22/25 09:43:05  PM,19.853,0.0,,,,,
226,05/22/25 10:43:05  PM,19.662,0.0,,,,,
227,05/22/25 11:43:05  PM,19.377,0.0,,,,,
228,05/23/25 12:43:05  AM,19.187,0.0,,,,,
229,05/23/25 01:43:05  AM,18.996,0.0,,,,,
230,05/23/25 02:43:05  AM,18.711,0.0,,,,,
231,05/23/25 03:43:05  AM,18.616,0.0,,,,,
232,05/23/25 04:43:05  AM,18.521,0.0,,,,,
233,05/23/25 05:43:05  AM,18.901,914.9,,,,,
234,05/23/25 06:43:05  AM,17.475,1291.7,,,,,
235,05/23/25 07:43:05  AM,16.332,1463.9,,,,,
236,05/23/25 08:43:05  AM,16.332,2325.0,,,,,
237,05/23/25 09:43:05  AM,16.808,3100.0,,,,,
238,05/23/25 10:43:05  AM,17.665,2325.0,,,,,
239,05/23/25 11:43:05  AM,16.808,4822.3,,,,,
240,05/23/25 12:43:05  PM,19.092,4477.8,,,,,
241,05/23/25 01:43:05  PM,18.996,3788.9,,,,,
242,05/23/25 02:43:05  PM,18.901,1463.9,,,,,
243,05/23/25 03:43:05  PM,20.996,1980.6,,,,,
244,05/23/25 04:43:05  PM,18.331,1130.2,,,,,
245,05/23/25 05:43:05  PM,17.094,387.5,,,,,
246,05/23/25 06:43:05  PM,16.332,236.8,,,,,
247,05/23/25 07:43:05  PM,15.664,118.4,,,,,
248,05/23/25 08:43:05  PM,15.378,10.8,,,,,
249,05/23/25 09:43:05  PM,15.473,0.0,,,,,
250,05/23/25 10:43:05  PM,15.091,0.0,,,,,
251,05/23/25 11:43:05  PM,15.091,0.0,,,,,
252,05/24/25 12:43:05  AM,15.187,0.0,,,,,
253,05/24/25 01:43:05  AM,14.804,0.0,,,,,
254,05/24/25 02:43:05  AM,14.709,0.0,,,,,
255,05/24/25 03:43:05  AM,14.709,0.0,,,,,
256,05/24/25 04:43:05  AM,14.804,0.0,,,,,
257,05/24/25 05:43:05  AM,15.855,236.8,,,,,
258,05/24/25 06:43:05  AM,16.046,441.3,,,,,
259,05/24/25 07:43:05  AM,16.903,592.0,,,,,
260,05/24/25 08:43:05  AM,18.426,871.9,,,,,
261,05/24/25 09:43:05  AM,19.187,1184.0,,,,,
262,05/24/25 10:43:05  AM,21.378,1808.3,,,,,
263,05/24/25 11:43:05  AM,18.045,538.2,,,,,
264,05/24/25 12:43:05  PM,20.043,861.1,,,,,
265,05/24/25 01:43:05  PM,19.948,1151.7,,,,,
266,05/24/25 02:43:05  PM,20.043,387.5,,,,,
267,05/24/25 03:43:05  PM,20.043,1162.5,,,,,
268,05/24/25 04:43:05  PM,18.140,441.3,,,,,
269,05/24/25 05:43:05  PM,20.996,775.0,,,,,
270,05/24/25 06:43:05  PM,18.806,366.0,,,,,
271,05/24/25 07:43:05  PM,17.950,96.9,,,,,
272,05/24/25 08:43:05  PM,16.999,10.8,,,,,
273,05/24/25 09:43:05  PM,16.237,0.0,,,,,
274,05/24/25 10:43:05  PM,15.760,0.0,,,,,
275,05/24/25 11:43:05  PM,14.900,0.0,,,,,
276,05/25/25 12:43:05  AM,14.613,0.0,,,,,
277,05/25/25 01:43:05  AM,13.846,0.0,,,,,
278,05/25/25 02:43:05  AM,14.038,0.0,,,,,
279,05/25/25 03:43:05  AM,13.365,0.0,,,,,
280,05/25/25 04:43:05  AM,13.461,0.0,,,,,
281,05/25/25 05:43:05  AM,14.804,247.6,,,,,
282,05/25/25 06:43:05  AM,15.569,322.9,,,,,
283,05/25/25 07:43:05  AM,18.331,1044.1,,,,,
284,05/25/25 08:43:05  AM,22.525,1808.3,,,,,
285,05/25/25 09:43:05  AM,26.977,2152.8,,,,,
286,05/25/25 10:43:05  AM,26.683,1076.4,,,,,
287,05/25/25 11:43:05  AM,24.545,1367.0,,,,,
288,05/25/25 12:43:05  PM,28.159,4822.3,,,,,
289,05/25/25 01:43:05  PM,27.173,1065.6,,,,,
290,05/25/25 02:43:05  PM,25.610,3100.0,,,,,
291,05/25/25 03:43:05  PM,27.961,4305.6,,,,,
292,05/25/25 04:43:05  PM,23.100,1141.0,,,,,
293,05/25/25 05:43:05  PM,25.902,2152.8,,,,,
294,05/25/25 06:43:05  PM,21.282,333.7,,,,,
295,05/25/25 07:43:05  PM,19.758,53.8,,,,,
296,05/25/25 08:43:05  PM,19.377,21.5,,,,,
297,05/25/25 09:43:05  PM,17.950,0.0,,,,,
298,05/25/25 10:43:05  PM,17.760,0.0,,,,,
299,05/25/25 11:43:05  PM,16.999,0.0,,,,,
300,05/26/25 12:43:05  AM,16.046,0.0,,,,,
301,05/26/25 01:43:05  AM,16.332,0.0,,,,,
302,05/26/25 02:43:05  AM,15.569,0.0,,,,,
303,05/26/25 03:43:05  AM,15.282,0.0,,,,,
304,05/26/25 04:43:05  AM,15.378,0.0,,,,,
305,05/26/25 05:43:05  AM,15.951,247.6,,,,,
306,05/26/25 06:43:05  AM,16.332,344.4,,,,,
307,05/26/25 07:43:05  AM,19.948,1022.6,,,,,
308,05/26/25 08:43:05  AM,24.545,1894.5,,,,,
309,05/26/25 09:43:05  AM,29.652,2152.8,,,,,
310,05/26/25 10:43:05  AM,32.086,3272.2,,,,,
311,05/26/25 11:43:05  AM,36.295,3961.1,,,,,
312,05/26/25 12:43:05  PM,36.946,4133.4,,,,,
313,05/26/25 01:43:05  PM,33.743,947.2,,,,,
314,05/26/25 02:43:05  PM,27.961,527.4,,,,,
315,05/26/25 03:43:05  PM,29.352,1722.2,,,,,
316,05/26/25 04:43:05  PM,27.567,775.0,,,,,
317,05/26/25 05:43:05  PM,28.853,2238.9,,,,,
318,05/26/25 06:43:05  PM,25.222,258.3,,,,,
319,05/26/25 07:43:05  PM,23.581,226.0,,,,,
320,05/26/25 08:43:05  PM,21.760,21.5,,,,,
321,05/26/25 09:43:05  PM,20.424,0.0,,,,,
322,05/26/25 10:43:05  PM,20.805,0.0,,,,,
323,05/26/25 11:43:05  PM,19.948,0.0,,,,,
324,05/27/25 12:43:05  AM,19.472,0.0,,,,,
325,05/27/25 01:43:05  AM,18.711,0.0,,,,,
326,05/27/25 02:43:05  AM,18.331,0.0,,,,,
327,05/27/25 03:43:05  AM,17.665,0.0,,,,,
328,05/27/25 04:43:05  AM,17.189,0.0,,,,,
329,05/27/25 05:43:05  AM,17.950,258.3,,,,,
330,05/27/25 06:43:05  AM,18.996,430.6,,,,,
