"Plot Title: 3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316906, SEN S/N: 10316906)","Intensity, Lux (LGR S/N: 10316906, SEN S/N: 10316906)","Coupler Attached (LGR S/N: 10316906)","Host Connected (LGR S/N: 10316906)","End Of File (LGR S/N: 10316906)"
1,06/09/25 12:00:00  PM,24.448,226.0,,,
2,06/09/25 01:00:00  PM,23.484,21.5,,,
3,06/09/25 02:00:00  PM,23.292,21.5,,,
4,06/09/25 03:00:00  PM,23.292,21.5,,,
5,06/09/25 04:00:00  PM,23.292,21.5,,,
6,06/09/25 05:00:00  PM,23.100,10.8,,,
7,06/09/25 06:00:00  PM,22.908,10.8,,,
8,06/09/25 07:00:00  PM,22.812,21.5,,,
9,06/09/25 08:00:00  PM,22.812,21.5,,,
10,06/09/25 09:00:00  PM,22.525,0.0,,,
11,06/09/25 10:00:00  PM,22.429,0.0,,,
12,06/09/25 11:00:00  PM,22.333,0.0,,,
13,06/10/25 12:00:00  AM,22.238,0.0,,,
14,06/10/25 01:00:00  AM,22.238,0.0,,,
15,06/10/25 02:00:00  AM,22.238,0.0,,,
16,06/10/25 03:00:00  AM,22.142,0.0,,,
17,06/10/25 04:00:00  AM,22.142,0.0,,,
18,06/10/25 05:00:00  AM,22.046,0.0,,,
19,06/10/25 06:00:00  AM,21.951,0.0,,,
20,06/10/25 07:00:00  AM,21.855,0.0,,,
21,06/10/25 08:00:00  AM,21.855,0.0,,,
22,06/10/25 09:00:00  AM,21.855,10.8,,,
23,06/10/25 10:00:00  AM,21.855,32.3,,,
24,06/10/25 11:00:00  AM,29.752,22044.6,,,
25,06/10/25 12:00:00  PM,30.457,28933.5,,,
26,06/10/25 01:00:00  PM,25.125,7233.4,,,
27,06/10/25 02:00:00  PM,25.222,5166.7,,,
28,06/10/25 03:00:00  PM,24.545,3444.5,,,
29,06/10/25 04:00:00  PM,24.931,4650.0,,,
30,06/10/25 05:00:00  PM,24.448,3616.7,,,
31,06/10/25 06:00:00  PM,24.062,3444.5,,,
32,06/10/25 07:00:00  PM,24.738,1324.0,,,
33,06/10/25 08:00:00  PM,24.835,312.2,,,
34,06/10/25 09:00:00  PM,24.641,32.3,,,
35,06/10/25 10:00:00  PM,24.255,0.0,,,
36,06/10/25 11:00:00  PM,24.255,0.0,,,
37,06/11/25 12:00:00  AM,24.738,0.0,,,
38,06/11/25 01:00:00  AM,24.835,0.0,,,
39,06/11/25 02:00:00  AM,24.835,0.0,,,
40,06/11/25 03:00:00  AM,24.641,0.0,,,
41,06/11/25 04:00:00  AM,24.351,0.0,,,
42,06/11/25 05:00:00  AM,24.158,0.0,,,
43,06/11/25 06:00:00  AM,24.158,107.6,,,
44,06/11/25 07:00:00  AM,22.525,828.8,,,
45,06/11/25 08:00:00  AM,22.525,4994.5,,,
46,06/11/25 09:00:00  AM,23.677,6200.0,,,
47,06/11/25 10:00:00  AM,26.097,8611.2,,,
48,06/11/25 11:00:00  AM,27.862,11711.2,,,
49,06/11/25 12:00:00  PM,29.452,7577.8,,,
50,06/11/25 01:00:00  PM,31.370,20666.8,,,
51,06/11/25 02:00:00  PM,32.188,10677.8,,,
52,06/11/25 03:00:00  PM,32.497,8611.2,,,
53,06/11/25 04:00:00  PM,32.086,9300.1,,,
54,06/11/25 05:00:00  PM,31.472,5166.7,,,
55,06/11/25 06:00:00  PM,30.154,1636.1,,,
56,06/11/25 07:00:00  PM,30.054,667.4,,,
57,06/11/25 08:00:00  PM,29.752,376.7,,,
58,06/11/25 09:00:00  PM,29.152,21.5,,,
59,06/11/25 10:00:00  PM,28.655,0.0,,,
60,06/11/25 11:00:00  PM,27.764,0.0,,,
