"Plot Title: 5"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Bad Battery (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,06/09/25 12:00:00  PM,23.869,21.5,,
2,06/09/25 01:00:00  PM,23.581,0.0,,
3,06/09/25 02:00:00  PM,23.484,10.8,,
4,06/09/25 03:00:00  PM,23.484,0.0,,
5,06/09/25 04:00:00  PM,23.388,0.0,,
6,06/09/25 05:00:00  PM,23.100,0.0,,
7,06/09/25 06:00:00  PM,22.908,0.0,,
8,06/09/25 07:00:00  PM,22.812,10.8,,
9,06/09/25 08:00:00  PM,22.812,0.0,,
10,06/09/25 09:00:00  PM,22.525,0.0,,
11,06/09/25 10:00:00  PM,22.429,0.0,,
12,06/09/25 11:00:00  PM,22.333,0.0,,
13,06/10/25 12:00:00  AM,22.238,0.0,,
14,06/10/25 01:00:00  AM,22.333,0.0,,
15,06/10/25 02:00:00  AM,22.238,0.0,,
16,06/10/25 03:00:00  AM,22.238,0.0,,
17,06/10/25 04:00:00  AM,22.046,0.0,,
18,06/10/25 05:00:00  AM,22.046,0.0,,
19,06/10/25 06:00:00  AM,21.951,0.0,,
20,06/10/25 07:00:00  AM,21.951,0.0,,
21,06/10/25 08:00:00  AM,21.951,0.0,,
22,06/10/25 09:00:00  AM,21.855,0.0,,
23,06/10/25 10:00:00  AM,22.046,10.8,,
24,06/10/25 11:00:00  AM,29.853,22044.6,,
25,06/10/25 12:00:00  PM,25.222,21355.7,,
26,06/10/25 01:00:00  PM,25.222,6544.5,,
27,06/10/25 02:00:00  PM,26.585,4133.4,,
28,06/10/25 03:00:00  PM,27.075,3788.9,,
29,06/10/25 04:00:00  PM,28.060,8266.7,,
30,06/10/25 05:00:00  PM,27.665,4994.5,,
31,06/10/25 06:00:00  PM,26.195,4305.6,,
32,06/10/25 07:00:00  PM,24.641,1345.5,,
33,06/10/25 08:00:00  PM,23.388,301.4,,
34,06/10/25 09:00:00  PM,22.429,21.5,,
35,06/10/25 10:00:00  PM,22.908,0.0,,
36,06/10/25 11:00:00  PM,23.484,0.0,,
37,06/11/25 12:00:00  AM,24.158,0.0,,
38,06/11/25 01:00:00  AM,24.545,0.0,,
39,06/11/25 02:00:00  AM,23.100,0.0,,
40,06/11/25 03:00:00  AM,22.046,0.0,,
41,06/11/25 04:00:00  AM,21.282,0.0,,
42,06/11/25 05:00:00  AM,20.805,0.0,,
43,06/11/25 06:00:00  AM,21.855,86.1,,
44,06/11/25 07:00:00  AM,22.908,731.9,,
45,06/11/25 08:00:00  AM,24.255,2755.6,,
46,06/11/25 09:00:00  AM,26.488,4822.3,,
47,06/11/25 10:00:00  AM,27.468,5511.1,,
48,06/11/25 11:00:00  AM,28.853,7577.8,,
49,06/11/25 12:00:00  PM,30.356,6200.0,,
50,06/11/25 01:00:00  PM,31.778,15155.7,,
51,06/11/25 02:00:00  PM,34.058,13089.0,Logged,
52,06/11/25 03:00:00  PM,35.222,18600.1,,
53,06/11/25 04:00:00  PM,34.903,10333.4,,
54,06/11/25 05:00:00  PM,34.163,22044.6,,
55,06/11/25 06:00:00  PM,31.983,2325.0,,
56,06/11/25 07:00:00  PM,29.752,753.5,,
57,06/11/25 08:00:00  PM,28.258,409.0,,
58,06/11/25 09:00:00  PM,26.977,10.8,,
59,06/11/25 10:00:00  PM,27.173,0.0,,
60,06/11/25 11:00:00  PM,26.879,0.0,,
61,06/12/25 12:00:00  AM,26.195,0.0,,
62,06/12/25 01:00:00  AM,25.319,0.0,,
63,06/12/25 02:00:00  AM,23.100,0.0,,
64,06/12/25 03:00:00  AM,21.855,0.0,,
65,06/12/25 04:00:00  AM,20.996,0.0,,
66,06/12/25 05:00:00  AM,20.234,0.0,,
67,06/12/25 06:00:00  AM,21.473,43.1,,
68,06/12/25 07:00:00  AM,22.333,495.1,,
69,06/12/25 08:00:00  AM,23.292,1463.9,,
70,06/12/25 09:00:00  AM,23.773,688.9,,
71,06/12/25 10:00:00  AM,22.908,3961.1,,
72,06/12/25 11:00:00  AM,25.708,8266.7,,
73,06/12/25 12:00:00  PM,28.754,13089.0,,Logged
