"Plot Title: 4"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316955, SEN S/N: 10316955)","Intensity, Lux (LGR S/N: 10316955, SEN S/N: 10316955)","Host Connected (LGR S/N: 10316955)","Coupler Attached (LGR S/N: 10316955)","Coupler Detached (LGR S/N: 10316955)","End Of File (LGR S/N: 10316955)"
1,06/09/25 12:00:00  PM,24.931,0.0,,,,
2,06/09/25 01:00:00  PM,23.581,10.8,,,,
3,06/09/25 02:00:00  PM,23.388,10.8,,,,
4,06/09/25 03:00:00  PM,23.388,10.8,,,,
5,06/09/25 04:00:00  PM,23.484,10.8,,,,
6,06/09/25 05:00:00  PM,23.292,0.0,,,,
7,06/09/25 06:00:00  PM,23.100,0.0,,,,
8,06/09/25 07:00:00  PM,23.004,0.0,,,,
9,06/09/25 08:00:00  PM,22.908,10.8,,,,
10,06/09/25 09:00:00  PM,22.717,0.0,,,,
11,06/09/25 10:00:00  PM,22.621,0.0,,,,
12,06/09/25 11:00:00  PM,22.525,0.0,,,,
13,06/10/25 12:00:00  AM,22.429,0.0,,,,
14,06/10/25 01:00:00  AM,22.429,0.0,,,,
15,06/10/25 02:00:00  AM,22.429,0.0,,,,
16,06/10/25 03:00:00  AM,22.333,0.0,,,,
17,06/10/25 04:00:00  AM,22.238,0.0,,,,
18,06/10/25 05:00:00  AM,22.142,0.0,,,,
19,06/10/25 06:00:00  AM,22.046,0.0,,,,
20,06/10/25 07:00:00  AM,22.046,0.0,,,,
21,06/10/25 08:00:00  AM,22.046,0.0,,,,
22,06/10/25 09:00:00  AM,22.046,0.0,,,,
23,06/10/25 10:00:00  AM,22.046,10.8,,,,
24,06/10/25 11:00:00  AM,29.552,9300.1,,,,
25,06/10/25 12:00:00  PM,24.158,22044.6,,,,
26,06/10/25 01:00:00  PM,24.835,6544.5,,,,
27,06/10/25 02:00:00  PM,26.000,4477.8,,,,
28,06/10/25 03:00:00  PM,26.195,3961.1,,,,
29,06/10/25 04:00:00  PM,27.075,8611.2,,,,
30,06/10/25 05:00:00  PM,27.075,4477.8,,,,
31,06/10/25 06:00:00  PM,26.000,5338.9,,,,
32,06/10/25 07:00:00  PM,24.738,1377.8,,,,
33,06/10/25 08:00:00  PM,23.484,312.2,,,,
34,06/10/25 09:00:00  PM,22.525,32.3,,,,
35,06/10/25 10:00:00  PM,22.621,0.0,,,,
36,06/10/25 11:00:00  PM,23.004,0.0,,,,
37,06/11/25 12:00:00  AM,23.581,0.0,,,,
38,06/11/25 01:00:00  AM,23.773,0.0,,,,
39,06/11/25 02:00:00  AM,22.908,0.0,,,,
40,06/11/25 03:00:00  AM,22.046,0.0,,,,
41,06/11/25 04:00:00  AM,21.282,0.0,,,,
42,06/11/25 05:00:00  AM,20.710,0.0,,,,
43,06/11/25 06:00:00  AM,21.473,96.9,,,,
44,06/11/25 07:00:00  AM,22.142,753.5,,,,
45,06/11/25 08:00:00  AM,23.196,2066.7,,,,
46,06/11/25 09:00:00  AM,25.319,4822.3,,,,
47,06/11/25 10:00:00  AM,26.488,6544.5,,,,
48,06/11/25 11:00:00  AM,28.159,8266.7,,,,
49,06/11/25 12:00:00  PM,29.552,5511.1,,,,
50,06/11/25 01:00:00  PM,30.862,8611.2,,,,
51,06/11/25 02:00:00  PM,32.704,7233.4,,,,
52,06/11/25 03:00:00  PM,34.691,22044.6,,,,
53,06/11/25 04:00:00  PM,34.796,10677.8,,,,
54,06/11/25 05:00:00  PM,34.268,7577.8,,,,
55,06/11/25 06:00:00  PM,32.291,3100.0,,,,
56,06/11/25 07:00:00  PM,30.154,699.7,,,,
57,06/11/25 08:00:00  PM,28.456,387.5,,,,
58,06/11/25 09:00:00  PM,27.173,21.5,,,,
59,06/11/25 10:00:00  PM,27.075,0.0,,,,
60,06/11/25 11:00:00  PM,26.683,0.0,,,,
61,06/12/25 12:00:00  AM,25.902,0.0,,,,
62,06/12/25 01:00:00  AM,25.028,0.0,,,,
63,06/12/25 02:00:00  AM,23.004,0.0,,,,
64,06/12/25 03:00:00  AM,21.760,0.0,,,,
65,06/12/25 04:00:00  AM,20.901,0.0,,,,
66,06/12/25 05:00:00  AM,20.138,0.0,,,,
67,06/12/25 06:00:00  AM,20.805,43.1,,,,
68,06/12/25 07:00:00  AM,21.664,452.1,,,,
69,06/12/25 08:00:00  AM,22.429,1377.8,,,,
70,06/12/25 09:00:00  AM,22.908,624.3,,,,
71,06/12/25 10:00:00  AM,22.429,3788.9,,,,
72,06/12/25 11:00:00  AM,25.028,8611.2,,,,
73,06/12/25 12:00:00  PM,27.567,7577.8,,,,
74,06/12/25 01:00:00  PM,29.352,8611.2,,,,
75,06/12/25 02:00:00  PM,30.963,7233.4,,,,
76,06/12/25 03:00:00  PM,32.188,44089.2,,,,
77,06/12/25 04:00:00  PM,31.983,9300.1,,,,
78,06/12/25 05:00:00  PM,30.862,2927.8,,,,
79,06/12/25 06:00:00  PM,28.258,4477.8,,,,
80,06/12/25 07:00:00  PM,26.097,1108.7,,,,
81,06/12/25 08:00:00  PM,23.966,473.6,,,,
82,06/12/25 09:00:00  PM,22.142,10.8,,,,
83,06/12/25 10:00:00  PM,22.046,0.0,,,,
84,06/12/25 11:00:00  PM,21.855,0.0,,,,
85,06/13/25 12:00:00  AM,22.429,0.0,,,,
86,06/13/25 01:00:00  AM,22.812,0.0,,,,
87,06/13/25 02:00:00  AM,21.569,0.0,,,,
88,06/13/25 03:00:00  AM,20.424,0.0,,,,
89,06/13/25 04:00:00  AM,19.567,0.0,,,,
90,06/13/25 05:00:00  AM,18.996,0.0,,,,
91,06/13/25 06:00:00  AM,19.853,139.9,,,,
92,06/13/25 07:00:00  AM,20.615,861.1,,,,
93,06/13/25 08:00:00  AM,21.664,3272.2,,,,
94,06/13/25 09:00:00  AM,23.100,4994.5,,,,
95,06/13/25 10:00:00  AM,24.158,7577.8,,,,
96,06/13/25 11:00:00  AM,24.931,8611.2,,,,
97,06/13/25 12:00:00  PM,26.781,11022.3,,,,
98,06/13/25 01:00:00  PM,28.357,7577.8,,,,
99,06/13/25 02:00:00  PM,29.652,4994.5,,,,
100,06/13/25 03:00:00  PM,31.268,27555.7,,,,
101,06/13/25 04:00:00  PM,31.166,3616.7,,,,
102,06/13/25 05:00:00  PM,28.953,796.5,,,,
103,06/13/25 06:00:00  PM,25.902,2238.9,,,,
104,06/13/25 07:00:00  PM,23.869,1033.3,,,,
105,06/13/25 08:00:00  PM,22.142,495.1,,,,
106,06/13/25 09:00:00  PM,20.901,10.8,,,,
107,06/13/25 10:00:00  PM,21.473,0.0,,,,
108,06/13/25 11:00:00  PM,21.569,0.0,,,,
109,06/14/25 12:00:00  AM,21.569,0.0,,,,
110,06/14/25 01:00:00  AM,21.664,0.0,,,,
111,06/14/25 02:00:00  AM,20.424,0.0,,,,
112,06/14/25 03:00:00  AM,19.662,0.0,,,,
113,06/14/25 04:00:00  AM,19.092,0.0,,,,
114,06/14/25 05:00:00  AM,18.616,0.0,,,,
115,06/14/25 06:00:00  AM,19.567,193.8,,,,
116,06/14/25 07:00:00  AM,20.424,645.8,,,,
117,06/14/25 08:00:00  AM,21.760,2755.6,,,,
118,06/14/25 09:00:00  AM,23.773,4133.4,,,,
119,06/14/25 10:00:00  AM,24.835,6200.0,,,,
120,06/14/25 11:00:00  AM,26.097,7233.4,,,,
121,06/14/25 12:00:00  PM,27.468,7233.4,,,,
122,06/14/25 01:00:00  PM,28.555,6544.5,,,,
123,06/14/25 02:00:00  PM,30.255,6200.0,,,,
124,06/14/25 03:00:00  PM,31.778,34444.7,,,,
125,06/14/25 04:00:00  PM,31.676,5511.1,,,,
126,06/14/25 05:00:00  PM,31.166,3961.1,,,,
127,06/14/25 06:00:00  PM,28.953,2238.9,,,,
128,06/14/25 07:00:00  PM,26.292,635.1,,,,
129,06/14/25 08:00:00  PM,23.966,150.7,,,,
130,06/14/25 09:00:00  PM,22.142,32.3,,,,
131,06/14/25 10:00:00  PM,21.855,0.0,,,,
132,06/14/25 11:00:00  PM,21.473,0.0,,,,
133,06/15/25 12:00:00  AM,21.378,0.0,,,,
134,06/15/25 01:00:00  AM,21.760,0.0,,,,
135,06/15/25 02:00:00  AM,20.615,0.0,,,,
136,06/15/25 03:00:00  AM,19.853,0.0,,,,
137,06/15/25 04:00:00  AM,19.377,0.0,,,,
138,06/15/25 05:00:00  AM,18.996,0.0,,,,
139,06/15/25 06:00:00  AM,20.043,129.2,,,,
140,06/15/25 07:00:00  AM,21.187,904.2,,,,
141,06/15/25 08:00:00  AM,22.717,3788.9,,,,
142,06/15/25 09:00:00  AM,24.931,2755.6,,,,
143,06/15/25 10:00:00  AM,26.585,5511.1,,,,
144,06/15/25 11:00:00  AM,28.258,7577.8,,,,
145,06/15/25 12:00:00  PM,30.154,6544.5,,,,
146,06/15/25 01:00:00  PM,30.862,6200.0,,,,
147,06/15/25 02:00:00  PM,32.704,6200.0,,,,
148,06/15/25 03:00:00  PM,33.326,15844.5,,,,
149,06/15/25 04:00:00  PM,33.118,5166.7,,,,
150,06/15/25 05:00:00  PM,32.394,3961.1,,,,
151,06/15/25 06:00:00  PM,29.853,2238.9,,,,
152,06/15/25 07:00:00  PM,27.173,914.9,,,,
153,06/15/25 08:00:00  PM,25.125,312.2,,,,
154,06/15/25 09:00:00  PM,23.388,43.1,,,,
155,06/15/25 10:00:00  PM,23.196,0.0,,,,
156,06/15/25 11:00:00  PM,22.908,0.0,,,,
157,06/16/25 12:00:00  AM,22.333,0.0,,,,
158,06/16/25 01:00:00  AM,20.519,0.0,,,,
159,06/16/25 02:00:00  AM,19.282,0.0,,,,
160,06/16/25 03:00:00  AM,19.187,0.0,,,,
161,06/16/25 04:00:00  AM,19.187,0.0,,,,
162,06/16/25 05:00:00  AM,18.996,0.0,,,,
163,06/16/25 06:00:00  AM,20.329,279.9,,,,
164,06/16/25 07:00:00  AM,21.664,516.7,,,,
165,06/16/25 08:00:00  AM,23.004,1894.5,,,,
166,06/16/25 09:00:00  AM,25.513,4650.0,,,,
167,06/16/25 10:00:00  AM,26.977,3788.9,,,,
168,06/16/25 11:00:00  AM,29.452,7577.8,,,,
169,06/16/25 12:00:00  PM,30.760,7577.8,,,,
170,06/16/25 01:00:00  PM,31.574,4994.5,,,,
171,06/16/25 02:00:00  PM,33.014,3616.7,,,,
172,06/16/25 03:00:00  PM,33.222,30311.3,,,,
173,06/16/25 04:00:00  PM,32.497,3272.2,,,,
174,06/16/25 05:00:00  PM,32.497,2669.5,,,,
175,06/16/25 06:00:00  PM,31.778,2927.8,,,,
176,06/16/25 07:00:00  PM,30.054,925.7,,,,
177,06/16/25 08:00:00  PM,28.258,355.2,,,,
178,06/16/25 09:00:00  PM,26.390,21.5,,,,
179,06/16/25 10:00:00  PM,26.292,0.0,,,,
180,06/16/25 11:00:00  PM,25.805,0.0,,,,
181,06/17/25 12:00:00  AM,25.222,0.0,,,,
182,06/17/25 01:00:00  AM,24.641,0.0,,,,
183,06/17/25 02:00:00  AM,22.621,0.0,,,,
184,06/17/25 03:00:00  AM,21.091,0.0,,,,
185,06/17/25 04:00:00  AM,20.234,0.0,,,,
186,06/17/25 05:00:00  AM,19.758,0.0,,,,
187,06/17/25 06:00:00  AM,21.569,129.2,,,,
188,06/17/25 07:00:00  AM,23.292,613.5,,,,
189,06/17/25 08:00:00  AM,24.931,979.5,,,,
190,06/17/25 09:00:00  AM,26.488,1894.5,,,,
191,06/17/25 10:00:00  AM,26.390,3616.7,,,,
192,06/17/25 11:00:00  AM,28.159,2755.6,,,,
193,06/17/25 12:00:00  PM,30.154,5166.7,,,,
194,06/17/25 01:00:00  PM,30.760,3616.7,,,,
195,06/17/25 02:00:00  PM,33.430,8266.7,,,,
196,06/17/25 03:00:00  PM,35.222,4477.8,,,,
197,06/17/25 04:00:00  PM,35.435,4305.6,,,,
198,06/17/25 05:00:00  PM,35.115,2927.8,,,,
199,06/17/25 06:00:00  PM,32.807,2238.9,,,,
200,06/17/25 07:00:00  PM,30.457,688.9,,,,
201,06/17/25 08:00:00  PM,28.555,387.5,,,,
202,06/17/25 09:00:00  PM,27.173,32.3,,,,
203,06/17/25 10:00:00  PM,27.173,0.0,,,,
204,06/17/25 11:00:00  PM,26.879,0.0,,,,
205,06/18/25 12:00:00  AM,26.488,0.0,,,,
206,06/18/25 01:00:00  AM,26.195,0.0,,,,
207,06/18/25 02:00:00  AM,24.545,0.0,,,,
208,06/18/25 03:00:00  AM,23.581,0.0,,,,
209,06/18/25 04:00:00  AM,23.292,0.0,,,,
210,06/18/25 05:00:00  AM,23.100,0.0,,,,
211,06/18/25 06:00:00  AM,24.351,75.3,,,,
212,06/18/25 07:00:00  AM,25.416,279.9,,,,
213,06/18/25 08:00:00  AM,26.292,753.5,,,,
214,06/18/25 09:00:00  AM,27.370,1636.1,,,,
215,06/18/25 10:00:00  AM,28.555,2927.8,,,,
216,06/18/25 11:00:00  AM,28.655,1722.2,,,,
217,06/18/25 12:00:00  PM,29.552,4477.8,,,,
218,06/18/25 01:00:00  PM,32.394,6544.5,,,,
219,06/18/25 02:00:00  PM,31.064,914.9,,,,
220,06/18/25 03:00:00  PM,29.352,1980.6,,,,
221,06/18/25 04:00:00  PM,27.961,1205.6,,,,
222,06/18/25 05:00:00  PM,27.173,753.5,,,,
223,06/18/25 06:00:00  PM,26.000,1636.1,,,,
224,06/18/25 07:00:00  PM,25.319,1119.5,,,,
225,06/18/25 08:00:00  PM,24.835,419.8,,,,
226,06/18/25 09:00:00  PM,24.062,10.8,,,,
227,06/18/25 10:00:00  PM,24.641,0.0,,,,
228,06/18/25 11:00:00  PM,25.125,0.0,,,,
229,06/19/25 12:00:00  AM,25.125,0.0,,,,
230,06/19/25 01:00:00  AM,25.125,0.0,,,,
231,06/19/25 02:00:00  AM,23.388,0.0,,,,
232,06/19/25 03:00:00  AM,22.238,0.0,,,,
233,06/19/25 04:00:00  AM,21.378,0.0,,,,
234,06/19/25 05:00:00  AM,20.996,0.0,,,,
235,06/19/25 06:00:00  AM,22.333,10.8,,,,
236,06/19/25 07:00:00  AM,23.292,86.1,,,,
237,06/19/25 08:00:00  AM,23.773,1334.7,,,,
238,06/19/25 09:00:00  AM,24.158,1076.4,,,,
239,06/19/25 10:00:00  AM,23.100,1377.8,,,,
240,06/19/25 11:00:00  AM,22.812,1894.5,,,,
241,06/19/25 12:00:00  PM,22.812,1302.4,,,,
