"Plot Title: 5"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Detached (LGR S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,06/23/25 01:34:13  PM,25.610,107.6,,,,
2,06/23/25 01:35:03  PM,,,Logged,,,
3,06/23/25 02:34:13  PM,24.738,14466.8,,,,
4,06/23/25 03:34:13  PM,36.620,6200.0,,,,
5,06/23/25 04:34:13  PM,37.824,5166.7,,,,
6,06/23/25 05:34:13  PM,36.946,2411.1,,,,
7,06/23/25 06:34:13  PM,34.796,635.1,,,,
8,06/23/25 07:34:13  PM,33.014,355.2,,,,
9,06/23/25 08:34:13  PM,31.778,161.5,,,,
10,06/23/25 09:34:13  PM,31.268,0.0,,,,
11,06/23/25 10:34:13  PM,31.370,0.0,,,,
12,06/23/25 11:34:13  PM,31.166,0.0,,,,
13,06/24/25 12:34:13  AM,30.862,0.0,,,,
14,06/24/25 01:34:13  AM,29.853,0.0,,,,
15,06/24/25 02:34:13  AM,28.555,0.0,,,,
16,06/24/25 03:34:13  AM,27.665,0.0,,,,
17,06/24/25 04:34:13  AM,26.977,0.0,,,,
18,06/24/25 05:34:13  AM,27.173,10.8,,,,
19,06/24/25 06:34:13  AM,28.060,312.2,,,,
20,06/24/25 07:34:13  AM,29.053,1722.2,,,,
21,06/24/25 08:34:13  AM,31.472,6200.0,,,,
22,06/24/25 09:34:13  AM,33.118,6544.5,,,,
23,06/24/25 10:34:13  AM,35.435,26178.0,,,,
24,06/24/25 11:34:13  AM,36.511,11711.2,,,,
25,06/24/25 12:34:13  PM,37.604,14466.8,,,,
26,06/24/25 01:34:13  PM,38.938,18600.1,,,,
27,06/24/25 02:34:13  PM,39.276,9300.1,,,,
28,06/24/25 03:34:13  PM,39.276,6200.0,,,,
29,06/24/25 04:34:13  PM,39.050,5166.7,,,,
30,06/24/25 05:34:13  PM,37.274,2411.1,,,,
31,06/24/25 06:34:13  PM,34.691,893.4,,,,
32,06/24/25 07:34:13  PM,32.807,721.2,,,,
33,06/24/25 08:34:13  PM,31.268,322.9,,,,
34,06/24/25 09:34:13  PM,30.558,0.0,,,,
35,06/24/25 10:34:13  PM,30.457,0.0,,,,
36,06/24/25 11:34:13  PM,30.255,0.0,,,,
37,06/25/25 12:34:13  AM,30.154,0.0,,,,
38,06/25/25 01:34:13  AM,29.053,0.0,,,,
39,06/25/25 02:34:13  AM,27.567,0.0,,,,
40,06/25/25 03:34:13  AM,26.488,0.0,,,,
41,06/25/25 04:34:13  AM,25.708,0.0,,,,
42,06/25/25 05:34:13  AM,25.902,0.0,,,,
43,06/25/25 06:34:13  AM,26.585,139.9,,,,
44,06/25/25 07:34:13  AM,26.781,258.3,,,,
