label,start_date,end_date,treatment,initial_area,final_area,biomass,mean,sd,min,max,remarks,exclusion
Exp1-5-day10-20250428_112548.jpg,4/18/2025,4/28/2025,random,,51.709,,,,,,night warming treatment did not work (wrong timer),y
Exp1-6-day10-20250428_112313.jpg,4/18/2025,4/28/2025,random,,65.911,,,,,,night warming treatment did not work (wrong timer),y
Exp1-4-day10-20250428_112745.jpg,4/18/2025,4/28/2025,random,,64.84,,,,,,night warming treatment did not work (wrong timer),y
Exp1-3-day10-20250428_112745.jpg,4/18/2025,4/28/2025,nw,,43.213,,,,,,night warming treatment did not work (wrong timer),y
Exp1-2-day10-20250428_113146.jpg,4/18/2025,4/28/2025,nw,,47.641,,,,,,night warming treatment did not work (wrong timer),y
Exp1-1-day10,4/18/2025,4/28/2025,nw,,,,,,,,night warming treatment did not work (wrong timer),y
Exp1-8-day10-20250428_111836.jpg,4/18/2025,4/28/2025,ambient,,74.796,,,,,,night warming treatment did not work (wrong timer),y
Exp1-9-day10-20250428_112007.jpg,4/18/2025,4/28/2025,ambient,,58.794,,,,,,night warming treatment did not work (wrong timer),y
Exp1-7-day10-20250428_111643.jpg,4/18/2025,4/28/2025,ambient,,52.058,,,,,,night warming treatment did not work (wrong timer),y
Exp2-1-day10-20250508_114113.jpg,4/28/2025,5/8/2025,nw,3.354,28.613,0.0665,20.2,3.3,12.4,28.9,,
Exp2-2-day10-20250508_113853.jpg,4/28/2025,5/8/2025,nw,3.454,32.487,0.0835,20.9,3.4,13,29.9,,
Exp2-3-day10-20250508_113323.jpg,4/28/2025,5/8/2025,nw,3.625,49.122,0.0834,21,3.2,13.2,29.9,,
Exp2-4-day10-20250508_112118.jpg,4/28/2025,5/8/2025,random,3.175,23.207,0.0546,20.2,3.9,11.3,31.5,,
Exp2-5-day10-20250508_113112.jpg,4/28/2025,5/8/2025,random,3.572,38.347,0.0751,20.1,4,11.3,31.4,,
Exp2-6-day10-20250508_112515.jpg,4/28/2025,5/8/2025,random,1.931,13.384,0.0315,20,4.2,10.7,34.7,incorrect initial number of fronds,y
Exp2-7-day10-20250508_111649.jpg,4/28/2025,5/8/2025,ambient,3.501,27.376,0.0562,18.5,3.3,10.5,31.2,,
Exp2-8-day10-20250508_112329.jpg,4/28/2025,5/8/2025,ambient,3.117,21.548,0.0458,18.6,3.7,13.3,29.4,,
Exp2-9-day10-20250508_112756.jpg,4/28/2025,5/8/2025,ambient,3.511,22.519,0.0508,18.3,4,10,29,,
exp3-1(1)-day10.JPG,5/13/2025,5/23/2025,nw,4.652,153.7,0.2086,21.65,3.9,14.9,31.78,incorrect initial number of fronds,y
exp3-1(2)-day10.JPG,5/13/2025,5/23/2025,nw,4.061,106.829,0.1595,21.64,3.89,14.8,31.57,,
exp3-1(3)-day10.JPG,5/13/2025,5/23/2025,nw,4.427,105.13,0.1446,22.03,3.73,15.28,31.68,,
exp3-1(4)-day10.JPG,5/13/2025,5/23/2025,random,3.997,98.005,0.1462,21.64,4.39,12.11,33.95,,
exp3-1(5)-day10.JPG,5/13/2025,5/23/2025,random,4.006,108.766,0.1498,21.73,4.59,12.01,34.9,,
exp3-1(6)-day10.JPG,5/13/2025,5/23/2025,random,3.502,56.427,0.0723,22.12,4.27,13.04,34.45,,
exp3-1(7)-day10.JPG,5/13/2025,5/23/2025,ambient,3.785,56.161,0.112,19.89,4.48,12.01,32.3,,
exp3-1(8)-day10.JPG,5/13/2025,5/23/2025,ambient,3.368,48.114,0.07683,19.66,4.55,11.58,32.47,,
exp3-1(9)-day10.JPG,5/13/2025,5/23/2025,ambient,3.419,52.923,0.0942,19.54,4.85,11.15,33.37,,
exp4-1,5/27/2025,6/6/2025,nw,,,0.0536,23.12,3.78,15.38,34.06,final photos not taken (camera issue),
exp4-2,5/27/2025,6/6/2025,nw,,,0.0615,23.39,3.45,15.47,33.33,final photos not taken (camera issue),
exp4-3,5/27/2025,6/6/2025,nw,,,0.0608,23.29,3.69,15.28,33.64,final photos not taken (camera issue),
exp4-4,5/27/2025,6/6/2025,random,,,0.0598,22.86,4.35,13.46,35.33,final photos not taken (camera issue),
exp4-5,5/27/2025,6/6/2025,random,,,0.0588,22.93,4.18,13.94,34.37,final photos not taken (camera issue),
