exp,Date,Time,cont1,cont2,cont3,cont4,cont5,cont6,cont7,cont8,cont9
2,4/28/2025,4:15:00 PM,19.853,22.238,21.855,22.046,22.046,26.64,27.02,,26.38
2,4/28/2025,5:15:00 PM,27.272,27.173,26.195,29.352,29.252,25.69,24.11,,23.42
2,4/28/2025,6:15:00 PM,26.292,25.805,24.738,26.585,27.075,23.25,22.52,,21.7
2,4/28/2025,7:15:00 PM,25.708,25.61,24.158,23.966,24.545,21.53,20.85,,20.2
2,4/28/2025,8:15:00 PM,24.835,24.738,23.484,22.046,22.525,21.06,19.77,,18.92
2,4/28/2025,9:15:00 PM,23.869,23.869,22.717,20.71,20.901,21.15,19.35,,18.74
2,4/28/2025,10:15:00 PM,23.1,23.196,22.238,21.282,20.996,21.02,18.74,,18.14
2,4/28/2025,11:15:00 PM,22.717,23.004,22.046,21.664,21.187,21.02,18.23,,17.76
2,4/29/2025,12:15:00 AM,22.238,22.525,21.664,21.664,20.996,19.99,17.72,,17.37
2,4/29/2025,1:15:00 AM,21.76,22.142,21.187,21.187,20.71,18.79,17.54,,17.2
2,4/29/2025,2:15:00 AM,21.473,21.855,20.901,19.377,19.377,18.49,18.1,,17.89
2,4/29/2025,3:15:00 AM,21.473,21.76,20.805,18.426,18.616,18.7,18.7,,18.49
2,4/29/2025,4:15:00 AM,22.238,22.621,21.473,18.616,19.282,19.69,19,,18.87
2,4/29/2025,5:15:00 AM,22.717,23.388,22.046,18.996,19.567,21.02,19.47,,19.52
2,4/29/2025,6:15:00 AM,22.717,23.484,22.238,20.805,20.901,22.39,20.37,,20.46
2,4/29/2025,7:15:00 AM,22.046,21.855,21.187,22.142,22.142,23.98,21.66,,21.92
2,4/29/2025,8:15:00 AM,22.238,22.142,21.473,23.677,23.581,24.41,22.65,,23.08
2,4/29/2025,9:15:00 AM,22.908,23.196,22.142,24.931,24.835,24.15,23.16,,23.59
2,4/29/2025,10:15:00 AM,23.196,23.677,22.621,24.351,24.448,25.48,24.71,,25.01
2,4/29/2025,11:15:00 AM,24.062,24.255,23.1,24.351,24.931,27.45,27.15,,27.45
2,4/29/2025,12:15:00 PM,26,26.292,24.738,25.902,26.585,30.03,28.83,,28.83
2,4/29/2025,1:15:00 PM,27.764,29.053,26.977,28.258,28.555,30.2,27.88,,27.88
2,4/29/2025,2:15:00 PM,28.555,29.552,27.665,30.255,29.752,30.16,27.8,,27.58
2,4/29/2025,3:15:00 PM,28.357,28.159,27.173,30.255,29.953,29.81,27.28,,26.85
2,4/29/2025,4:15:00 PM,27.764,27.862,27.37,30.255,29.552,27.88,25.65,,25.22
2,4/29/2025,5:15:00 PM,27.173,27.173,26.977,29.452,28.853,25.57,23.81,,23.08
2,4/29/2025,6:15:00 PM,25.805,25.319,25.708,26.683,26.39,22.01,21.06,,20.07
2,4/29/2025,7:15:00 PM,24.545,25.125,25.125,23.677,23.196,18.92,18.27,,17.41
2,4/29/2025,8:15:00 PM,22.525,23.1,23.196,20.71,20.329,17.03,15.83,,15.18
2,4/29/2025,9:15:00 PM,20.424,20.996,21.282,18.14,17.475,16.21,13.98,,13.43
2,4/29/2025,10:15:00 PM,18.711,19.282,19.567,17.475,16.332,15.14,12.48,,12.1
2,4/29/2025,11:15:00 PM,17.284,17.76,18.045,16.618,15.378,14.5,11.49,,11.11
2,4/30/2025,12:15:00 AM,16.332,16.808,16.999,15.855,14.613,13.25,10.89,,10.42
