"Plot Title: 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874406, SEN S/N: 874406)","Intensity, Lux (LGR S/N: 874406, SEN S/N: 874406)","Coupler Attached (LGR S/N: 874406)","Host Connected (LGR S/N: 874406)","Coupler Detached (LGR S/N: 874406)","Stopped (LGR S/N: 874406)","End Of File (LGR S/N: 874406)"
1,06/09/25 12:00:00  PM,24.158,172.2,,,,,
2,06/09/25 01:00:00  PM,23.292,0.0,,,,,
3,06/09/25 02:00:00  PM,23.196,0.0,,,,,
4,06/09/25 03:00:00  PM,23.196,0.0,,,,,
5,06/09/25 04:00:00  PM,23.196,0.0,,,,,
6,06/09/25 05:00:00  PM,23.004,0.0,,,,,
7,06/09/25 06:00:00  PM,22.812,0.0,,,,,
8,06/09/25 07:00:00  PM,22.717,0.0,,,,,
9,06/09/25 08:00:00  PM,22.717,0.0,,,,,
10,06/09/25 09:00:00  PM,22.525,0.0,,,,,
11,06/09/25 10:00:00  PM,22.333,0.0,,,,,
12,06/09/25 11:00:00  PM,22.333,0.0,,,,,
13,06/10/25 12:00:00  AM,22.238,0.0,,,,,
14,06/10/25 01:00:00  AM,22.238,0.0,,,,,
15,06/10/25 02:00:00  AM,22.238,0.0,,,,,
16,06/10/25 03:00:00  AM,22.142,0.0,,,,,
17,06/10/25 04:00:00  AM,22.046,0.0,,,,,
18,06/10/25 05:00:00  AM,22.046,0.0,,,,,
19,06/10/25 06:00:00  AM,21.855,0.0,,,,,
20,06/10/25 07:00:00  AM,21.855,0.0,,,,,
21,06/10/25 08:00:00  AM,21.855,0.0,,,,,
22,06/10/25 09:00:00  AM,21.760,0.0,,,,,
23,06/10/25 10:00:00  AM,21.760,0.0,,,,,
24,06/10/25 11:00:00  AM,28.754,6200.0,,,,,
25,06/10/25 12:00:00  PM,23.581,11022.3,,,,,
26,06/10/25 01:00:00  PM,24.351,6200.0,,,,,
27,06/10/25 02:00:00  PM,24.641,3961.1,,,,,
28,06/10/25 03:00:00  PM,24.448,376.7,,,,,
29,06/10/25 04:00:00  PM,24.931,538.2,,,,,
30,06/10/25 05:00:00  PM,24.255,387.5,,,,,
