"","Pond","temp","O2mg","O2sat","date","hour","jdate"
"2","DW1",23.485,0.093,1.094188,2025-07-23 20:07:00,20,204
"3","DW1",23.51,0.09,1.059391,2025-07-23 20:17:00,20,204
"4","DW1",23.502,0.093,1.094539,2025-07-23 20:27:00,20,204
"5","DW1",23.527,0.088,1.03618,2025-07-23 20:37:00,20,204
"6","DW1",23.518,0.089,1.047777,2025-07-23 20:47:00,20,204
"7","DW1",23.518,0.087,1.024232,2025-07-23 20:57:00,20,204
"8","DW1",23.535,0.086,1.012783,2025-07-23 21:07:00,21,204
"9","DW1",23.535,0.086,1.012783,2025-07-23 21:17:00,21,204
"10","DW1",23.543,0.085,1.001157,2025-07-23 21:27:00,21,204
"11","DW1",23.543,0.085,1.001157,2025-07-23 21:37:00,21,204
"12","DW1",23.56,0.086,1.01326,2025-07-23 21:47:00,21,204
"13","DW1",23.543,0.085,1.001157,2025-07-23 21:57:00,21,204
"14","DW1",23.552,0.085,1.001327,2025-07-23 22:07:00,22,204
"15","DW1",23.56,0.085,1.001477,2025-07-23 22:17:00,22,204
"16","DW1",23.569,0.084,0.989863,2025-07-23 22:27:00,22,204
"17","DW1",23.577,0.084,0.990012,2025-07-23 22:37:00,22,204
"18","DW1",23.585,0.084,0.990161,2025-07-23 22:47:00,22,204
"19","DW1",23.585,0.084,0.990161,2025-07-23 22:57:00,22,204
"20","DW1",23.619,0.084,0.990794,2025-07-23 23:07:00,23,204
"21","DW1",23.585,0.084,0.990161,2025-07-23 23:17:00,23,204
"22","DW1",23.594,0.084,0.990328,2025-07-23 23:27:00,23,204
"23","DW1",23.585,0.084,0.990161,2025-07-23 23:37:00,23,204
"24","DW1",23.611,0.084,0.990645,2025-07-23 23:47:00,23,204
"25","DW1",23.602,0.083,0.978686,2025-07-23 23:57:00,23,204
"26","DW1",23.602,0.084,0.990477,2025-07-24 00:07:00,0,205
"27","DW1",23.602,0.084,0.990477,2025-07-24 00:17:00,0,205
"28","DW1",23.594,0.085,1.002118,2025-07-24 00:27:00,0,205
"29","DW1",23.619,0.085,1.002589,2025-07-24 00:37:00,0,205
"30","DW1",23.644,0.084,0.99126,2025-07-24 00:47:00,0,205
"31","DW1",23.627,0.084,0.990943,2025-07-24 00:57:00,0,205
"32","DW1",23.627,0.084,0.990943,2025-07-24 01:07:00,1,205
"33","DW1",23.636,0.084,0.991111,2025-07-24 01:17:00,1,205
