#,Date-Time (EDT),"Temperature , °C","Light , lux"
1,07/21/2025 17:27:58,25.18,456.16
2,07/21/2025 18:27:58,22.26,39.24
3,07/21/2025 19:27:58,21.66,18.53
4,07/21/2025 20:27:58,21.70,5.30
5,07/21/2025 21:27:58,21.53,2.33
6,07/21/2025 22:27:58,21.28,2.33
7,07/21/2025 23:27:58,21.28,2.33
8,07/22/2025 00:27:58,21.02,5.30
9,07/22/2025 01:27:58,21.15,0.00
10,07/22/2025 02:27:58,20.93,0.00
11,07/22/2025 03:27:58,20.93,0.00
12,07/22/2025 04:27:58,21.06,0.00
13,07/22/2025 05:27:58,21.10,0.00
14,07/22/2025 06:27:58,21.10,1.06
15,07/22/2025 07:27:58,21.19,2.97
16,07/22/2025 08:27:58,19.95,161.28
17,07/22/2025 09:27:58,23.55,216.00
18,07/22/2025 10:27:58,25.78,17.07
19,07/22/2025 11:27:58,20.98,17.76
20,07/22/2025 12:27:58,21.32,25.32
21,07/22/2025 13:27:58,21.36,5.73
22,07/22/2025 14:27:58,21.75,5.73
23,07/22/2025 15:27:58,21.96,5.52
24,07/22/2025 16:27:58,21.88,1.91
25,07/22/2025 17:27:58,22.13,6.15
26,07/22/2025 18:27:58,21.96,5.73
27,07/22/2025 19:27:58,21.79,5.52
28,07/22/2025 20:27:58,21.36,3.18
29,07/22/2025 21:27:58,19.65,0.00
30,07/22/2025 22:27:58,18.62,0.00
31,07/22/2025 23:27:58,18.02,0.00
32,07/23/2025 00:27:58,17.37,0.00
33,07/23/2025 01:27:58,16.56,0.00
34,07/23/2025 02:27:58,16.21,0.00
35,07/23/2025 03:27:58,16.00,0.00
36,07/23/2025 04:27:58,15.78,0.00
37,07/23/2025 05:27:58,16.30,0.00
38,07/23/2025 06:27:58,16.30,0.42
39,07/23/2025 07:27:58,16.86,5.52
40,07/23/2025 08:27:58,17.67,5.12
41,07/23/2025 09:27:58,18.53,4.27
42,07/23/2025 10:27:58,19.52,4.48
43,07/23/2025 11:27:58,20.12,2.12
44,07/23/2025 12:27:58,19.90,0.42
45,07/23/2025 13:27:58,24.84,1.27
46,07/23/2025 14:27:58,24.06,0.42
47,07/23/2025 15:27:58,27.24,17.57
48,07/23/2025 16:27:58,27.24,41.20
49,07/23/2025 17:27:58,33.72,46018.56
