Experiment_Number,Old_Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Petridish_count_1,Petridish_count_2,Petridish_count_2,cat_1,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Gap_size,Remarks
,26,07-Feb-2021,12-Feb-2021,simplelong_27_000_9,27,0,3,,10,14,18,,,,N,26.98205,27.3971,2.475696,2.343575,0.04356791,0.05568219,,,
,26,07-Feb-2021,12-Feb-2021,simplelong_27_095_9,27,0.95,5,,9,14,10,,,,N,27.02479,27.10563,2.494508,2.427632,0.94721376,0.8091375,,,
,26,07-Feb-2021,12-Feb-2021,simplelong_27_095_rev_9,27,0.95,6,,22,20,28,,,,P,26.98034,26.6828,2.525362,2.534399,0.95256249,0.9464382,,,
,27,14-Feb-2021,19-Feb-2021,simplelong_23_095_rev_3,23,0.95,3,,36,34,31,,,,P,22.94622,22.95921,2.505783,2.469017,0.95214911,0.90192584,,,
,27,14-Feb-2021,19-Feb-2021,simplelong_23_000_3,23,0,5,,39,40,42,,,,P,22.95294,23.20267,2.464178,2.434214,0.01018263,0.04644622,,,
,27,14-Feb-2021,19-Feb-2021,simplelong_23_095_3,23,0.95,6,,43,45,41,,,,N,22.96471,23.15484,2.506418,2.285375,0.95465855,0.83364775,,,
,29,28-Feb-2021,04-Mar-2021,simplelong_23_000_4,23,0,3,,48,38,24,,,,N,22.95583,22.64225,2.463235,2.61816,0.03237253,0.01402217,,,
,29,28-Feb-2021,04-Mar-2021,simplelong_23_095_4,23,0.95,5,,30,25,27,,,,P,22.96,22.92299,2.490162,2.488424,0.96230208,0.88786189,,,
,29,28-Feb-2021,04-Mar-2021,simplelong_23_095_rev_4,23,0.95,6,,40,23,21,,,,N,22.955,22.97045,2.49011,2.387619,0.96206343,0.84634171,,,
,64,February 11/2022,February 16/2022,Simplelong27_095rev_5,27,0.95,4,,3,9,6,,,,N,26.97395,26.93613,2.492683,2.499821,0.94637265,0.945336894,,,
,64,February 11/2022,February 16/2022,Simplelong27_000_19,27,0,5,,13,14,12,,,,N,26.94118,26.93025,2.463854,2.501239,0.02574331,0.013639248,,,
,64,February 11/2022,February 16/2022,Simplelong27_095_6,27,0.95,6,,12,19,8,,,,P,26.94034,26.8958,2.500384,2.499335,0.9646956,0.960767153,,,
,67,March 4/2022,March 9/2022,Simplelong15_095rev_7,15,0.95,3,,16,14,13,,,,N,14.95,14.9175,2.495744,2.490441,0.94924247,0.94741029,,,
,67,March 4/2022,March 9/2022,Simplelong15_000_8,15,0,4,,8,7,13,,,,N,14.95083,14.93583,2.456957,2.450066,0.01505083,0.03290709,,,
,67,March 4/2022,March 9/2022,Simplelong15_095_8,15,0.95,5,,3,13,7,,,,N,14.94833,14.92,2.491194,2.51067,0.95371913,0.94760196,,,
,67,March 4/2022,March 9/2022,Simplelong15_095rev_8,15,0.95,6,,0,0,0,,,,P,14.95917,14.90833,2.493706,2.485406,0.95410872,0.95198549,,,
,68,March 11/2022,March 16/2022,Simplelong15_095_9,15,0.95,2,,26,23,32,,,,P,14.95,14.9175,2.503779,2.502827,0.95678619,0.956656,,,
,68,March 11/2022,March 16/2022,Simplelong15_095rev_9,15,0.95,3,,12,17,10,,,,N,14.95083,14.9075,2.497326,2.509718,0.95667522,0.95663652,,,
,68,March 11/2022,March 16/2022,Simplelong15_000_9,15,0,4,,7,9,10,,,,N,14.94667,14.94417,2.46515,2.467087,0.00752323,0.05299073,,,
,69,March 18/2022,March 23/2022,Simplelong15_095rev_10,15,0.95,3,,9,0,0,,,,N,14.9625,14.92417,2.493018,2.499075,0.94988157,0.9488564,,,
,69,March 18/2022,March 23/2022,Simplelong15_000_10,15,0,4,,1,7,5,,,,P,14.9575,14.92833,2.46347,2.459596,0.01953817,0.01758758,,,
,69,March 18/2022,March 23/2022,Simplelong15_095_11,15,0.95,5,,17,10,0,,,,P,14.95667,14.90667,2.489735,2.515757,0.95020225,0.95324903,,,
,71,April 1/2022,April 6/2022,Simplelong15_000_12,15,0,2,,0,0,0,,,,P,14.9475,14.9225,2.457298,2.480934,0.02063921,0.02686499,,,
,71,April 1/2022,April 6/2022,Simplelong15_095_12,15,0.95,3,,16,18,17,,,,N,14.94417,14.91917,2.494727,2.499085,0.95484486,0.95253946,,,
,71,April 1/2022,April 6/2022,Simplelong15_095rev_12,15,0.95,4,,10,17,0,,,,P,14.955,14.91333,2.493684,2.496449,0.95442343,0.95457512,,,
,71,April 1/2022,April 6/2022,Simplelong15_000_11,15,0,5,,0,0,19,,,,N,14.94917,14.93167,2.464811,2.463753,0.02569829,0.04711749,,,
,72,April 8/2022,April 13/2022,Simplelong15_095rev_13,15,0.95,2,,0,6,9,,,,P,14.93529,14.88655,2.504964,2.513891,0.95716639,0.95450542,,,
,72,April 8/2022,April 13/2022,Simplelong15_000_13,15,0,3,,12,10,3,,,,P,14.98655,14.94958,2.432754,2.456775,0.0137826,0.01327641,,,
,72,April 8/2022,April 13/2022,Simplelong15_000_14,15,0,4,,13,14,0,,,,N,14.95294,14.92101,2.47259,2.467685,0.01400777,0.03395561,,,
,72,April 8/2022,April 13/2022,Simplelong15_095_14,15,0.95,5,,11,9,10,,,,N,14.9563,14.93193,2.503849,2.513015,0.94994651,0.95238401,,,
,72,April 8/2022,April 13/2022,Simplelong15_095rev_14,15,0.95,6,,0,0,9,,,,P,14.95882,14.91008,2.509656,2.509656,0.95141028,0.94903976,,,
,73,April 15/2022,April 20/2022,Simplelong15_000_15,15,0,2,,6,7,5,,,,N,14.95462,14.93866,2.466719,2.498783,0.008889543,0.004249368,,,
,73,April 15/2022,April 20/2022,Simplelong15_095_15,15,0.95,3,,12,12,17,,,,P,14.95583,14.91167,2.493346,2.495784,0.949684276,0.945765963,,,
,73,April 15/2022,April 20/2022,Simplelong15_095rev_15,15,0.95,4,,0,7,13,,,,N,14.955,14.91333,2.49183,2.488695,0.95015337,0.949294142,,,
,73,April 15/2022,April 20/2022,Simplelong15_095_16,15,0.95,5,,17,8,0,,,,N,14.94202,14.92605,2.503912,2.515628,0.955009337,0.952180738,,,
,73,April 15/2022,April 20/2022,Simplelong15_095rev_16,15,0.95,6,,0,17,13,,,,P,14.95833,14.90917,2.498322,2.494296,0.954106371,0.953215772,,,
,77,22-Sep-2022,27-Sep-2022,simplelong10_000_7,10,0,2,,1,1,4,,,,,9.952,9.94,2.452,2.451,0.014,0.026,,,
,77,22-Sep-2022,27-Sep-2022,simplelong10_095_7,10,0.95,3,,1,1,2,,,,N,9.958,9.93,2.495,2.5,0.953,0.952,,,
,77,22-Sep-22,27-Sep-2022,simplelong10_095rev_7,10,0.95,4,,1,1,1,,,,P,9.965,9.933,2.493,2.501,0.953,0.948,,,
,79,06-Oct-2022,11-Oct-2022,simplelong10_000_9,10,0,2,,2,1,1,,,,,9.951,9.968,2.464,2.438,0.012,0.015,,,
,79,06-Oct-2022,11-Oct-2022,simplelong10_095rev_9,10,0.95,3,,0,1,1,,,,N,9.973,9.926,2.496,2.492,0.953,0.953,,,
,79,06-Oct-2022,11-Oct-2022,simplelong10_095_9,10,0.95,4,,0,1,1,,,,P,9.941,10.028,2.503,2.404,0.953,0.946,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
