,lfile,interval,npts,nobs,meanp,meano,varp,varo,acfp,acfo,maxp,maxo,minp,mino,start
1,e10inc1simplelong11_0.91rev.xls,4.967361111,7154,4388,11.02137266,10.98507293,6.237838966,6.295443874,NA,NA,20,19.8,8,7.8,9/20/2019 11:23
2,e10inc3simplelong11_0.91.xls,4.972916667,7162,5010,11.01704831,10.92423154,6.252281581,5.82671557,NA,NA,20,20,8,8,9/20/2019 11:23
3,e10inc5simplelong11_0.53.xls,4.973611111,7163,5593,10.96851878,10.95163597,5.421615608,5.711127956,NA,NA,20,20,8,7.8,9/20/2019 11:24
4,e10inc6simplelong11_0.04.xls,3.018055556,4347,3755,11.01442374,15.63834887,4.48289131,9.509450656,NA,NA,20,20,8,7.9,9/20/2019 11:24
5,e11inc1simplelong15_0.95rev_sd2.5.xls,5.017361111,7226,4431,14.96821201,14.95411871,6.105188692,6.192962152,NA,NA,20.3,20.6,10,10,9/27/2019 10:26
6,e11inc3simplelong15_0.95_sd2.5.xls,5.020138889,7230,5016,14.97413555,14.93943381,6.138011253,5.99867597,NA,NA,20.3,20.2,10,9.8,9/27/2019 10:27
7,e11inc5simplelong15_0.57_sd2.5.xls,5.020833333,7231,5652,14.97034988,14.90467091,5.359859338,5.651080638,NA,NA,20.3,20.2,10,9.6,9/27/2019 10:27
8,e11inc6simplelong15_0.01_sd2.5.xls,5.020833333,7231,6320,14.96792975,15.19382911,4.156723777,5.025560901,NA,NA,20.3,24.2,10,10.1,9/27/2019 10:27
9,e12inc1simplelong15_0.95rev.xls,4.989583333,7186,2732,14.28101865,15.74352123,8.514130959,7.848156472,NA,NA,22,22,10.3,10.1,10/4/2019 10:55
10,e12inc3simplelong15_0.95.xls,4.990972222,7188,3037,14.24513077,13.32265393,2.413034587,1.998926683,NA,NA,20,20,10.3,10.1,10/4/2019 10:57
11,e12inc5simplelong15_0.57.xls,4.992361111,7190,3793,13.3952573,15.03255998,7.795402458,6.171552965,NA,NA,22,22,10.3,10.3,10/4/2019 10:57
12,e12inc6simplelong15_0.01.xls,4.993055556,7191,3920,15.38162982,15.06237245,3.228234117,4.544710369,NA,NA,22,22.2,10.3,10.1,10/4/2019 10:57
13,e13inc1simplelong15_0.02_5.xls,5.034722222,7251,4527,14.97578265,14.94974597,4.20505206,4.696676361,NA,NA,21.6,21.6,10.2,10.1,10/11/2019 10:26
14,e13inc3simplelong15_0.61_5.xls,5.035416667,7252,5064,14.97633756,14.95679305,5.41765543,5.813376717,NA,NA,21.6,21.7,10.2,10.1,10/11/2019 10:26
15,e13inc5simplelong15_0.95_5.xls,5.035416667,7252,5908,14.96853282,15.06277928,6.099790262,6.102455589,NA,NA,21.6,21.6,10.2,10.1,10/11/2019 10:27
16,e13inc6simplelong15_0.95rev_5.xls,5.036111111,7253,6290,14.98004963,14.95310016,6.125212794,6.130880036,NA,NA,21.6,21.6,10.2,10.1,10/11/2019 10:27
17,e14inc1simplelong27_0.95rev_2.xls,4.955555556,7137,4354,26.90288637,26.86276987,6.247197385,6.32648633,NA,NA,31.9,31.7,20,20,10/18/2019 11:54
18,e14inc3simplelong27_0.95_2.xls,4.95625,7138,4902,26.9285234,26.94247246,6.250731769,6.515331001,NA,NA,31.9,31.7,20,20,10/18/2019 11:55
19,e14inc5simplelong27_0.58_2.xls,4.95625,7138,5813,26.95620622,26.88591089,5.433743879,5.72690573,NA,NA,31.9,31.8,20,19.8,10/18/2019 11:55
20,e14inc6simplelong27_0.01_2.xls,4.956944444,7139,6121,26.90170892,26.86080706,4.279178923,4.642406473,NA,NA,31.9,31.8,20,20,10/18/2019 11:55
21,e15inc1simplelong27_0.95rev_3.xls,5.013888889,7221,4485,26.92239302,26.86911929,6.275303192,6.449614858,NA,NA,31.7,31.6,19.3,19.1,10/25/2019 10:30
22,e15inc3simplelong27_0.95_3.xls,5.015277778,7223,5068,26.93351793,26.88206393,6.176446318,6.406042947,NA,NA,31.7,31.6,19.3,19.2,10/25/2019 10:31
23,e15inc5simplelong27_0.6_3.xls,5.015972222,7224,5619,26.91787099,26.86746752,5.535858072,5.764377548,NA,NA,31.7,31.6,19.3,19.3,10/25/2019 10:31
