"auto_0","auto_0.55","auto_0.95","auto_0.95rev"
258,263,293,281
281,269,298,272
272,246,302,273
234,258,289,285
252,233,300,286
241,245,288,283
281,254,284,290
307,280,280,296
218,285,272,298
301,258,279,296
286,304,268,293
266,307,254,309
270,301,248,306
229,275,240,304
263,259,233,304
259,301,231,302
313,271,245,310
315,281,248,313
255,277,246,307
252,251,246,307
236,290,252,315
306,296,254,310
300,278,262,315
254,269,267,304
225,255,275,301
271,280,266,281
259,235,256,301
304,234,251,314
254,231,236,304
230,253,241,307
274,263,230,304
314,230,228,283
238,227,225,281
310,256,227,279
278,293,218,282
271,296,221,278
245,275,230,277
233,241,232,271
255,248,234,271
289,225,229,275
279,228,235,274
296,218,234,256
298,234,235,255
290,262,239,255
302,283,244,254
296,298,238,259
269,306,253,263
298,304,262,260
248,300,272,256
272,273,265,269
256,314,271,272
258,313,269,280
230,288,267,280
289,289,269,281
240,254,263,292
262,271,263,289
304,284,258,270
267,267,267,259
265,238,262,255
280,265,258,252
232,255,252,258
246,272,255,262
268,252,259,267
244,271,270,258
304,274,289,263
228,292,292,263
267,304,281,269
285,262,280,267
256,280,280,269
281,229,272,271
281,232,269,265
254,262,256,272
235,310,260,262
309,310,263,253
251,315,259,238
293,309,254,244
269,307,255,239
284,315,255,235
272,307,256,234
272,281,274,235
275,281,275,229
307,260,271,234
280,239,271,232
282,259,277,230
235,272,278,221
277,279,282,218
262,268,279,227
315,235,281,225
307,263,283,228
231,230,304,230
271,236,307,241
248,279,304,236
280,255,314,251
262,256,301,256
304,270,281,266
239,281,301,275
227,269,304,267
255,254,315,262
267,302,310,254
283,293,315,252
304,267,307,246
301,266,307,246
275,289,313,248
234,272,310,245
260,304,302,231
256,302,304,233
263,304,304,240
253,240,306,248
221,298,309,254
302,283,293,268
273,267,296,279
279,256,298,272
269,282,296,280
310,246,290,284
283,221,283,288
292,244,286,300
293,272,285,289
288,248,273,302
263,286,272,298
246,252,281,293
