"auto_0","auto_0.64","auto_0.94","auto_0.94rev"
264,264,318,268
275,285,320,263
287,270,318,251
251,266,317,259
241,241,310,255
282,241,306,262
302,229,315,263
270,236,302,258
229,270,305,261
275,236,317,267
281,230,313,265
292,207,302,248
280,235,296,252
266,252,298,241
275,233,301,241
285,205,299,246
270,243,288,242
294,271,283,258
274,262,280,251
255,320,287,235
268,294,278,236
259,295,281,239
289,292,285,229
285,305,288,229
296,318,285,230
241,317,280,207
268,318,272,227
231,288,272,223
279,287,269,205
275,317,271,224
310,286,273,230
317,251,269,231
302,245,274,236
268,280,264,241
285,266,273,243
262,285,275,250
278,280,270,243
278,275,266,236
223,280,266,233
266,246,271,237
263,278,270,248
283,259,275,245
236,274,280,259
252,239,286,267
318,229,283,263
271,237,285,268
267,255,275,278
241,272,287,285
207,293,288,293
246,299,278,289
292,301,278,294
299,275,275,280
237,259,282,275
259,310,292,277
288,282,298,279
278,288,292,280
243,265,294,272
288,275,295,262
230,267,295,266
261,273,275,268
250,268,268,275
320,250,266,295
283,283,262,295
295,263,272,294
239,242,280,292
224,262,279,298
298,272,277,292
258,280,275,282
248,294,280,275
301,285,294,278
236,313,289,278
229,315,293,288
275,288,285,287
275,280,278,275
248,298,268,285
295,272,263,283
205,268,267,286
243,285,259,280
272,289,245,275
280,287,248,270
272,277,237,271
286,302,233,266
263,278,236,266
294,278,243,270
269,269,250,275
233,251,243,273
262,306,241,264
272,302,236,274
235,295,231,269
317,266,230,273
315,268,224,271
298,236,205,269
280,248,223,272
318,223,227,272
266,263,207,280
278,269,230,285
273,275,229,288
267,275,229,285
265,263,239,281
263,261,236,278
313,230,235,287
251,231,251,280
273,224,258,283
258,258,242,288
288,241,246,299
293,227,241,301
277,243,241,298
280,278,252,296
227,292,248,302
285,298,265,313
305,275,267,317
242,281,261,305
287,267,258,302
271,248,263,315
230,283,262,306
306,258,255,310
245,273,259,317
269,271,251,318
236,279,263,320
280,296,268,318
