"auto_0","auto_0.57","auto_0.95","auto_0.95rev"
285,258,271,262
281,282,280,270
288,248,276,271
276,238,269,273
244,242,277,283
266,270,284,295
264,291,285,295
254,280,286,304
273,251,291,293
290,237,271,275
300,234,275,275
264,221,299,282
291,232,290,291
258,233,273,299
292,222,269,309
234,295,266,295
230,276,271,305
309,293,277,288
295,267,284,292
238,295,276,301
240,255,285,315
246,271,273,314
259,299,261,310
238,292,251,315
283,273,261,308
271,264,250,290
285,299,253,286
286,295,250,292
259,298,243,300
258,265,236,295
270,273,237,299
271,253,237,295
237,277,234,304
255,285,233,304
295,310,236,310
291,302,244,308
273,304,246,298
310,275,238,302
269,261,246,300
264,234,245,298
245,225,242,291
250,240,254,281
262,237,258,288
271,230,258,283
293,225,264,268
275,250,264,273
277,235,259,270
295,271,258,267
271,276,255,264
251,304,260,253
275,283,265,251
308,281,259,238
299,237,251,235
261,284,248,232
222,264,248,230
299,275,240,225
284,284,238,222
315,245,237,221
277,250,234,233
235,238,233,225
308,236,225,233
251,300,233,234
273,308,221,237
242,259,222,238
291,244,225,240
299,258,230,248
251,233,232,248
314,236,235,251
276,295,238,259
246,273,251,265
304,268,253,260
243,261,264,255
288,271,267,258
269,253,270,259
270,291,273,264
236,243,268,264
248,277,283,258
225,258,288,258
292,275,281,254
233,290,291,242
283,271,298,245
250,251,300,246
253,301,302,238
304,285,298,246
305,246,308,244
282,246,310,236
237,238,304,233
295,233,304,234
298,260,295,237
273,248,299,237
258,251,295,236
301,266,300,243
300,283,292,250
302,310,286,253
221,309,290,250
248,315,308,261
238,314,315,251
290,315,310,261
275,308,314,273
310,286,315,285
295,269,301,276
233,288,292,284
284,295,288,277
280,292,305,271
236,300,295,266
315,273,309,269
265,254,299,273
298,299,291,290
268,298,282,299
304,290,275,275
237,269,275,271
232,304,293,291
253,305,304,286
260,286,295,285
267,288,295,284
234,291,283,277
233,262,273,269
286,270,271,276
261,264,270,280
225,259,262,271
