"auto_0.01","auto_0.54","auto_0.95","auto_0.95rev"
375,364,354,344
326,352,364,335
416,327,356,338
354,379,355,339
339,392,354,331
396,409,349,327
403,396,364,322
401,371,358,324
344,368,352,325
341,400,358,326
342,378,359,334
371,359,343,327
404,334,345,335
358,326,342,331
327,342,348,339
413,358,367,344
386,400,362,350
371,387,352,342
381,413,350,342
359,410,343,341
378,386,356,337
358,376,366,338
377,391,366,347
391,381,378,362
327,387,376,359
400,402,378,381
363,411,388,382
383,413,401,373
417,402,401,376
366,342,404,370
366,335,403,369
371,344,412,377
387,338,409,379
388,354,416,370
401,368,418,368
334,345,417,368
359,404,413,377
347,388,411,379
325,401,410,374
344,386,413,371
350,364,409,371
386,355,403,364
403,335,402,365
331,372,387,344
411,370,402,354
401,377,392,367
355,369,401,371
368,375,400,372
386,401,392,371
322,374,396,363
343,379,391,372
348,362,390,371
370,356,400,373
369,352,398,386
367,343,386,386
413,343,408,386
376,367,405,378
342,331,388,375
338,378,387,371
392,373,383,379
344,338,379,383
362,386,371,387
364,409,375,388
372,354,378,405
342,341,386,408
365,358,386,386
368,366,386,398
374,347,373,400
371,337,371,390
354,325,372,391
364,349,363,396
410,344,371,392
373,388,372,400
362,379,371,401
386,364,367,392
324,356,354,402
379,359,344,387
409,403,365,402
331,350,364,403
350,372,371,409
367,363,371,413
405,390,374,410
335,412,379,411
352,417,377,413
352,418,368,417
354,416,368,418
343,392,370,416
379,371,379,409
409,331,377,412
408,386,369,403
382,403,370,404
400,378,376,401
356,405,373,401
378,408,382,388
338,377,381,378
387,382,359,376
356,401,362,378
412,350,347,366
378,339,338,366
398,373,337,356
364,371,341,343
371,383,342,350
372,371,342,352
402,354,350,362
373,371,344,367
377,371,339,348
339,398,331,342
370,365,335,345
335,348,327,343
402,376,334,359
418,367,326,358
392,339,325,352
388,366,324,358
390,344,322,364
379,370,327,349
376,362,331,354
349,342,339,355
371,324,338,356
345,322,335,364
337,327,344,354
