"auto_0","auto_0.58","auto_0.95","auto_0.95rev"
148,141,132,172
147,148,116,182
150,141,119,184
175,149,107,172
154,148,109,163
137,121,100,165
160,163,99,174
114,183,109,172
109,174,109,183
167,196,105,192
117,158,114,196
172,175,115,176
130,131,105,164
142,123,111,156
105,115,115,153
124,127,113,158
150,145,105,173
109,192,109,178
156,183,121,185
133,171,129,184
158,107,130,179
150,138,133,182
160,150,135,190
105,172,133,185
149,168,133,193
131,132,122,174
127,173,127,173
109,184,131,183
147,167,131,192
185,162,137,180
135,180,123,178
161,133,123,182
139,150,125,180
132,173,124,191
105,148,117,175
172,182,127,162
115,172,134,161
182,179,137,171
131,160,139,170
192,153,143,157
192,143,161,149
162,147,163,158
174,171,165,171
123,176,167,172
173,182,148,164
172,172,150,160
123,146,150,154
148,142,148,147
133,150,142,150
196,133,142,147
142,170,148,160
129,185,157,171
160,164,158,168
109,180,145,160
153,137,139,160
158,119,141,153
173,116,148,146
115,111,141,143
141,117,142,138
137,127,145,137
165,137,137,145
141,190,138,142
172,165,143,141
163,161,146,148
180,192,153,141
146,184,160,139
179,160,160,145
113,135,168,158
174,161,171,157
184,158,160,148
100,160,147,142
148,160,150,142
145,143,147,148
122,178,154,150
99,158,160,150
193,131,164,148
137,171,172,167
107,185,171,165
119,153,158,163
121,157,149,161
185,182,157,143
191,139,170,139
168,137,171,137
163,145,161,134
116,154,162,127
127,109,175,117
133,134,191,124
178,113,180,125
138,105,182,123
125,99,178,123
171,105,180,137
171,114,192,131
176,122,183,131
183,164,173,127
184,139,174,122
160,165,193,133
145,125,185,133
182,123,190,135
148,129,182,133
171,100,179,130
142,105,184,129
158,109,185,121
164,133,178,109
153,109,173,105
164,124,158,113
180,109,153,115
134,115,156,111
178,130,164,105
165,142,176,115
143,174,196,114
170,157,192,105
139,172,183,109
111,156,172,109
143,178,174,99
182,148,165,100
157,142,163,109
190,147,172,107
157,163,184,119
183,193,182,116
161,191,172,132
