"auto_0.13","auto_0.54","auto_0.73","auto_0.73rev"
385,385,349,325
383,383,354,343
341,384,379,312
325,385,377,357
385,376,374,379
385,385,357,377
385,382,373,371
379,378,363,350
378,351,344,380
385,311,342,380
363,347,326,382
257,373,382,373
373,385,366,344
385,383,325,366
385,385,351,347
385,350,341,367
313,354,360,383
385,353,382,377
385,384,383,350
385,385,384,351
383,383,385,353
377,379,385,376
385,385,385,372
385,385,385,376
385,385,385,313
344,368,385,312
368,379,385,354
350,385,385,326
385,385,385,311
311,385,385,246
385,361,385,257
366,385,385,347
385,385,385,349
382,363,385,341
385,382,385,361
385,378,385,368
353,343,385,384
385,385,385,385
378,385,385,382
344,385,385,379
385,385,385,378
385,385,385,378
366,385,385,383
385,344,385,382
380,344,385,381
325,347,385,385
384,354,385,385
354,373,385,385
385,325,385,385
372,246,385,385
354,341,385,385
385,349,385,385
351,312,385,383
385,385,385,385
349,385,385,385
361,385,385,385
367,382,385,385
312,357,385,385
357,326,385,385
385,312,385,385
385,257,385,385
382,326,385,385
373,366,385,385
374,374,385,385
385,325,385,385
385,341,385,385
341,351,385,385
385,342,383,385
376,349,385,385
342,385,385,385
385,385,385,385
383,385,385,385
347,382,385,385
376,385,385,385
371,357,385,385
385,385,381,385
377,385,382,385
385,385,383,385
385,379,378,385
384,385,378,385
385,385,379,385
385,385,382,385
380,385,385,385
385,385,384,385
382,385,368,385
312,385,361,385
385,385,341,385
385,385,349,385
385,377,347,385
350,382,257,385
351,380,246,385
382,385,311,385
385,385,326,385
385,385,354,385
381,385,312,385
385,385,313,385
382,385,376,385
343,385,372,385
385,381,376,385
379,377,353,385
385,383,351,384
326,385,350,383
246,360,377,382
326,385,383,360
347,385,367,341
377,366,347,351
385,385,366,325
357,376,344,366
385,313,373,382
385,372,382,326
383,380,380,342
360,377,380,344
349,371,350,363
385,385,371,373
385,385,377,357
385,385,379,374
385,385,357,377
385,385,312,379
379,350,343,354
385,367,325,349
