"","fname","slp","r2","p","cat","program_mean","obs_mean","program_sd","obs_sd","program_ac","obs_ac"
"1","e100inc3_27_095_22.xls",-0.000495593844542755,0.169177274659503,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146751418474818,"N",26.946218487395,26.9008403361345,2.5010435081831,2.51289878522791,0.948762973338648,0.947193912335251
"2","e100inc4_27_095rev_22.xls",0.000492879563163725,0.167021711880308,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018361611009135,"P",26.9403361344538,26.9142857142857,2.50620651034523,2.50522456499719,0.950390780674506,0.948663909150782
"3","e101inc2_37_095rev_16.xls",0.000785196864195107,0.422942497460403,0,"P",36.936974789916,36.918487394958,2.5046690483439,2.50666793439305,0.957371707804127,0.95268060633067
"4","e101inc3_37_095_16.xls",-0.000782901521776373,0.421644241591359,0,"N",36.955,36.9075,2.49496467700362,2.49955164046701,0.95713908204715,0.956129063768417
"5","e103inc3_27_095_23.xls",0.000754620012528111,0.387858647535211,0,"P",26.9420168067227,26.9058823529412,2.49513070879111,2.50228011674394,0.956424408013438,0.955378691708746
"6","e103inc6_27_095rev_23.xls",-0.000762200509846072,0.395657981199631,0,"N",26.946218487395,26.9117647058824,2.50686480931814,2.49297917450316,0.955254598704465,0.953785671423595
"7","e104inc4_27_095rev_23.xls",-0.000756384694933732,0.39305337044591,0,"N",26.946218487395,26.9176470588235,2.50686480931814,2.49299517152046,0.955254598704465,0.953944041462121
"8","e105inc3_27_095rev_24.xls",-0.000395185160754741,0.108831638258778,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000204897042078177,"N",26.9525,26.9158333333333,2.4917666946374,2.50058802608316,0.949452813577146,0.949620788120712
"9","e105inc4_27_095_24.xls",0.000388167410341393,0.104998341528038,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137220621459975,"P",26.9575,26.91,2.49273440019509,2.49656570835507,0.949662723105839,0.948432401969509
"10","e111inc2_37_095_17.xls",-0.000371393234996478,0.0951040262028956,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003317952377885,"N",36.9541666666667,36.8941666666667,2.4970872387386,2.50301652745136,0.949216162420457,0.948124768043761
"11","e111inc4_37_095rev_17.xls",0.000368685764612949,0.0937011575347743,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000978125731431594,"P",36.9504201680672,36.9075630252101,2.51287781372443,2.51416865202489,0.950252810836345,0.947926412805724
"12","e112inc2_37_095rev_18.xls",-0.000692992342544054,0.333233687572808,0,"N",36.9857142857143,36.9352941176471,2.49196286782622,2.4890808403326,0.956830593178988,0.955277491348673
"13","e112inc3_37_095_18.xls",0.000693420333782248,0.334009907052278,0,"P",36.9672268907563,36.9361344537815,2.4989865486069,2.49836323004214,0.949450118972656,0.948715146193915
"14","e113inc2_27_095rev_25.xls",0.0000575715168161391,0.00230996827865774,0.0000485434949101838,"P",26.9672268907563,26.9042016806723,2.50339123359161,2.51228827282218,0.953493494657023,0.9497440621528
"15","e113inc3_27_095_25.xls",-0.0000550949070852022,0.00211905772514424,0.0000998943344481778,"N",26.9882352941176,26.9655462184874,2.45947412288006,2.4642679311319,0.953069281761056,0.949865989968719
"16","e114inc3_27_095rev_26.xls",0.000711574348691489,0.352832463665389,0,"P",26.9508333333333,26.9208333333333,2.4900472754897,2.4841648355075,0.957751561926053,0.955871290244671
