Experiment_Start,Experiment_End,Profile_name,Mean_Temp,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Notes,Duckweed_Notes
July 26,July 31,simplelong15_000_1,15,0,1,0,8,1,,,,,
July 26,July 31,simplelong15_090_1,15,0.9,3,6,6,0,,,,,
July 26,July 31,simplelong15_060_1,15,0.6,5,0,3,4,,,,,
July 26,July 31,simplelong15_090_rev_1,15,0.9,6,0,0,1,,,,,
August 2,August 7,simplelong19_000_1,19,0,1,12,16,21,,,,,
August 2,August 7,N/A,19,0,2,18,15,17,,,,run at constant temperature,
August 2,August 7,simplelong19_060_1,19,0.6,3,19,16,14,,,,,
August 2,August 7,simplelong19_095_1,19,0.95,5,22,23,8,,,,,
August 2,August 7,simplelong19_095_rev_1,19,0.95,6,19,17,8,,,,,
August 9,August 14,simplelong23_000_1,23,0,1,21,21,22,,,,,
August 9,August 14,simplelong23_060_1,23,0.6,3,23,26,20,,,,,
August 9,August 14,simplelong23_095_1,23,0.95,5,24,22,27,,,,,
August 9,August 14,simplelong23_095_rev_1,23,0.95,6,28,17,20,,,,,
August 16,August 21,simplelong27_000_1,27,0,1,10,9,7,,,,possible power outage affecting results from Aug 16-21,
August 16,August 21,simplelong27_060_1,27,0.6,3,7,2,2,,,,,
August 16,August 21,simplelong27_095_1,27,0.95,5,16,17,25,,,,,
August 16,August 21,simplelong27_095_rev_1,27,0.95,6,22,1,7,,,,,
August 23,August 28,simplelong27_000_1,27,0,1,9,7,9,,,,power outage affecting incubators,
August 23,August 28,simplelong27_060_1,27,0.6,3,6,5,4,,,,,
August 23,August 28,simplelong27_095_1,27,0.95,5,21,18,10,,,,,
August 23,August 28,simplelong27_095_rev_1,27,0.95,6,12,9,12,,,,,
August 30,September 4,simplelong15_000_1,15,0,1,12,3,9,,,,,
August 30,September 4,simplelong15_060_1,15,0.6,3,4,11,3,,,,,
August 30,September 4,simplelong3_090_1,15,0.9,5,10,7,6,,,,,
August 30,September 4,simplelong4_090_1,15,0.9,6,6,7,4,,,,,
September 6,September 11,simplelong15_000_2,15,0,1,8,4,6,,,,,
September 6,September 11,simplelong15_060_2,15,0.6,3,3,7,8,,,,,
September 6,September 11,simplelong15_095_2,15,0.95,5,13,9,25,,,,,
September 6,September 11,simplelong15_095_rev_2,15,0.95,6,7,11,10,,,,,
September 13,September 18,simplelong15_095_rev_2,15,0.95,1,3,8,7,,,,,
September 13,September 18,simplelong15_095_2,15,0.95,3,17,11,14,,,,,
September 13,September 18,simplelong15_060_2,15,0.6,5,9,6,19,,,,,
September 13,September 18,simplelong15_000_2,15,0,6,8,23,12,,,,,
September 20,September 25,simplelong11_090_rev_1,11,0.9,1,4,3,3,,,,,
September 20,September 25,simplelong11_090_1,11,0.9,3,4,6,0,,,,,
September 20,September 25,simplelong11_060_1,11,0.6,5,8,5,4,,,,,
September 20,September 25,simplelong11_000_1,11,0,6,10,11,2,,,,incubator not working properly,
September 27,October 2,simplelong15_095_rev_3,15,0.95,1,15,4,14,,,,,
September 27,October 2,simplelong15_095_3,15,0.95,3,7,8,16,,,,,
September 27,October 2,simplelong15_060_3,15,0.6,5,7,4,12,,,,,
September 27,October 2,simplelong15_000_3,15,0,6,4,4,5,,,,,
October 4,October 9,simplelong15_095_4,15,0.95,1,5,5,8,,,,,
October 4,October 9,simplelong15_095_4,15,0.95,3,8,8,0,,,,one adult aphid had wings,
October 4,October 9,simplelong15_060_4,15,0.6,5,4,9,8,,,,,
October 4,October 9,simplelong15_000_4,15,0,6,5,2,6,,,,,
October 11,October 16,simplelong15_000_5,15,0,1,4,3,3,,,,,
October 11,October 16,simplelong15_060_5,15,0.6,3,4,8,7,,,,,
October 11,October 16,simplelong15_095_5,15,0.95,5,10,11,13,,,,,
October 11,October 16,simplelong15_095_rev.5,15,0.95,6,5,15,4,,,,,
October 18,October 23,simplelong27_095_rev_2,27,0.95,1,12,14,10,,,,,
October 18,October 23,simplelong27_095_2,27,0.95,3,14,11,11,,,,,
October 18,October 23,simplelong27_060_2,27,0.6,5,17,5,14,,,,,
October 18,October 23,simplelong27_000_2,27,0,6,20,12,24,,,,,
October 25,October 30,simplelong27_095_rev_3,27,0.95,1,15,10,9,,,,,
October 25,October 30,simplelong27_095_3,27,0.95,3,3,0,0,,,,,
October 25,October 30,simplelong27_060_3,27,0.6,5,13,13,12,,,,,
October 25,October 30,simplelong27_000_3,27,0,6,27,26,21,,,,,
November 1,November 6,simplelong27_000_4,27,0,1,12,13,14,,,,All incubators stopped recording temperatures for a short period on Nov. 1,
November 1,November 6,simplelong27_060_4,27,0.6,3,0,0,1,,,,,
November 1,November 6,simplelong27_095_4,27,0.95,5,1,2,7,,,,,
November 1,November 6,simplelong27_095_rev_4,27,0.95,6,11,23,17,,,,one adult aphid had wings,
November 8,November 13,simplelong27_095_rev_4,27,0.95,1,12,9,19,,,,all incubators had a connection issue to the computer ,
November 8,November 13,simplelong27_095_4,27,0.95,3,8,3,5,,,,,
November 8,November 13,simplelong27_060_4,27,0.6,5,24,11,26,,,,one adult aphid had wings,
November 8,November 13,simplelong27_000_4,27,0,6,25,32,18,,,,,
November 15,November 20,simplelong27_000_5,27,0,1,12,21,8,,,,,
November 15,November 20,simplelong27_060_5,27,0.6,3,20,25,79,,,,,
November 15,November 20,simplelong27_095_5,27,0.95,5,14,20,18,,,,,
November 15,November 20,simplelong27_095_rev_5,27,0.95,6,31,42,33,,,,,
November 22,November 27,simplelong27_095_6,27,0.95,1,17,25,22,,,,experiment run with new code,
November 22,November 27,simplelong27_095_rev_6,27,0.95,3,1,4,7,,,,,
November 22,November 27,simplelong27_000_6,27,0.6,5,22,18,39,,,,,
November 22,November 27,simplelong27_060_6,27,0,6,33,26,24,,,,,
November 29,December 4,simplelong27_000_7,27,0,1,15,7,4,,,,,
November 29,December 4,simplelong27_060_7,27,0.6,3,11,15,25,,,,,
November 29,December 4,simplelong27_095_rev_7,27,0.95,5,19,26,18,,,,,
November 29,December 4,simplelong27_095_7,27,0.95,6,9,26,16,,,,,
December 6,December 11,simplelong27_000_8,27,0,1,20,23,24,,,,,
December 6,December 11,simplelong27_060_8,27,0.6,3,21,24,14,,,,,
December 6,December 11,simplelong27_095_8,27,0.95,5,25,30,8,,,,,
December 6,December 11,simplelong27_095_rev_8,27,0.95,6,27,32,37,,,,,
December 13,December 18,simplelong27_095_rev_9,27,0.95,1,10,3,3,,,,2 adults had wings,
December 13,December 18,simplelong27_095_9,27,0.95,3,9,3,8,,,,Experiment 22 was ended at 15:30,
December 13,December 18,simplelong27_060_9,27,0.6,5,42,33,45,,,,,
December 13,December 18,simplelong27_000_9,27,0,6,25,41,49,,,,,
January 17,January 22,simplelong_27_095_rev_9,27,0.95,1,28,34,27,,,,protocol data not recorded after 30 minutes. ,
January 17,January 22,simplelong_27_060_9,27,0.6,3,43,27,30,,,,,
January 17,January 22,simplelong_27_095_9,27,0.95,5,32,26,35,,,,,
January 17,January 22,simplelong_27_000_9,27,0,6,31,25,25,,,,,
January 24,January 29,simplelong_27_095_9,27,0.95,1,34,28,29,,,,protocol data not recorded after 30 minutes of experiment,
January 24,January 29,simplelong_27_095_rev_9,27,0.95,3,36,39,30,,,,,
January 24,January 29,simplelong_27_060_9,27,0.6,5,43,34,31,,,,,
January 24,January 29,simplelong_27_000_9,27,0,6,25,24,34,,,,,
January 31,February 5,simplelong_27_000_9,27,0,1,28,13,30,5,12,8,Incubator 1 not working properly. Protocol data not following profile. ,
January 31,February 5,simplelong_27_060_9,27,0.6,3,35,18,25,6,7,8,,
January 31,February 5,simplelong_27_095_9,27,0.95,5,16,12,15,6,8,8,,
January 31,February 5,simplelong_27_095_rev_9,27,0.95,6,26,23,34,8,8,8,,
February 7,February 12,simplelong_27_000_9,27,0,3,10,14,18,8,6,8,extra trial lemna- 10,
February 7,February 12,simplelong_27_095_9,27,0.95,5,9,14,10,6,9,8,extra trial lemna- 6,
February 7,February 12,simplelong_27_095_rev_9,27,0.95,6,22,20,28,8,8,11,extra trial lemna-9,
February 14,February 19,simplelong_23_095_rev_3,23,0.95,3,36,34,31,6,6,6,,
February 14,February 19,simplelong_23_000_3,23,0,5,39,40,42,7,7,6,,
February 14,February 19,simplelong_23_095_3,23,0.95,6,43,45,41,6,6,6,,
February 21,February 26,simplelong_23_060_3,23,0.6,3,29,35,33,6,7,6,,
February 21,February 26,simplelong_23_095_3,23,0.95,5,30,29,35,6,6,5,,
February 21,February 26,simplelong_23_095_rev_3,23,0.95,6,37,39,43,6,6,6,,
February 28,March 4,simplelong_23_000_4,23,0,3,48,38,24,6,8,6,,
February 28,March 4,simplelong_23_095_4,23,0.95,5,30,25,27,6,5,6,,
February 28,March 4,simplelong_23_095_rev_4,23,0.95,6,40,23,21,5,6,6,,
March 6,March 11,simplelong_23_060_4,23,0.6,3,24,25,30,4,7,7,,
March 6,March 11,simplelong_23_095_4,23,0.95,5,21,40,32,7,4,6,,
March 6,March 11,simplelong_23_095_4,23,0.95,6,31,22,23,6,4,5,,
March 5/2021,March 10/2021,simplelong_19_000_2,19,0,3,32,39,28,,,,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators,
March5/2021,March 10/2021,simplelong_19_095_2,19,0.95,5,26,34,23,,,,,
March 5/2021,March 10/2021,simplelong_19_060_2,19,0.6,6,32,35,32,,,,,
March 19/2021,March 24/2021,simplelong_19_000_2,19,0,5,14,16,23,3,1,1,Issue with incubators-- two 20+ hour gaps in temperature profiles for all incubators,
March 19/2021,March 24/2021,simplelong_19_060_2,19,0.6,3,7,9,12,3,1,3,,
March 19/2021,March 24/2021,simplelong_19_095rev_2,19,0.95,6,26,27,28,1,1,,,
April 2/2021,"April 7, 2021",constant temperature at 23,23,,3,38,44,41,4,4,3,,
April 2/2021,"April 7, 2021",constant temperature at 15,15,,6,4,0,14,2,2,3,one adult aphid had wings,
April 9/2021,April 14/2021,simplelong27_1,27,,3,16,14,14,6,6,7,,
April 9/2021,April 14/2021,simplelong19_1,19,,5,30,32,30,2,3,3,,
April 16/2021,April 21/2021,simplelong15_1,15,,3,12,12,9,2,3,3,,
April 16/2021,April 21/2021,simplelong23_1,23,,5,31,35,31,5,6,6,,
April 16/2021,April 21/2021,simplelong19_1,19,,6,20,22,19,3,4,3,,
6/4/2021,June 09/2021,simplelong19_000_2,19,0,3,13,15,8,,,,Issue with incubators - 20+ hour gaps and computer likely updated,
6/4/2021,June 09/2021,simplelong19_095rev_2,19,0.95,5,13,6,5,,,,,
6/4/2021,June 09/2021,simplelong19_095_2,19,0.95,6,27,23,13,,,,,
June 11/2021,June 16/2021,simplelong_19_060_2,19,0.6,3,25,16,24,,,,Issue with incubators - 20+ hour gaps ,
June 11/2021,June 16/2021,simplelong_19_095rev2,19,0.95,5,8,27,29,,,,,
June 11/2021,June 16/2021,simplelong_19_095_2,19,0.95,6,16,8,21,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,,3,1,1,2,,,,There was a gap with the incubators however held at constant temperature,
July 2/2021,July 7/2021,simplelong_31_1,31,,5,0,3,1,,,,,
July 2/2021,July 7/2021,simplelong_31_1,31,,6,2,0,2,,,,,
July 16/2021,July 21/2021,simplelong_11_1,11,constant,3,5,0,0,5,0,0,,"All duckweed counts are total fronds even if they are associated with a colony. Starting number was 2 colonies, 2 fronds each; 4 fronds total"
July 16/2021,July 21/2021,simplelong_15_1,15,constant,5,8,14,11,6,4,4,,
July 16/2021,July 21/2021,simplelong_31_1,31,constant,6,4,3,4,10,9,8,"1 dead aphid on plant 2, not counted in total","Duckweed counts consisted of multiple colonies and some singles. Rep1: 2 colonies, 1 w 6 fronds, 1 w 4 fronds, 2 roots each. Rep2: 3 colonies, 1 w 2 fronds, 1 w 4 fronds, 1 w 3 fronds, 2 roots each. Rep3: 2 colonies, 1 w 5 fronds, 1 w 2 fronds, 1 single frond."
July 23/2021,July 28/2021,simplelong31_1,31,constant,3,0,0,0,,,,one adult aphid had wings ,
July 23/2021,July 28/2021,simplelong11_1,11,constant,5,0,0,1,,,,,
July 23/2021,July 28/2021,simplelong15_1,15,constant,6,6,4,0,,,,,
August 13/2021,August 18/2021,simplelong15_1,15,constant,3,17,21,6,7,6,6,one adult had wings,
August 13/2021,August 18/2021,simplelong11_1,11,constant,5,15,19,19,6,7,5,,
August 13/2021,August 18/2021,simplelong31_1,31,constant,6,24,22,26,8,8,8,Computer tuned off and all incubators were at 20C,
August 20/21,August 25/21,simplelong31_1,31,constant,3,0,0,0,10(2col),12(6col),12(4col),"Celsius frozen, protocol data not recorded after ~50h. It appears as though the incubators remained at the programmed temperatures throughout. ",
August 21/21,August 26/21,simplelong15_1,15,constant,5,18,7,8,5(2col),4(2col),5(2col),,
August 22/21,August 27/21,simplelong11_1,11,constant,6,10,8,5,4(2col),4(2col),4(2col),,
September 3/21,September 8/21,simplelong15_1,15,constant,3,13,19,19,,,,"error: unknown IP address, no connection made because the target machine actively refused it ",
September 3/21,September 8/21,simplelong11_1,11,constant,5,4,1,1,,,,,
September 3/21,September 8/21,simplelong31_1,31,constant,6,2,1,0,,,,,
September 10/21,September 15/2021,simplelog11_1,11,constant,3,8,6,0,4(2col),4(2col),6(2col),"error: celsius not running due to windows taking updates @24h, incubators at 20c",
September 10/21,September 15/2021,simplelog31_1,31,constant,5,0,0,1,10(4col),12(4col),10(4col),,
September 10/21,September 15/2021,simplelog15_1,15,constant,6,10,0,12,2(2col),5(2col),5(3col),one adult had wings,
