"Plot Title: inc6"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Detached (LGR S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","Stopped (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,03/14/23 04:23:35  PM,24.641,107.6,,,,,
2,03/14/23 04:23:41  PM,,,Logged,,,,
3,03/14/23 04:28:35  PM,26.977,2583.4,,,,,
4,03/14/23 04:33:35  PM,28.357,2238.9,,,,,
5,03/14/23 04:38:35  PM,29.152,3616.7,,,,,
6,03/14/23 04:43:35  PM,29.652,2238.9,,,,,
7,03/14/23 04:48:35  PM,29.853,2411.1,,,,,
8,03/14/23 04:53:35  PM,30.054,2583.4,,,,,
9,03/14/23 04:58:35  PM,30.255,3961.1,,,,,
10,03/14/23 05:03:35  PM,30.356,2411.1,,,,,
11,03/14/23 05:08:35  PM,30.457,2238.9,,,,,
12,03/14/23 05:13:35  PM,30.558,3616.7,,,,,
13,03/14/23 05:18:35  PM,30.659,2411.1,,,,,
14,03/14/23 05:23:35  PM,30.760,2497.2,,,,,
15,03/14/23 05:28:35  PM,30.862,3616.7,,,,,
16,03/14/23 05:33:35  PM,30.963,3444.5,,,,,
17,03/14/23 05:38:35  PM,31.064,2238.9,,,,,
18,03/14/23 05:43:35  PM,31.064,3616.7,,,,,
19,03/14/23 05:48:35  PM,31.166,2411.1,,,,,
20,03/14/23 05:53:35  PM,31.268,3961.1,,,,,
21,03/14/23 05:58:35  PM,31.268,3961.1,,,,,
22,03/14/23 06:03:35  PM,31.370,2927.8,,,,,
23,03/14/23 06:08:35  PM,31.370,3788.9,,,,,
24,03/14/23 06:13:35  PM,31.472,2411.1,,,,,
25,03/14/23 06:18:35  PM,31.472,2927.8,,,,,
26,03/14/23 06:23:35  PM,31.574,3961.1,,,,,
27,03/14/23 06:28:35  PM,31.574,2497.2,,,,,
