Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Label,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Frond_count_1,Frond_count_2,Frond_count_3,Dead_frond_count_1,Dead_frond_count_2,Dead_frond_count_3,Initial_area,Final_area,Initial_weight,Final_weight,cat_1,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Gap_size,Remarks,prep,Treatment,Exp_run
53,5-Nov-21,10-Nov-21,Simplelong 15_095rev_06,15,strong autocorrelation,4,LM,0,3,2,5,6,6,NA,NA,NA,NA,NA,NA,NA,hot-cold,14.949,14.932,2.503,2.496,0.954,0.952,,NA,,no,hot-cold,6
55,19-Nov-21,24-Nov-21,Simplelong15_095_06,15,strong autocorrelation,2,LM,12,19,17,4,5,6,NA,NA,NA,NA,NA,NA,NA,cold-hot,14.95,14.903,2.507,2.516,0.952,0.953,,NA,,no,cold-hot,6
55,19-Nov-21,24-Nov-21,Simplelong15_000_06,15,no autocorrelation,5,LM,15,12,8,7,5,6,NA,NA,NA,NA,NA,NA,NA,no autocorrelation,14.956,14.93,2.457,2.46,0.018,0.029,,NA,,no,no autocorrelation,6
67,4-Mar-22,9-Mar-22,Simplelong15_000_8,15,no autocorrelation,4,LM,8,7,13,4,5,5,NA,NA,NA,NA,NA,NA,NA,no autocorrelation,14.951,14.936,2.457,2.45,0.015,0.033,,NA,,no,no autocorrelation,8
67,4-Mar-22,9-Mar-22,Simplelong15_095_8,15,strong autocorrelation,5,LM,NA,NA,NA,4,6,6,NA,NA,NA,NA,NA,NA,NA,hot-cold,14.948,14.92,2.491,2.511,0.954,0.948,,NA,,no,hot-cold,8
67,4-Mar-22,9-Mar-22,Simplelong15_095rev_8,15,strong autocorrelation,6,LM,0,0,0,6,5,5,NA,NA,NA,NA,NA,NA,NA,cold-hot,14.959,14.908,2.494,2.485,0.954,0.952,,NA,,no,cold-hot,8
68,11-Mar-22,16-Mar-22,Simplelong15_095_9,15,strong autocorrelation,2,LM,26,23,32,6,6,6,NA,NA,NA,NA,NA,NA,NA,cold-hot,14.95,14.918,2.504,2.503,0.957,0.957,,NA,,no,cold-hot,9
68,11-Mar-22,16-Mar-22,Simplelong15_095rev_9,15,strong autocorrelation,3,LM,12,17,10,5,6,6,NA,NA,NA,NA,NA,NA,NA,hot-cold,14.951,14.908,2.497,2.51,0.957,0.957,,NA,,no,hot-cold,9
68,11-Mar-22,16-Mar-22,Simplelong15_000_9,15,no autocorrelation,4,LM,7,9,10,6,6,6,NA,NA,NA,NA,NA,NA,NA,no autocorrelation,14.947,14.944,2.465,2.467,0.008,0.053,,NA,,no,no autocorrelation,9
69,18-Mar-22,23-Mar-22,Simplelong15_095_10,15,strong autocorrelation,2,LM,NA,NA,NA,6,6,6,NA,NA,NA,0.53,0.723,NA,NA,cold-hot,14.962,14.922,2.5,2.497,0.95,0.95,,NA,,no,cold-hot,10
