"","fname","slp","cat"
"1","e02inc5_15_095.xls",-1.49240711490746e-05,"N"
"2","e02inc6_15_095.xls",-1.61541383949463e-05,"N"
"3","e03inc5_19_095.xls",1.46334493427986e-05,"P"
"4","e03inc6_19_095.xls",-3.13387826005102e-05,"N"
"5","e04inc5_23_095.xls",1.96507721885592e-05,"P"
"6","e04inc6_23_095.xls",-8.46061009364158e-06,"N"
"7","e07inc5_15_095.xls",-2.0538250573024e-05,"N"
"8","e07inc6_15_095.xls",-1.50353012769209e-05,"N"
"9","e08inc5_15_095.xls",-9.3066764818695e-06,"N"
"10","e08inc6_15_095.xls",3.99941756250487e-05,"P"
"11","e09inc1_15_095.xls",3.99307280384051e-05,"P"
"12","e11inc1_15_095.xls",6.13379870221693e-06,"P"
"13","e11inc3_15_095.xls",3.37393139734509e-05,"P"
"14","e12inc1_15_095.xls",1.40089224456562e-05,"P"
"15","e12inc3_15_095.xls",4.39434302402178e-06,"P"
"16","e13inc5_15_095.xls",-1.64295463567762e-06,"N"
"17","e13inc6_15_095.xls",2.18007311066374e-05,"P"
"18","e14inc1_27_095.xls",-2.33788593099096e-06,"N"
"19","e14inc3_27_095.xls",2.28355607901434e-05,"P"
"20","e15inc1_27_095.xls",2.77509126021944e-05,"P"
"21","e15inc3_27_095.xls",1.55172031904389e-05,"P"
"22","e18inc5_27_095.xls",-6.38420236468766e-05,"N"
"23","e18inc6_27_095.xls",4.4281612988942e-05,"P"
"24","e19inc1_27_095.xls",-6.32804188969706e-06,"N"
"25","e19inc3_27_095.xls",1.17252836451931e-05,"P"
"26","e20inc5_27_095.xls",-1.82082794389714e-05,"N"
"27","e20inc6_27_095.xls",3.79130196002964e-05,"P"
"28","e21inc5_27_095.xls",3.56849367165096e-06,"P"
"29","e21inc6_27_095.xls",-4.19504688828089e-07,"N"
"30","e22inc1_27_095.xls",1.3326629964736e-05,"P"
"31","e22inc3_27_095.xls",2.14058598730675e-05,"P"
"32","e25inc5_27_095.xls",3.52035749516684e-05,"P"
"33","e25inc6_27_095.xls",3.88140830468826e-05,"P"
"34","e26inc5_27_095.xls",2.61217088879168e-07,"P"
"35","e26inc6_27_095.xls",-8.76108606242385e-08,"N"
"36",NA,NA,NA
"37",NA,NA,NA
"38",NA,NA,NA
"39",NA,NA,NA
