Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Aphid_count_1,Aphid_count_2,Aphid_count_3,Frond_count_1,Frond_count_2,Frond_count_3,Dead_frond_count_1,Dead_frond_count_2,Dead_frond_count_3,Initial_area,Final_area,Initial_weight,Final_weight,cat_1,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Gap_size,Remarks
25,31-Jan-21,5-Feb-21,simplelong_27_095_9,27,0.95,5,Lab_LM,16,12,15,6,8,8,,,,,,,,N,26.962,26.828,2.574,2.625,0.903,0.937,y,,protocol not found
25,31-Jan-21,5-Feb-21,simplelong_27_095_rev_9,27,0.95,6,Lab_LM,26,23,34,8,8,8,,,,,,,,P,26.952,26.866,2.579,2.474,0.914,0.936,y,,protocol not found
26,7-Feb-21,12-Feb-21,simplelong_27_000_9,27,0,3,Lab_LM,10,14,18,8,6,8,,,,,,,,N/A,26.949,27.061,2.551,2.521,0.058,0.089,y,,protocol not found
26,7-Feb-21,12-Feb-21,simplelong_27_095_9,27,0.95,5,Lab_LM,9,14,10,6,9,8,,,,,,,,N,26.992,27.024,2.573,2.635,0.902,0.934,y,,protocol not found
26,7-Feb-21,12-Feb-21,simplelong_27_095_rev_9,27,0.95,6,Lab_LM,22,20,28,8,8,11,,,,,,,,P,26.955,26.814,2.601,2.624,0.915,0.908,y,,protocol not found
26,7-Feb-21,12-Feb-21,simplelong_27_000_9,27,0,3,Lab_LM,10,14,18,8,6,8,,,,,,,,N/A,26.949,27.061,2.551,2.521,0.058,0.089,y,,protocol not found
41,16-Jul-21,21-Jul-21,simplelong11_1,11,constant,3,Lab_LM,17,21,6,4,5,4,,,,,,,,,11,10.992,0,0.094,,,,,
41,16-Jul-21,21-Jul-21,simplelong15_1,15,constant,5,Lab_LM,17,21,6,6,4,4,,,,,,,,,15,15.002,0,0.056,,,,,
41,16-Jul-21,21-Jul-21,simplelong31_1,31,constant,6,Lab_LM,15,19,19,10,9,8,,,,,,,,,31,30.994,0,0.07,,,,,
44,20-Aug-21,25-Aug-21,simplelong31_1,31,constant,3,Lab_LM,NA,NA,NA,10,12,12,,,,,,,,,30,31,0,0.495,,,,,
44,20-Aug-21,25-Aug-21,simplelong15_1,15,constant,5,Lab_LM,NA,NA,NA,5,4,5,,,,,,,,,15,15.6,0,,,,,,
44,20-Aug-21,25-Aug-21,simplelong11_1,11,constant,6,Lab_LM,NA,NA,NA,4,4,4,,,,,,,,,11,11.041,0,0.22,,,,,
46,10-Sep-21,15-Sep-21,simplelong11_1,11,constant,3,Lab_LM,8,6,0,4,4,6,,,,,,,,,11,10.975,0,0.16,,,,,
47,17-Sep-21,22-Sep-21,simplelong11_1,11,constant,5,Lab_LM,,,,4,5,4,,,,,,,,,11,10.995,0,0.106,,,,,
48,24-Sep-21,29-Sep-21,simplelong31_1,31,constant,3,Lab_LM,1,1,0,10,10,13,,,,,,,,,31,30.99,0,0.051,,,,,
48,24-Sep-21,29-Sep-21,simplelong15_1,15,constant,5,Lab_LM,0,10,10,4,5,5,,,,,,,,,15,14.995,0,0.05,,,,,
48,24-Sep-21,29-Sep-21,simplelong11_1,11,constant,6,Lab_LM,6,0,0,5,4,5,,,,,,,,,11,11,0,0.051,,,,,
52,29-Oct-21,3-Nov-21,simplelong30_1,30,constant,2,Lab_LM,NA,NA,NA,13,14,5,,,,,,,,,30,29.995,0,0.041,,,,,
52,29-Oct-21,3-Nov-21,Simplelong 35_1,35,constant,4,Lab_LM,NA,NA,NA,10,10,8,,,,,,,,,35,34.998,0,0.013,,,,,
52,29-Oct-21,3-Nov-21,Simplelong 25_1,25,constant,5,Lab_LM,NA,NA,NA,10,10,11,,,,,,,,,25,24.993,0,0.059,,,,,
53,5-Nov-21,10-Nov-21,Simplelong 15_095rev_06,15,0.95,4,Lab_LM,0,3,2,5,6,6,,,,,,,,N,14.949,14.932,2.503,2.496,0.954,0.952,,,
53,5-Nov-21,10-Nov-21,Simplelong 40_1,40,constant,5,Lab_LM,0,0,0,5,4,4,,,,,,,,,40,39.995,0,0.022,,,,,
55,19-Nov-21,24-Nov-21,Simplelong15_095_06,15,0.95,2,Lab_LM,12,19,17,4,5,6,,,,,,,,P,14.95,14.903,2.507,2.516,0.952,0.953,,,
55,19-Nov-21,24-Nov-21,Simplelong15_000_06,15,0,5,Lab_LM,15,12,8,7,5,6,,,,,,,,N/A,14.956,14.93,2.457,2.46,0.018,0.029,,,
56,26-Nov-21,1-Dec-21,Simplelong 20_1,20,constant,1,Lab_LM,NA,NA,NA,9,8,9,,,,,,,,,20,20,0,0,,,,,
56,26-Nov-21,1-Dec-21,Simplelong 20_1,20,constant,3,Lab_LM,NA,NA,NA,10,9,9,,,,,,,,,20,19.976,0,0.105,,,,,
56,26-Nov-21,1-Dec-21,Simplelong 25_1,25,constant,6,Lab_LM,NA,NA,NA,10,13,10,,,,,,,,,25,24.965,0,0.157,,,,,
58,10-Dec-21,15-Dec-21,Simplelong20_2,20,constant,1,Lab_LM,NA,NA,NA,7,10,11,,,,,,,,,20,19.994,0,0.079,,,,,
58,10-Dec-21,15-Dec-21,Simplelong23_1,23,constant,2,Lab_LM,NA,NA,NA,10,11,12,,,,,,,,,23,22.994,0,0.076,,,,,
58,10-Dec-21,15-Dec-21,Simplelong35_1,35,constant,3,Lab_LM,NA,NA,NA,8,11,9,,,,,,,,,35,34.996,0,0.03,,,,,
58,10-Dec-21,15-Dec-21,Simplelong39_1,39,constant,4,Lab_LM,NA,NA,NA,4,3,4,,,,,,,,,39,39,0,0,,,,,
59,17-Dec-21,22-Dec-21,Simplelong20_2,20,constant,1,Lab_LM,NA,NA,NA,6,5,7,,,,,,,,,20,19.996,0,0.075,,,,,
59,17-Dec-21,22-Dec-21,Simplelong25_1,25,constant,2,Lab_LM,NA,NA,NA,6,8,6,,,,,,,,,25,24.994,0,0.07,,,,,
59,17-Dec-21,22-Dec-21,Simplelong39_1,39,constant,3,Lab_LM,NA,NA,NA,5,4,5,,,,,,,,,39,38.995,0,0.022,,,,,
60,14-Jan-22,19-Jan-22, Simplelong35_1,35,constant,2,Lab_LM,NA,NA,NA,9,11,10,,,,,,,,,35,34.993,0,0.025,NA,,,,
60,14-Jan-22,19-Jan-22, Simplelong40_1,40,constant,3,Lab_LM,NA,NA,NA,4,0,4,,,,,,,,,40,39.993,0,0.025,NA,,,,
61,21-Jan-22,26-Jan-22,Simplelong27_000_15,27,0,6,Lab_LM,7,6,7,12,10,10,,,,,,,,N/A,26.951,26.945,2.854,2.922,0.012,0.004,,,
61,21-Jan-22,26-Jan-22, Simplelong20_2,20,constant,1,Lab_LM,NA,NA,NA,9,9,9,,,,,,,,,20,19.997,0,0.047,,,,,
61,21-Jan-22,26-Jan-22, Simplelong35_1,35,constant,2,Lab_LM,NA,NA,NA,7,6,7,,,,,,,,,35,34.998,0,0.016,,,,,
61,21-Jan-22,26-Jan-22, Simplelong40_1,40,constant,3,Lab_LM,NA,NA,NA,0,0,2,,,,,,,,,40,39.995,0,0.022,,,,,
62,28-Jan-22,2-Feb-22,Simplelong27_000_16,27,0,5,Lab_LM,18,18,9,8,8,8,,,,,,,,N/A,26.928,26.916,2.871,2.922,0.006,-0.013,,,
62,28-Jan-22,2-Feb-22, Simplelong20_2,20,constant,1,Lab_LM,NA,NA,NA,11,15,9,,,,,,,,,20,19.996,0,0.046,,,,,
62,28-Jan-22,2-Feb-22, Simplelong40_1,40,constant,2,Lab_LM,NA,NA,NA,0,0,0,,,,,,,,,40,39.995,0,0.022,,,,,
62,28-Jan-22,2-Feb-22, Simplelong40_1,40,constant,3,Lab_LM,NA,NA,NA,0,0,0,,,,,,,,,40,39.997,0,0.016,,,,,
63,4-Feb-22,9-Feb-22,Simplelong27_095_2,27,0.95,2,Lab_LM,,,,10,9,11,,,,,,,,N,26.953,26.909,2.5,2.507,0.956,0.951,,,
63,4-Feb-22,9-Feb-22,Simplelong27_095rev_2,27,0.95,3,Lab_LM,,,,11,13,13,,,,,,,,P,26.953,26.907,2.498,2.51,0.956,0.952,,,
63,4-Feb-22,9-Feb-22,Simplelong27_095_3,27,0.95,4,Lab_LM,,,,12,12,12,,,,,,,,P,26.959,26.917,2.493,2.479,0.948,0.945,,,
63,4-Feb-22,9-Feb-22,Simplelong27_095rev_3,27,0.95,5,Lab_LM,9,8,10,12,11,10,,,,,,,,N,26.951,26.923,2.491,2.487,0.949,0.946,,,
64,11-Feb-22,16-Feb-22,Simplelong27_000_5,27,0,2,Lab_LM,,,,7,8,7,,,,,,,,N/A,26.95,26.934,2.474,2.538,0.021,-0.001,,,
64,11-Feb-22,16-Feb-22,Simplelong27_095_5,27,0.95,3,Lab_LM,,,,7,8,7,,,,,,,,P,26.942,26.898,2.508,2.511,0.945,0.94,,,
64,11-Feb-22,16-Feb-22,Simplelong27_095rev_5,27,0.95,4,Lab_LM,3,9,6,6,6,6,,,,,,,,N,26.974,26.936,2.493,2.5,0.946,0.945,,,
64,11-Feb-22,16-Feb-22,Simplelong27_000_19,27,0,5,Lab_LM,13,14,12,9,10,12,,,,,,,,N/A,26.941,26.93,2.464,2.501,0.026,0.014,,,
66,25-Feb-22,2-Mar-22,Simplelong27_000_10,27,0,2,Lab_LM,,,,12,11,16,,,,,,,,N/A,26.958,26.939,2.462,2.533,0.017,-0.001,,,
66,25-Feb-22,2-Mar-22,Simplelong27_095_9,27,0.95,3,Lab_LM,,,,11,15,13,,,,,,,,P,26.954,26.905,2.496,2.505,0.958,0.956,,,
66,25-Feb-22,2-Mar-22,Simplelong27_095rev_9,27,0.95,4,Lab_LM,15,8,18,13,12,11,,,,,,,,N,26.954,26.913,2.497,2.5,0.958,0.957,,,
66,25-Feb-22,2-Mar-22,Simplelong27_095_10,27,0.95,5,Lab_LM,10,12,19,14,15,12,,,,,,,,N,26.945,26.918,2.495,2.503,0.956,0.951,,,
66,25-Feb-22,2-Mar-22,Simplelong27_095rev_10,27,0.95,6,Lab_LM,18,25,21,11,11,15,,,,,,,,P,26.952,26.909,2.495,2.498,0.955,0.955,,,
67,4-Mar-22,9-Mar-22,Simplelong15_000_8,15,0,4,Lab_LM,8,7,13,4,5,5,,,,,,,,N/A,14.951,14.936,2.457,2.45,0.015,0.033,,,
67,4-Mar-22,9-Mar-22,Simplelong15_095_8,15,0.95,5,Lab_LM,,,,4,6,6,,,,,,,,N,14.948,14.92,2.491,2.511,0.954,0.948,,,
67,4-Mar-22,9-Mar-22,Simplelong15_095rev_8,15,0.95,6,Lab_LM,0,0,0,6,5,5,,,,,,,,P,14.959,14.908,2.494,2.485,0.954,0.952,,,
68,11-Mar-22,16-Mar-22,Simplelong15_095_9,15,0.95,2,Lab_LM,26,23,32,6,6,6,,,,,,,,P,14.95,14.918,2.504,2.503,0.957,0.957,,,
68,11-Mar-22,16-Mar-22,Simplelong15_095rev_9,15,0.95,3,Lab_LM,12,17,10,5,6,6,,,,,,,,N,14.951,14.908,2.497,2.51,0.957,0.957,,,
68,11-Mar-22,16-Mar-22,Simplelong15_000_9,15,0,4,Lab_LM,7,9,10,6,6,6,,,,,,,,N/A,14.947,14.944,2.465,2.467,0.008,0.053,,,
68,11-Mar-22,16-Mar-22,Simplelong40_6,40,constant,5,Lab_LM,NA,NA,NA,0,0,0,,,,,,,,,40,40,0,0,,,,,
69,18-Mar-22,23-Mar-22,Simplelong15_095_10,15,0.95,2,Lab_LM,,,,6,6,6,,,,0.53,0.723,,,P,14.962,14.922,2.5,2.497,0.95,0.95,,,
69,18-Mar-22,23-Mar-22,Simplelong15_095rev_10,15,0.95,3,Lab_LM,9,0,0,5,6,6,,,,0.549,0.693,,,N,14.963,14.924,2.493,2.499,0.95,0.949,,,
69,18-Mar-22,23-Mar-22,Simplelong15_000_10,15,0,4,Lab_LM,1,7,5,4,5,5,,,,0.608,0.667,,,N/A,14.958,14.928,2.463,2.46,0.02,0.018,,,
69,18-Mar-22,23-Mar-22,Simplelong15_095_11,15,0.95,5,Lab_LM,17,10,0,5,5,5,,,,0.549,0.683,,,P,14.957,14.907,2.49,2.516,0.95,0.953,,,
69,18-Mar-22,23-Mar-22,Simplelong15_095rev_11,15,0.95,6,Lab_LM,,,,6,6,3,,,,0.556,0.694,,,N,14.945,14.918,2.504,2.49,0.952,0.951,,,
71,1-Apr-22,6-Apr-22,Simplelong15_000_11,15,0,5,Lab_LM,0,0,19,5,6,5,,,,0.532,0.725,,,N/A,15.404,15.344,2.284,2.268,0.149,0.194,,,
71,1-Apr-22,6-Apr-22,Simplelong15_000_12,15,0,2,Lab_LM,0,0,0,7,6,4,,,,0.418,0.682,,,N/A,14.948,14.923,2.457,2.481,0.021,0.027,,,
71,1-Apr-22,6-Apr-22,Simplelong15_095_12,15,0.95,3,Lab_LM,16,18,17,7,7,6,,,,0.638,0.852,,,N,14.944,14.919,2.495,2.499,0.955,0.953,,,
71,1-Apr-22,6-Apr-22,Simplelong15_095rev_12,15,0.95,4,Lab_LM,10,17,0,5,5,5,,,,0.45,0.664,,,P,14.955,14.913,2.494,2.496,0.954,0.955,,,
71,1-Apr-22,6-Apr-22,Simplelong15_095_13,15,0.95,6,Lab_LM,0,0,0,4,5,5,,,,0.508,0.674,,,N,14.952,14.909,2.498,2.491,0.958,0.959,,,
72,8-Apr-22,13-Apr-22,Simplelong15_095rev_13,15,0.95,2,Lab_LM,,,,6,8,7,,,,,,,,P,14.935,14.887,2.505,2.514,0.957,0.955,,,
72,8-Apr-22,13-Apr-22,Simplelong15_000_13,15,0,3,Lab_LM,10,12,3,6,6,7,,,,,,,,N/A,14.987,14.95,2.433,2.457,0.014,0.013,,,
72,8-Apr-22,13-Apr-22,Simplelong15_000_14,15,0,4,Lab_LM,,,,7,6,6,,,,,,,,N/A,14.953,14.921,2.473,2.468,0.014,0.034,,,
72,8-Apr-22,13-Apr-22,Simplelong15_095_14,15,0.95,5,Lab_LM,11,9,10,8,7,7,,,,,,,,N,14.956,14.932,2.504,2.513,0.95,0.952,,,
72,8-Apr-22,13-Apr-22,Simplelong15_095rev_14,15,0.95,6,Lab_LM,,,,6,7,7,,,,,,,,P,14.952,14.909,2.498,2.491,0.958,0.959,,,
73,15-Apr-22,20-Apr-22,Simplelong15_000_15,15,0,2,Lab_LM,6,7,5,6,6,6,,,,,,,,N/A,14.955,14.939,2.467,2.499,0.009,0.004,,,
73,15-Apr-22,20-Apr-22,Simplelong15_095_15,15,0.95,3,Lab_LM,12,12,17,7,7,6,,,,,,,,P,14.956,14.912,2.493,2.496,0.95,0.946,,,
73,15-Apr-22,20-Apr-22,Simplelong15_095rev_15,15,0.95,4,Lab_LM,,,,5,6,6,,,,,,,,N,14.955,14.913,2.492,2.489,0.95,0.949,,,
74,22-Apr-22,27-Apr-22,Simplelong10_000_1,10,0,2,Lab_LM,6,8,10,4,5,6,,,,0.637,0.64,,,N/A,9.937,9.952,2.468,2.429,0.015,0.06,,,
74,22-Apr-22,27-Apr-22,Simplelong10_095_1,10,0.95,3,Lab_LM,0,0,0,5,6,7,,,,0.623,0.652,,,N,9.95,9.905,2.507,2.503,0.955,0.95,,,
74,22-Apr-22,27-Apr-22,Simplelong10_095rev_1,10,0.95,4,Lab_LM,,,,6,6,7,,,,0.498,0.602,,,P,9.945,9.918,2.495,2.505,0.955,0.954,,,
74,22-Apr-22,27-Apr-22,Simplelong10_000_2,10,0,5,Lab_LM,,,,4,5,4,,,,0.426,0.47,,,N/A,9.948,10.029,2.46,2.357,0.01,0.037,,,
74,22-Apr-22,27-Apr-22,Simplelong10_095_2,10,0.95,6,Lab_LM,,,,5,5,5,,,,0.54,0.532,,,N,9.962,10.237,2.485,2.17,0.954,0.913,,,
75,29-Apr-22,4-May-22,Simplelong10_000_4,10,0,2,Lab_LM,,,,4,4,5,,,,0.407,0.502,,,N/A,9.931,9.936,2.476,2.434,-0.004,0.018,,,
75,29-Apr-22,4-May-22,Simplelong10_000_3,10,0,3,Lab_LM,,,,4,5,5,,,,0.506,0.563,,,N/A,9.951,9.92,2.462,2.464,0.004,0.011,,,
75,29-Apr-22,4-May-22,Simplelong10_095_3,10,0.95,4,Lab_LM,0,0,2,5,5,6,,,,0.462,0.513,,,P,9.958,9.932,2.493,2.488,0.965,0.961,,,
75,29-Apr-22,4-May-22,Simplelong10_095rev_3,10,0.95,5,Lab_LM,0,0,0,5,6,5,,,,0.544,0.617,,,N,9.971,9.954,2.495,2.497,0.965,0.956,,,
75,29-Apr-22,4-May-22,Simplelong10_095rev_2,10,0.95,6,Lab_LM,,,,7,6,5,,,,0.487,0.594,,,P,9.976,9.94,2.493,2.498,0.953,0.954,,,
