Experiment_Number,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Label,Incubator,Species,Frond_count_1,Dead_frond_count_1,Initial_area,Final_area,cat_1,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Errors,Gap_size,Remarks,Treatment
1,26-Apr-24,6-May-24,simplelong37_095_10d_1,37,strong autocorrelation,6,Field_LM,56,0,0.648,1.678,cold-hot,36.9,36.76,2.72,2.8,0.86,0.79,NA,NA,NA,cold-hot
1,26-Apr-24,6-May-24,simplelong37_095_10d_1,37,strong autocorrelation,6,LP,48,5,0.456,0.782,cold-hot,36.9,36.76,2.72,2.8,0.86,0.79,NA,NA,NA,cold-hot
1,26-Apr-24,6-May-24,simplelong37_095rev_10d_1,37,strong autocorrelation,3,Field_LM,0,16,0.574,0,hot-cold,36.94,36.91,2.5,2.5,0.95,0.95,NA,NA,NA,hot-cold
1,26-Apr-24,6-May-24,simplelong37_095rev_10d_1,37,strong autocorrelation,3,LP,0,22,0.399,0,hot-cold,36.94,36.91,2.5,2.5,0.95,0.95,NA,NA,NA,hot-cold
1,26-Apr-24,6-May-24,simplelong37_000_10d_1,37,no autocorrelation,4,Field_LM,40,0,0.644,0.994,no autocorrelation,36.95,36.93,2.44,2.54,0.03,0,NA,NA,NA,no autocorrelation
1,26-Apr-24,6-May-24,simplelong37_000_10d_1,37,no autocorrelation,4,LP,37,4,0.409,0.464,no autocorrelation,36.95,36.93,2.44,2.54,0.03,0,NA,NA,NA,no autocorrelation
2,6-May-24,16-May-24,simplelong37_095_10d_2,37,strong autocorrelation,3,Field_LM,3,26,0.6,0.134,hot-cold,36.9,36.86,2.6,2.6,0.91,0.9,NA,NA,NA,hot-cold
2,6-May-24,16-May-24,simplelong37_095_10d_2,37,strong autocorrelation,3,LP,0,28,0.38,0,hot-cold,36.9,36.86,2.6,2.6,0.91,0.9,NA,NA,NA,hot-cold
2,6-May-24,16-May-24,simplelong37_000_10d_2,37,no autocorrelation,4,Field_LM,37,1,0.665,0.867,no autocorrelation,36.93,36.88,2.05,2.13,0.28,0.24,NA,NA,NA,no autocorrelation
2,6-May-24,16-May-24,simplelong37_000_10d_2,37,no autocorrelation,4,LP,23,7,0.233,0.465,no autocorrelation,36.93,36.88,2.05,2.13,0.28,0.24,NA,NA,NA,no autocorrelation
2,6-May-24,16-May-24,simplelong37_095rev_10d_2,37,strong autocorrelation,6,Field_LM,93,0,0.475,2.877,cold-hot,36.94,36.9,2.62,2.63,0.91,0.89,NA,NA,NA,cold-hot
2,6-May-24,16-May-24,simplelong37_095rev_10d_2,37,strong autocorrelation,6,LP,20,30,0.261,0.847,cold-hot,36.94,36.9,2.62,2.63,0.91,0.89,NA,NA,NA,cold-hot
