"Experiment_Number","Experiment_Start","Experiment_End","Profile_name","Mean_temperature","Label","Incubator","Species","autocorrelation_regime","total_living_fronds"
41,"16-Jul-21","21-Jul-21","simplelong11_1",11,"constant",3,"LM",NA,13
41,"16-Jul-21","21-Jul-21","simplelong15_1",15,"constant",5,"LM",NA,14
41,"16-Jul-21","21-Jul-21","simplelong31_1",31,"constant",6,"LM",NA,27
44,"20-Aug-21","25-Aug-21","simplelong31_1",31,"constant",3,"LM",NA,34
44,"20-Aug-21","25-Aug-21","simplelong15_1",15,"constant",5,"LM",NA,14
44,"20-Aug-21","25-Aug-21","simplelong11_1",11,"constant",6,"LM",NA,12
46,"10-Sep-21","15-Sep-21","simplelong11_1",11,"constant",3,"LM",NA,14
47,"17-Sep-21","22-Sep-21","simplelong11_1",11,"constant",5,"LM",NA,13
48,"24-Sep-21","29-Sep-21","simplelong31_1",31,"constant",3,"LM",NA,33
48,"24-Sep-21","29-Sep-21","simplelong15_1",15,"constant",5,"LM",NA,14
48,"24-Sep-21","29-Sep-21","simplelong11_1",11,"constant",6,"LM",NA,14
52,"29-Oct-21","3-Nov-21","simplelong30_1",30,"constant",2,"LM",NA,32
52,"29-Oct-21","3-Nov-21","Simplelong 35_1",35,"constant",4,"LM",NA,28
52,"29-Oct-21","3-Nov-21","Simplelong 25_1",25,"constant",5,"LM",NA,31
53,"5-Nov-21","10-Nov-21","Simplelong 15_095rev_06",15,"strong autocorrelation",4,"LM","hot-cold",17
53,"5-Nov-21","10-Nov-21","Simplelong 40_1",40,"constant",5,"LM",NA,13
55,"19-Nov-21","24-Nov-21","Simplelong15_095_06",15,"strong autocorrelation",2,"LM","cold-hot",15
55,"19-Nov-21","24-Nov-21","Simplelong15_000_06",15,"no autocorrelation",5,"LM",NA,18
56,"26-Nov-21","1-Dec-21","Simplelong 20_1",20,"constant",1,"LM",NA,26
56,"26-Nov-21","1-Dec-21","Simplelong 20_1",20,"constant",3,"LM",NA,28
56,"26-Nov-21","1-Dec-21","Simplelong 25_1",25,"constant",6,"LM",NA,33
58,"10-Dec-21","15-Dec-21","Simplelong20_2",20,"constant",1,"LM",NA,28
58,"10-Dec-21","15-Dec-21","Simplelong23_1",23,"constant",2,"LM",NA,33
58,"10-Dec-21","15-Dec-21","Simplelong35_1",35,"constant",3,"LM",NA,28
58,"10-Dec-21","15-Dec-21","Simplelong39_1",39,"constant",4,"LM",NA,11
59,"17-Dec-21","22-Dec-21","Simplelong20_2",20,"constant",1,"LM",NA,18
59,"17-Dec-21","22-Dec-21","Simplelong25_1",25,"constant",2,"LM",NA,20
59,"17-Dec-21","22-Dec-21","Simplelong39_1",39,"constant",3,"LM",NA,14
60,"14-Jan-22","19-Jan-22"," Simplelong35_1",35,"constant",2,"LM",NA,30
60,"14-Jan-22","19-Jan-22"," Simplelong40_1",40,"constant",3,"LM",NA,8
61,"21-Jan-22","26-Jan-22"," Simplelong20_2",20,"constant",1,"LM",NA,27
61,"21-Jan-22","26-Jan-22"," Simplelong35_1",35,"constant",2,"LM",NA,20
61,"21-Jan-22","26-Jan-22"," Simplelong40_1",40,"constant",3,"LM",NA,2
