Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,SA_initial_rep1,SA_initial_rep2,SA_initial_rep3,SA_initial_total,SA_final_rep1,SA_final_rep2,SA_final_rep3,SA_final_total
2,15,26-Jul-20,31-Jul-20,simplelong15_000_1,0,1,,,,,,,,,,,
2,15,26-Jul-20,31-Jul-20,simplelong15_090_1,0.9,3,,,,,,,,,,,
2,15,26-Jul-20,31-Jul-20,simplelong15_060_1,0.6,5,,,,,,,,,,,
2,15,26-Jul-20,31-Jul-20,simplelong15_090_rev_1,0.9,6,,,,,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_000_1,0,1,,,,,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_060_1,0.6,3,,,,,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_095_1,0.95,5,,,,,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_095_rev_1,0.95,6,,,,,,,,,,,
4,23,09-Aug-20,14-Aug-20,simplelong23_000_1,0,1,,,,,,,,,,,
4,23,09-Aug-20,14-Aug-20,simplelong23_060_1,0.6,3,,,,,,,,,,,
4,23,09-Aug-20,14-Aug-20,simplelong23_095_1,0.95,5,,,,,,,,,,,
4,23,09-Aug-20,14-Aug-20,simplelong23_095_rev_1,0.95,6,,,,,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong15_000_1,0,1,,,,,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong15_060_1,0.6,3,,,,,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong3_090_1,0.9,5,,,,,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong4_090_1,0.9,6,,,,,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_000_2,0,1,,,,,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_060_2,0.6,3,,,,,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_095_2,0.95,5,,,,,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_095_rev_2,0.95,6,,,,,,,,,,,
9,15,13-Sep-20,18-Sep-20,simplelong15_095_rev_2,0.95,1,,,,,,,,,,,
9,15,13-Sep-20,18-Sep-20,simplelong15_095_2,0.95,3,,,,,,,,,,,
9,15,13-Sep-20,18-Sep-20,simplelong15_060_2,0.6,5,,,,,,,,,,,
9,15,13-Sep-20,18-Sep-20,simplelong15_000_2,0,6,,,,,,,,,,,
11,15,27-Sep-20,02-Oct-20,simplelong15_095_rev_3,0.95,1,,,,,,,,,,,
11,15,27-Sep-20,02-Oct-20,simplelong15_095_3,0.95,3,,,,,,,,,,,
11,15,27-Sep-20,02-Oct-20,simplelong15_060_3,0.6,5,,,,,,,,,,,
11,15,27-Sep-20,02-Oct-20,simplelong15_000_3,0,6,,,,,,,,,,,
