Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size
66,27,25-Feb-22,02-Mar-22,Simplelong27_000_21,0,2,,,,12,11,16,N/A,N/A,26.94545455,26.88181818,2.573292314,2.550686182,-0.002750626,0.006485431,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_9,0.95,3,,,,11,15,13,P,N,26.94297521,26.84628099,2.569624695,2.574070749,0.9003611,0.904067791,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_9,0.95,4,15,8,18,13,12,11,N,P,26.94297521,26.8553719,2.569624695,2.567779534,0.876702517,0.879847072,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095_10,0.95,5,10,12,19,14,15,12,N,P,26.93719008,26.86115702,2.569796757,2.571846674,0.878651658,0.879905351,n,
66,27,25-Feb-22,02-Mar-22,Simplelong27_095rev_10,0.95,6,18,25,21,11,11,15,P,N,26.93719008,26.85041322,2.569796757,2.566713981,0.899661174,0.90533367,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_18,0,2,,,,7,8,7,N/A,N/A,26.94083333,26.87,2.583902847,2.56913156,-0.007734958,0.008885457,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_5,0.95,3,,,,7,8,7,P,P,26.92916667,26.83833333,2.581784798,2.581517479,0.911240673,0.916016012,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095rev_5,0.95,4,3,9,6,6,6,6,N,N,26.965,26.87583333,2.567791779,2.56626452,0.873764263,0.878536416,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_19,0,5,13,14,12,9,10,12,N/A,N/A,26.93083333,26.87583333,2.576389103,2.533572753,0.0101303,0.024362232,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_095_6,0.95,6,12,19,8,6,7,9,P,P,26.92333333,26.83583333,2.570738158,2.567272883,0.908693991,0.910659681,n,
