Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_10,0,4,4,5,6,14,11,11,N/A,N/A,26.92689076,26.87478992,2.984272261,2.952626481,-0.002825014,0.01604961,n,
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_11,0,5,4,4,0,14,12,11,N/A,N/A,26.94117647,26.88823529,2.971457776,2.923637636,0.004823887,0.026282624,n,
60,27,14-Jan-22,19-Jan-22,Simplelong27_000_12,0,6,6,6,4,12,12,13,N/A,N/A,26.92352941,26.86218487,2.974117328,2.91922301,-0.003855394,0.014052847,n,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_13,0,4,1,0,2,10,11,12,N/A,N/A,26.93884298,26.88347107,2.95345481,2.920027029,0.002814523,0.018467958,n,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_14,0,5,0,0,4,9,9,10,N/A,N/A,26.94628099,26.88842975,2.953191531,2.917995604,-0.013336711,0.000767218,n,
61,27,21-Jan-22,26-Jan-22,Simplelong27_000_15,0,6,7,6,7,12,10,10,N/A,N/A,26.94214876,26.88429752,2.96267762,2.933882759,-0.014168328,0.00689276,n,
62,27,28-Jan-22,02-Feb-22,Simplelong27_000_16,0,5,18,18,9,8,8,8,N/A,N/A,26.91764706,26.85294118,2.974514547,2.928319456,-0.019214815,-0.0039995,n,
62,27,28-Jan-22,02-Feb-22,Simplelong27_000_17,0,6,33,10,33,,,,N/A,N/A,26.96890756,26.89747899,2.969641532,2.938478281,0.014703854,0.023355383,n,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095_2,0.95,2,,,,10,9,11,N,N,26.94132231,26.8553719,2.575385713,2.575233013,0.876901484,0.878667945,n,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_2,0.95,3,,,,11,13,13,P,N,26.94132231,26.84958678,2.575385713,2.57643565,0.900448732,0.903227385,n,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095_3,0.95,4,,,,12,12,12,P,N,26.94297521,26.8553719,2.566054898,2.548134952,0.896263326,0.901160003,n,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_3,0.95,5,9,8,10,12,11,10,N,P,26.94297521,26.86280992,2.566054898,2.550200392,0.875174921,0.879206294,n,
63,27,04-Feb-22,09-Feb-22,Simplelong27_095rev_4,0.95,6,17,31,20,12,12,10,N,P,26.94297521,26.86694215,2.571407735,2.562661001,0.885339076,0.888757603,n,
64,27,11-Feb-22,16-Feb-22,Simplelong27_000_5,0,2,,,,7,8,7,N/A,N/A,26.94083333,26.87,2.583902847,2.56913156,-0.007734958,0.008885457,n,
