Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,Cat,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps
2,15,26-Jul-20,31-Jul-20,simplelong15_000_1,0,1,0,8,1,,,,N/A,,,,,,,n
2,15,26-Jul-20,31-Jul-20,simplelong15_090_1,0.9,3,6,6,0,,,,,,,,,,,
2,15,26-Jul-20,31-Jul-20,simplelong15_060_1,0.6,5,0,3,4,,,,N/A,,,,,,,
2,15,26-Jul-20,31-Jul-20,simplelong15_090_rev_1,0.9,6,0,0,1,,,,,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_000_1,0,1,12,16,21,,,,N/A,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_060_1,0.6,3,19,16,14,,,,N/A,,,,,,,
3,19,02-Aug-20,07-Aug-20,simplelong19_095_1,0.95,5,22,23,8,,,,P,19.01,18.88,2.55,2.48,0.938,0.956,
3,19,02-Aug-20,07-Aug-20,simplelong19_095_rev_1,0.95,6,19,17,8,,,,N,18.97,18.95,2.55,2.48,0.938,0.836,
4,23,09-Aug-20,14-Aug-20,simplelong23_000_1,0,1,21,21,22,,,,N/A,22.93666667,23.02686567,2.477560922,2.2630485,0.067012675,-0.144820441,
4,23,09-Aug-20,14-Aug-20,simplelong23_060_1,0.6,3,23,26,20,,,,N/A,,,,,,,
4,23,09-Aug-20,14-Aug-20,simplelong23_095_1,0.95,5,24,22,27,,,,P,22.95666667,22.958,2.512815333,2.618087049,0.927403161,1,
4,23,09-Aug-20,14-Aug-20,simplelong23_095_rev_1,0.95,6,28,17,20,,,,N,22.9525,22.90882353,2.507801692,2.405278969,0.927217984,0.899063069,
7,15,30-Aug-20,04-Sep-20,simplelong15_000_1,0,1,12,3,9,,,,N/A,15.07627119,14.99726027,2.492884848,2.448013515,0.033006192,0.250301234,
7,15,30-Aug-20,04-Sep-20,simplelong15_060_1,0.6,3,4,11,3,,,,N/A,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong3_090_1,0.9,5,10,7,6,,,,N,,,,,,,
7,15,30-Aug-20,04-Sep-20,simplelong4_090_1,0.9,6,6,7,4,,,,N,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_000_2,0,1,8,4,6,,,,N/A,14.97833333,15.09,2.491133296,2.638134497,0.029711373,0.259032783,
8,15,06-Sep-20,11-Sep-20,simplelong15_060_2,0.6,3,3,7,8,,,,N/A,,,,,,,
8,15,06-Sep-20,11-Sep-20,simplelong15_095_2,0.95,5,13,9,25,,,,N,15.02396694,15.04835165,2.538372996,2.597407367,0.927406708,0.928885551,
8,15,06-Sep-20,11-Sep-20,simplelong15_095_rev_2,0.95,6,7,11,10,,,,P,15.02892562,14.86761905,2.532832341,2.559578362,0.936406044,0.939545952,
9,15,13-Sep-20,18-Sep-20,simplelong15_095_rev_2,0.95,1,3,8,7,,,,P,15.02396694,14.98219178,2.533970034,2.604981471,0.937071737,0.943288916,
9,15,13-Sep-20,18-Sep-20,simplelong15_095_2,0.95,3,17,11,14,,,,N,15.0204918,15.0631068,2.517277111,2.498077311,0.925682244,0.846160896,
9,15,13-Sep-20,18-Sep-20,simplelong15_060_2,0.6,5,9,6,19,,,,N/A,,,,,,,
9,15,13-Sep-20,18-Sep-20,simplelong15_000_2,0,6,8,23,12,,,,N/A,15.02213115,15.17446809,2.514963887,2.440471318,0.01628409,0.082864956,
11,15,27-Sep-20,02-Oct-20,simplelong15_095_rev_3,0.95,1,15,4,14,,,,P,15.02066116,14.83150685,2.525137533,2.650989161,0.914893091,0.94493632,
11,15,27-Sep-20,02-Oct-20,simplelong15_095_3,0.95,3,7,8,16,,,,P,15.02644628,15.02289157,2.522160734,2.470821198,0.93346995,0.833525349,
11,15,27-Sep-20,02-Oct-20,simplelong15_060_3,0.6,5,7,4,12,,,,N/A,,,,,,,
11,15,27-Sep-20,02-Oct-20,simplelong15_000_3,0,6,4,4,5,,,,N/A,15.02892562,15.19081633,2.519670548,2.581699542,0.000141443,0.153797188,
12,15,04-Oct-20,09-Oct-20,simplelong15_095_4,0.95,1,5,5,8,,,,P,14.32583333,15.99565217,2.971050682,2.792844549,0.950072109,0.556512947,
12,15,04-Oct-20,09-Oct-20,simplelong15_095_4,0.95,3,8,8,0,,,,P,14.2825,13.306,1.619765649,1.655345084,0.828255027,0.470234225,
12,15,04-Oct-20,09-Oct-20,simplelong15_060_4,0.6,5,4,9,8,,,,N/A,,,,,,,
12,15,04-Oct-20,09-Oct-20,simplelong15_000_4,0,6,5,2,6,,,,N/A,15.4225,15.15846154,2.176785947,2.568796673,0.064667463,0.040133891,
13,15,11-Oct-20,16-Oct-20,simplelong15_000_5,0,1,4,3,3,,,,N/A,15.02479339,15.06533333,2.503839751,2.376147992,0.02940707,-0.099360182,
13,15,11-Oct-20,16-Oct-20,simplelong15_060_5,0.6,3,4,8,7,,,,N/A,,,,,,,
13,15,11-Oct-20,16-Oct-20,simplelong15_095_5,0.95,5,10,11,13,,,,N,15.03057851,15.13854167,2.534818961,2.580019167,0.902279884,0.852833275,
13,15,11-Oct-20,16-Oct-20,simplelong15_095_rev.5,0.95,6,5,15,4,,,,P,15.03471074,14.86190476,2.524866688,2.484892079,0.925643625,0.864322613,
14,27,18-Oct-20,23-Oct-20,simplelong27_095_rev_2,0.95,1,12,14,10,,,,N,26.89327731,26.84027778,2.573520015,2.606474048,0.893814947,0.845736728,
14,27,18-Oct-20,23-Oct-20,simplelong27_095_2,0.95,3,14,11,11,,,,P,26.93193277,26.88414634,2.58846636,2.543763592,0.87629418,0.853084311,
14,27,18-Oct-20,23-Oct-20,simplelong27_060_2,0.6,5,17,5,14,,,,N/A,,,,,,,
14,27,18-Oct-20,23-Oct-20,simplelong27_000_2,0,6,20,12,24,,,,N/A,26.91092437,26.84019608,2.563888397,2.52089328,0.021650904,0.037236534,
15,27,25-Oct-20,30-Oct-20,simplelong27_095_rev_3,0.95,1,15,10,9,,,,P,26.91818182,26.80789474,2.567910954,2.609151237,0.915107058,0.855857019,
15,27,25-Oct-20,30-Oct-20,simplelong27_095_3,0.95,3,3,0,0,,,,P,26.93057851,26.70759494,2.570208908,2.750234123,0.87293658,1,
15,27,25-Oct-20,30-Oct-20,simplelong27_060_3,0.6,5,13,13,12,,,,N/A,,,,,,,
15,27,25-Oct-20,30-Oct-20,simplelong27_000_3,0,6,27,26,21,,,,N/A,26.93471074,26.87475728,2.568420745,2.619411641,0.040778005,0.073910971,
18,27,15-Nov-20,20-Nov-20,simplelong27_000_5,0,1,12,21,8,,,,N/A,26.91900826,26.58311688,2.534571432,2.42478445,0.024058777,0.20056586,
18,27,15-Nov-20,20-Nov-20,simplelong27_060_5,0.6,3,20,25,79,,,,N/A,,,,,,,
18,27,15-Nov-20,20-Nov-20,simplelong27_095_5,0.95,5,14,20,18,,,,N,26.93140496,26.74787234,2.565931704,2.580436269,0.884260281,0.868136619,
18,27,15-Nov-20,20-Nov-20,simplelong27_095_rev_5,0.95,6,31,42,33,,,,P,26.93636364,26.83084112,2.571478174,2.597582738,0.882862514,0.881459008,
19,27,22-Nov-20,27-Nov-20,simplelong27_095_6,0.95,1,17,25,22,,,,N,26.9125,26.7915493,2.572399152,2.633506434,0.914094484,1,
19,27,22-Nov-20,27-Nov-20,simplelong27_095_rev_6,0.95,3,1,4,7,,,,P,26.94833333,26.85384615,2.564560779,2.749908726,0.87719268,1,
19,27,22-Nov-20,27-Nov-20,simplelong27_000_6,0,5,22,18,39,,,,N/A,26.9325,26.6744186,2.506501211,2.404025352,-0.004415735,-0.102249898,
19,27,22-Nov-20,27-Nov-20,simplelong27_060_6,0.6,6,33,26,24,,,,N/A,,,,,,,
20,27,29-Nov-20,04-Dec-20,simplelong27_000_7,0,1,15,7,4,,,,N/A,26.94344262,26.71012658,2.491538995,2.60943038,-0.011105749,-0.101959399,
20,27,29-Nov-20,04-Dec-20,simplelong27_060_7,0.6,3,11,15,25,,,,N/A,,,,,,,
20,27,29-Nov-20,04-Dec-20,simplelong27_095_rev_7,0.95,5,19,26,18,,,,N,26.93442623,26.85531915,2.562790657,2.698809655,0.897041764,0.894004809,
20,27,29-Nov-20,04-Dec-20,simplelong27_095_7,0.95,6,9,26,16,,,,P,26.95737705,26.86886792,2.565663867,2.613130333,0.870156447,0.886268531,
21,27,06-Dec-20,11-Dec-20,simplelong27_000_8,0,1,20,23,24,,,,N/A,26.93666667,26.74197531,2.48091652,2.457481648,0.021240444,0.141700672,
21,27,06-Dec-20,11-Dec-20,simplelong27_060_8,0.6,3,21,24,14,,,,N/A,,,,,,,
21,27,06-Dec-20,11-Dec-20,simplelong27_095_8,0.95,5,25,30,8,,,,P,26.91333333,26.60888889,2.568978914,2.40755573,0.887008512,0.730495056,
21,27,06-Dec-20,11-Dec-20,simplelong27_095_rev_8,0.95,6,27,32,37,,,,N,26.935,26.62571429,2.575601423,2.572451262,0.871421265,0.86091072,
22,27,13-Dec-20,18-Dec-20,simplelong27_095_rev_9,0.95,1,10,3,3,,,,P,26.85967742,26.81875,2.575996748,2.612583655,0.914762761,0.755836278,
22,27,13-Dec-20,18-Dec-20,simplelong27_095_9,0.95,3,9,3,8,,,,P,26.90967742,26.85287356,2.549937648,2.574464906,0.908028498,0.969279738,
22,27,13-Dec-20,18-Dec-20,simplelong27_060_9,0.6,5,42,33,45,,,,N/A,,,,,,,
22,27,13-Dec-20,18-Dec-20,simplelong27_000_9,0,6,25,41,49,,,,N/A,26.91290323,26.89065421,2.574703953,2.588382343,0.030405987,0.102746874,
25,27,31-Jan-21,05-Feb-21,simplelong_27_060_9,0.6,3,35,18,25,6,7,8,N/A,,,,,,,
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_9,0.95,5,16,12,15,6,8,8,P,26.96166667,26.82831858,2.573693136,2.624658788,0.902596994,0.936594169,
25,27,31-Jan-21,05-Feb-21,simplelong_27_095_rev_9,0.95,6,26,23,34,8,8,8,P,26.95166667,26.86636364,2.578547025,2.473614051,0.913720965,0.935595041,
