,Experiment_Start,Experiment_End,Profile_name,Mean_temperature,Treatment,Incubator,Species,Frond_count_1,Frond_count_2,Frond_count_3,Dead_frond_count_1,Dead_frond_count_2,Dead_frond_count_3,Program_mean,Obs_mean,Program_sd,Obs_sd,Remarks
new,15-Sep-22,20-Sep-22,simplelong7_1,7,constant,2,Field_LM,6,6,5,,,,7,6.993548387,0,0.234431065,
new,15-Sep-22,20-Sep-22,simplelong7_1,7,constant,2,Lab_LM,5,7,6,,,,7,6.993548387,0,0.234431065,
new,15-Sep-22,20-Sep-22,simplelong7_1,7,constant,2,LP,6,5,6,,,,7,6.993548387,0,0.234431065,
new,22-Sep-22,27-Sep-22,simplelong7_1,7,constant,5,Field_LM,6,4,5,,,,7,7.050833333,0,0.454482037,
new,22-Sep-22,27-Sep-22,simplelong7_1,7,constant,5,LP,7,7,6,,,,7,7.050833333,0,0.454482037,
new,22-Sep-22,27-Sep-22,simplelong7_1,7,constant,5,Lab_LM,7,5,5,,,,7,7.050833333,0,0.454482037,
new,29-Sep-22,4-Oct-22,simplelong7_1,7,constant,5,Field_LM,4,6,5,,,,7,7.553389831,0,0.833967164,
new,29-Sep-22,4-Oct-22,simplelong7_1,7,constant,5,Lab_LM,5,7,8,,,,7,7.553389831,0,0.833967164,
new,29-Sep-22,4-Oct-22,simplelong7_1,7,constant,5,LP,7,5,4,,,,7,7.553389831,0,0.833967164,
new,6-Oct-22,11-Oct-22,simplelong20_1,20,constant,5,Field_LM,9,11,11,,,,20.03109244,19.99322034,0.09720492,0.155100637,
new,6-Oct-22,11-Oct-22,simplelong20_1,20,constant,5,Lab_LM,11,13,12,,,,20.03109244,19.99322034,0.09720492,0.155100637,
new,6-Oct-22,11-Oct-22,simplelong20_1,20,constant,5,LP,8,10,13,,,,20.03109244,19.99322034,0.09720492,0.155100637,
new,20-Oct-22,25-Oct-22,simplelong20_1,20,constant,5,Field_LM,13,13,11,,,,20.03109244,19.99831933,0.09720492,0.146126943,
new,20-Oct-22,25-Oct-22,simplelong20_1,20,constant,5,Lab_LM,13,11,17,,,,20.03109244,19.99831933,0.09720492,0.146126943,
new,20-Oct-22,25-Oct-22,simplelong20_1,20,constant,5,LP,11,13,12,,,,20.03109244,19.99831933,0.09720492,0.146126943,
new,27-Oct-22,1-Nov-22,simplelong20_1,20,constant,5,Field_LM,13,7,13,0,0,0,20.02333333,20.00166667,0.097647396,0.129629941,
new,27-Oct-22,1-Nov-22,simplelong20_1,20,constant,5,Lab_LM,13,13,15,0,0,0,20.02333333,20.00166667,0.097647396,0.129629941,
new,27-Oct-22,1-Nov-22,simplelong20_1,20,constant,5,LP,11,11,12,0,0,0,20.02333333,20.00166667,0.097647396,0.129629941,
new,3-Nov-22,8-Nov-22,simplelong20_1,20,constant,5,Field_LM,13,7,10,0,0,1,20.03057851,20.01818182,0.096473636,0.145487686,
new,3-Nov-22,8-Nov-22,simplelong20_2,20,constant,5,Lab_LM,12,17,12,0,0,0,20.03057851,20.01818182,0.096473636,0.145487686,
new,3-Nov-22,8-Nov-22,simplelong20_3,20,constant,5,LP,20,13,16,0,1,0,20.03057851,20.01818182,0.096473636,0.145487686,
new,10-Nov-22,15-Nov-22,simplelong20_1,30,constant,5,Field_LM,13,13,13,0,0,0,,,,,Experiment 83 experienced a computer failure after about 14.5 hours; experiment was not completed
new,10-Nov-22,15-Nov-22,simplelong20_2,30,constant,5,Lab_LM,28,20,27,0,0,0,,,,,Experiment 83 experienced a computer failure after about 14.5 hours; experiment was not completed
new,10-Nov-22,15-Nov-22,simplelong20_3,30,constant,5,LP,14,13,18,1,0,0,,,,,Experiment 83 experienced a computer failure after about 14.5 hours; experiment was not completed
new,17-Nov-22,22-Nov-22,simplelong20_1,30,constant,5,Field_LM,11,9,11,0,1,0,30,29.99166667,0,0.065572249,
new,17-Nov-22,22-Nov-22,simplelong20_2,30,constant,5,Lab_LM,17,16,17,0,1,0,30,29.99166667,0,0.065572249,
new,17-Nov-22,22-Nov-22,simplelong20_3,30,constant,5,LP,24,20,19,0,0,1,30,29.99166667,0,0.065572249,
