"date","value"
2006-01-01 00:00:00,-2.7845
2006-01-01 01:00:00,-3.26275
2006-01-01 02:00:00,-2.7735
2006-01-01 03:00:00,-2.08575
2006-01-01 04:00:00,-1.5855
2006-01-01 05:00:00,-1.3735
2006-01-01 06:00:00,-0.3995
2006-01-01 07:00:00,0.03975
2006-01-01 08:00:00,0.222
2006-01-01 09:00:00,0.45325
2006-01-01 10:00:00,0.588
2006-01-01 11:00:00,0.6885
2006-01-01 12:00:00,0.8525
2006-01-01 13:00:00,1.60625
2006-01-01 14:00:00,1.73375
2006-01-01 15:00:00,1.4745
2006-01-01 16:00:00,1.33175
2006-01-01 17:00:00,1.0065
2006-01-01 18:00:00,0.825
2006-01-01 19:00:00,0.75275
2006-01-01 20:00:00,0.501
2006-01-01 21:00:00,0.10175
2006-01-01 22:00:00,-0.197
2006-01-01 23:00:00,-0.1985
2006-01-02 00:00:00,0.00625000000000003
2006-01-02 01:00:00,-0.2555
2006-01-02 02:00:00,0.00375
2006-01-02 03:00:00,0.4165
2006-01-02 04:00:00,0.15075
2006-01-02 05:00:00,0.1595
2006-01-02 06:00:00,0.30375
2006-01-02 07:00:00,0.56075
2006-01-02 08:00:00,0.72875
2006-01-02 09:00:00,0.98175
2006-01-02 10:00:00,1.3045
2006-01-02 11:00:00,1.3565
2006-01-02 12:00:00,1.248
2006-01-02 13:00:00,1.287
2006-01-02 14:00:00,1.30425
2006-01-02 15:00:00,1.2815
2006-01-02 16:00:00,1.0955
2006-01-02 17:00:00,0.888
2006-01-02 18:00:00,0.843
2006-01-02 19:00:00,0.80975
2006-01-02 20:00:00,0.66575
2006-01-02 21:00:00,0.873
2006-01-02 22:00:00,1.0695
2006-01-02 23:00:00,1.152
2006-01-03 00:00:00,1.072
2006-01-03 01:00:00,1.16975
2006-01-03 02:00:00,0.87725
2006-01-03 03:00:00,0.8815
2006-01-03 04:00:00,0.77225
2006-01-03 05:00:00,0.67
2006-01-03 06:00:00,0.54425
2006-01-03 07:00:00,0.6305
2006-01-03 08:00:00,0.66425
2006-01-03 09:00:00,0.616
2006-01-03 10:00:00,0.64575
2006-01-03 11:00:00,0.732
2006-01-03 12:00:00,0.7
2006-01-03 13:00:00,0.63175
2006-01-03 14:00:00,0.47925
2006-01-03 15:00:00,0.23575
2006-01-03 16:00:00,0.116
2006-01-03 17:00:00,-0.1075
2006-01-03 18:00:00,-0.177
2006-01-03 19:00:00,-0.0195
2006-01-03 20:00:00,0.1535
2006-01-03 21:00:00,0.359
2006-01-03 22:00:00,0.52575
2006-01-03 23:00:00,0.595
2006-01-04 00:00:00,1.35675
2006-01-04 01:00:00,0.8435
2006-01-04 02:00:00,0.94975
2006-01-04 03:00:00,1.091
2006-01-04 04:00:00,1.188
2006-01-04 05:00:00,1.435
2006-01-04 06:00:00,1.87875
2006-01-04 07:00:00,2.08825
2006-01-04 08:00:00,2.11625
2006-01-04 09:00:00,2.27525
2006-01-04 10:00:00,2.52025
2006-01-04 11:00:00,2.8465
2006-01-04 12:00:00,3.23875
2006-01-04 13:00:00,3.7545
2006-01-04 14:00:00,4.26275
2006-01-04 15:00:00,4.507
2006-01-04 16:00:00,4.48225
2006-01-04 17:00:00,4.317
2006-01-04 18:00:00,4.1935
2006-01-04 19:00:00,4.08975
2006-01-04 20:00:00,3.85525
2006-01-04 21:00:00,3.60875
2006-01-04 22:00:00,3.34075
2006-01-04 23:00:00,3.30325
2006-01-05 00:00:00,1.317
2006-01-05 01:00:00,2.4005
2006-01-05 02:00:00,1.24175
2006-01-05 03:00:00,0.68125
2006-01-05 04:00:00,0.4975
2006-01-05 05:00:00,0.37875
2006-01-05 06:00:00,0.45625
2006-01-05 07:00:00,0.4955
2006-01-05 08:00:00,0.595
2006-01-05 09:00:00,0.76875
2006-01-05 10:00:00,0.91525
2006-01-05 11:00:00,1.02475
2006-01-05 12:00:00,0.69
2006-01-05 13:00:00,0.5395
2006-01-05 14:00:00,0.3725
2006-01-05 15:00:00,-0.13875
2006-01-05 16:00:00,-0.705
2006-01-05 17:00:00,-0.81125
2006-01-05 18:00:00,-0.98375
2006-01-05 19:00:00,-1.5235
2006-01-05 20:00:00,-1.95825
2006-01-05 21:00:00,-2.3625
2006-01-05 22:00:00,-2.784
2006-01-05 23:00:00,-3.182
2006-01-06 00:00:00,-4.65675
2006-01-06 01:00:00,-4.39675
2006-01-06 02:00:00,-5.301
2006-01-06 03:00:00,-6.19225
2006-01-06 04:00:00,-7.51025
2006-01-06 05:00:00,-8.5825
2006-01-06 06:00:00,-9.2675
2006-01-06 07:00:00,-9.6875
2006-01-06 08:00:00,-9.775
2006-01-06 09:00:00,-9.2775
2006-01-06 10:00:00,-8.5625
2006-01-06 11:00:00,-7.79
2006-01-06 12:00:00,-7.23425
2006-01-06 13:00:00,-6.69
2006-01-06 14:00:00,-6.1295
2006-01-06 15:00:00,-6.37625
2006-01-06 16:00:00,-6.3115
2006-01-06 17:00:00,-6.46325
2006-01-06 18:00:00,-6.8145
2006-01-06 19:00:00,-6.88975
2006-01-06 20:00:00,-6.9105
2006-01-06 21:00:00,-6.76675
2006-01-06 22:00:00,-6.8305
2006-01-06 23:00:00,-6.797
2006-01-07 00:00:00,-5.42625
2006-01-07 01:00:00,-7.05775
2006-01-07 02:00:00,-6.519
2006-01-07 03:00:00,-6.2775
2006-01-07 04:00:00,-5.97025
2006-01-07 05:00:00,-5.87975
2006-01-07 06:00:00,-5.0955
2006-01-07 07:00:00,-4.9095
2006-01-07 08:00:00,-4.95725
2006-01-07 09:00:00,-4.36675
2006-01-07 10:00:00,-3.40175
2006-01-07 11:00:00,-2.361
2006-01-07 12:00:00,-1.872
2006-01-07 13:00:00,-1.54325
2006-01-07 14:00:00,-1.633
2006-01-07 15:00:00,-1.59125
2006-01-07 16:00:00,-1.53025
2006-01-07 17:00:00,-1.7825
2006-01-07 18:00:00,-1.81025
2006-01-07 19:00:00,-1.85375
2006-01-07 20:00:00,-1.924
2006-01-07 21:00:00,-1.83725
2006-01-07 22:00:00,-1.58575
2006-01-07 23:00:00,-1.41375
2006-01-08 00:00:00,-1.04675
2006-01-08 01:00:00,-1.33125
2006-01-08 02:00:00,-1.307
2006-01-08 03:00:00,-1.21275
2006-01-08 04:00:00,-1.852
2006-01-08 05:00:00,-3.8155
2006-01-08 06:00:00,-4.1585
2006-01-08 07:00:00,-2.7145
2006-01-08 08:00:00,-2.32725
2006-01-08 09:00:00,-2.248
2006-01-08 10:00:00,-2.07775
2006-01-08 11:00:00,-0.85075
2006-01-08 12:00:00,-0.48875
2006-01-08 13:00:00,-0.1105
2006-01-08 14:00:00,0.000500000000000001
2006-01-08 15:00:00,-0.34125
2006-01-08 16:00:00,-0.2725
2006-01-08 17:00:00,-0.781
2006-01-08 18:00:00,-1.08625
2006-01-08 19:00:00,-0.9795
2006-01-08 20:00:00,-0.89425
2006-01-08 21:00:00,-0.724
2006-01-08 22:00:00,-0.3015
2006-01-08 23:00:00,-0.03225
2006-01-09 00:00:00,0.2025
2006-01-09 01:00:00,0.299
2006-01-09 02:00:00,0.313
2006-01-09 03:00:00,0.3075
2006-01-09 04:00:00,0.0865
2006-01-09 05:00:00,-0.24925
2006-01-09 06:00:00,-0.3795
2006-01-09 07:00:00,-0.0355
2006-01-09 08:00:00,0.23375
2006-01-09 09:00:00,0.54
2006-01-09 10:00:00,0.671
2006-01-09 11:00:00,0.894
2006-01-09 12:00:00,1.46775
2006-01-09 13:00:00,1.26475
2006-01-09 14:00:00,1.228
2006-01-09 15:00:00,0.8255
2006-01-09 16:00:00,0.41075
2006-01-09 17:00:00,0.38525
2006-01-09 18:00:00,0.3435
2006-01-09 19:00:00,0.21225
2006-01-09 20:00:00,0.29825
2006-01-09 21:00:00,0.2425
2006-01-09 22:00:00,0.21375
2006-01-09 23:00:00,0.24875
2006-01-10 00:00:00,0.08125
2006-01-10 01:00:00,-0.0355
2006-01-10 02:00:00,-0.249
2006-01-10 03:00:00,-0.24375
2006-01-10 04:00:00,-0.39025
2006-01-10 05:00:00,-0.603
2006-01-10 06:00:00,-0.8565
2006-01-10 07:00:00,-1.64
2006-01-10 08:00:00,-2.84725
2006-01-10 09:00:00,-2.169
2006-01-10 10:00:00,-1.30175
2006-01-10 11:00:00,-0.6125
2006-01-10 12:00:00,-0.19375
2006-01-10 13:00:00,-0.44925
2006-01-10 14:00:00,-0.534
2006-01-10 15:00:00,-0.01675
2006-01-10 16:00:00,0.01725
2006-01-10 17:00:00,-0.734
2006-01-10 18:00:00,-1.4385
