"Date","Time","Temperature","DateTime","Hour"
"2006-05-24","00:15:00",4.568,"2006-05-24 00:15:00","00:00:00"
"2006-05-24","00:30:00",4.564,"2006-05-24 00:30:00","00:00:00"
"2006-05-24","00:45:00",4.478,"2006-05-24 00:45:00","00:00:00"
"2006-05-24","01:00:00",4.113,"2006-05-24 01:00:00","01:00:00"
"2006-05-24","01:15:00",4.053,"2006-05-24 01:15:00","01:00:00"
"2006-05-24","01:30:00",4.153,"2006-05-24 01:30:00","01:00:00"
"2006-05-24","01:45:00",4.049,"2006-05-24 01:45:00","01:00:00"
"2006-05-24","02:00:00",4.111,"2006-05-24 02:00:00","02:00:00"
"2006-05-24","02:15:00",4.014,"2006-05-24 02:15:00","02:00:00"
"2006-05-24","02:30:00",4.058,"2006-05-24 02:30:00","02:00:00"
"2006-05-24","02:45:00",4.092,"2006-05-24 02:45:00","02:00:00"
"2006-05-24","03:00:00",4.214,"2006-05-24 03:00:00","03:00:00"
"2006-05-24","03:15:00",4.376,"2006-05-24 03:15:00","03:00:00"
"2006-05-24","03:30:00",4.46,"2006-05-24 03:30:00","03:00:00"
"2006-05-24","03:45:00",4.575,"2006-05-24 03:45:00","03:00:00"
"2006-05-24","04:00:00",4.812,"2006-05-24 04:00:00","04:00:00"
"2006-05-24","04:15:00",4.844,"2006-05-24 04:15:00","04:00:00"
"2006-05-24","04:30:00",5.232,"2006-05-24 04:30:00","04:00:00"
"2006-05-24","04:45:00",5.29,"2006-05-24 04:45:00","04:00:00"
"2006-05-24","05:00:00",5.239,"2006-05-24 05:00:00","05:00:00"
"2006-05-24","05:15:00",5.1,"2006-05-24 05:15:00","05:00:00"
"2006-05-24","05:30:00",5.813,"2006-05-24 05:30:00","05:00:00"
"2006-05-24","05:45:00",6.082,"2006-05-24 05:45:00","05:00:00"
"2006-05-24","06:00:00",6.489,"2006-05-24 06:00:00","06:00:00"
"2006-05-24","06:15:00",7.42,"2006-05-24 06:15:00","06:00:00"
"2006-05-24","06:30:00",10.34,"2006-05-24 06:30:00","06:00:00"
"2006-05-24","06:45:00",12.37,"2006-05-24 06:45:00","06:00:00"
"2006-05-24","07:00:00",13.08,"2006-05-24 07:00:00","07:00:00"
"2006-05-24","07:15:00",13.08,"2006-05-24 07:15:00","07:00:00"
"2006-05-24","07:30:00",12.94,"2006-05-24 07:30:00","07:00:00"
"2006-05-24","07:45:00",12.89,"2006-05-24 07:45:00","07:00:00"
"2006-05-24","08:00:00",13.13,"2006-05-24 08:00:00","08:00:00"
"2006-05-24","08:15:00",13.76,"2006-05-24 08:15:00","08:00:00"
"2006-05-24","08:30:00",14.04,"2006-05-24 08:30:00","08:00:00"
"2006-05-24","08:45:00",14.52,"2006-05-24 08:45:00","08:00:00"
"2006-05-24","09:00:00",15.05,"2006-05-24 09:00:00","09:00:00"
"2006-05-24","09:15:00",15.4,"2006-05-24 09:15:00","09:00:00"
"2006-05-24","09:30:00",15.93,"2006-05-24 09:30:00","09:00:00"
"2006-05-24","09:45:00",16.57,"2006-05-24 09:45:00","09:00:00"
"2006-05-24","10:00:00",17.18,"2006-05-24 10:00:00","10:00:00"
"2006-05-24","10:15:00",17.34,"2006-05-24 10:15:00","10:00:00"
"2006-05-24","10:30:00",17.79,"2006-05-24 10:30:00","10:00:00"
"2006-05-24","10:45:00",17.86,"2006-05-24 10:45:00","10:00:00"
"2006-05-24","11:00:00",18.22,"2006-05-24 11:00:00","11:00:00"
"2006-05-24","11:15:00",18.54,"2006-05-24 11:15:00","11:00:00"
"2006-05-24","11:30:00",18.95,"2006-05-24 11:30:00","11:00:00"
"2006-05-24","11:45:00",19.48,"2006-05-24 11:45:00","11:00:00"
"2006-05-24","12:00:00",20.02,"2006-05-24 12:00:00","12:00:00"
"2006-05-24","12:15:00",20.65,"2006-05-24 12:15:00","12:00:00"
"2006-05-24","12:30:00",20.76,"2006-05-24 12:30:00","12:00:00"
"2006-05-24","12:45:00",20.67,"2006-05-24 12:45:00","12:00:00"
"2006-05-24","13:00:00",20.9,"2006-05-24 13:00:00","13:00:00"
"2006-05-24","13:15:00",21.05,"2006-05-24 13:15:00","13:00:00"
"2006-05-24","13:30:00",21.28,"2006-05-24 13:30:00","13:00:00"
"2006-05-24","13:45:00",20.89,"2006-05-24 13:45:00","13:00:00"
"2006-05-24","14:00:00",21.11,"2006-05-24 14:00:00","14:00:00"
"2006-05-24","14:15:00",21.1,"2006-05-24 14:15:00","14:00:00"
"2006-05-24","14:30:00",21.15,"2006-05-24 14:30:00","14:00:00"
"2006-05-24","14:45:00",21.24,"2006-05-24 14:45:00","14:00:00"
"2006-05-24","15:00:00",21.65,"2006-05-24 15:00:00","15:00:00"
"2006-05-24","15:15:00",22.03,"2006-05-24 15:15:00","15:00:00"
"2006-05-24","15:30:00",21.54,"2006-05-24 15:30:00","15:00:00"
"2006-05-24","15:45:00",21.46,"2006-05-24 15:45:00","15:00:00"
"2006-05-24","16:00:00",21.97,"2006-05-24 16:00:00","16:00:00"
"2006-05-24","16:15:00",21.81,"2006-05-24 16:15:00","16:00:00"
