Date,Time,Temperature,DateTime,month,year,hour,day
6/1/1998,0:00:00,6.823,6/1/1998 0:00,6,1998,0,1
6/1/1998,0:15:00,6.547,6/1/1998 0:15,6,1998,0,1
6/1/1998,0:30:00,6.213,6/1/1998 0:30,6,1998,0,1
6/1/1998,0:45:00,5.994,6/1/1998 0:45,6,1998,0,1
6/1/1998,1:00:00,5.803,6/1/1998 1:00,6,1998,1,1
6/1/1998,1:15:00,5.737,6/1/1998 1:15,6,1998,1,1
6/1/1998,1:30:00,5.899,6/1/1998 1:30,6,1998,1,1
6/1/1998,1:45:00,5.935,6/1/1998 1:45,6,1998,1,1
6/1/1998,2:00:00,5.908,6/1/1998 2:00,6,1998,2,1
6/1/1998,2:15:00,5.861,6/1/1998 2:15,6,1998,2,1
6/1/1998,2:30:00,5.811,6/1/1998 2:30,6,1998,2,1
6/1/1998,2:45:00,5.745,6/1/1998 2:45,6,1998,2,1
6/1/1998,3:00:00,5.67,6/1/1998 3:00,6,1998,3,1
6/1/1998,3:15:00,5.697,6/1/1998 3:15,6,1998,3,1
6/1/1998,3:30:00,5.697,6/1/1998 3:30,6,1998,3,1
6/1/1998,3:45:00,5.661,6/1/1998 3:45,6,1998,3,1
6/1/1998,4:00:00,5.689,6/1/1998 4:00,6,1998,4,1
6/1/1998,4:15:00,5.688,6/1/1998 4:15,6,1998,4,1
6/1/1998,4:30:00,5.614,6/1/1998 4:30,6,1998,4,1
6/1/1998,4:45:00,5.622,6/1/1998 4:45,6,1998,4,1
6/1/1998,5:00:00,5.519,6/1/1998 5:00,6,1998,5,1
6/1/1998,5:15:00,5.441,6/1/1998 5:15,6,1998,5,1
6/1/1998,5:30:00,5.453,6/1/1998 5:30,6,1998,5,1
6/1/1998,5:45:00,5.508,6/1/1998 5:45,6,1998,5,1
6/1/1998,6:00:00,5.567,6/1/1998 6:00,6,1998,6,1
6/1/1998,6:15:00,5.794,6/1/1998 6:15,6,1998,6,1
6/1/1998,6:30:00,5.973,6/1/1998 6:30,6,1998,6,1
6/1/1998,6:45:00,5.89,6/1/1998 6:45,6,1998,6,1
6/1/1998,7:00:00,6.319,6/1/1998 7:00,6,1998,7,1
6/1/1998,7:15:00,6.384,6/1/1998 7:15,6,1998,7,1
6/1/1998,7:30:00,6.908,6/1/1998 7:30,6,1998,7,1
6/1/1998,7:45:00,7.64,6/1/1998 7:45,6,1998,7,1
6/1/1998,8:00:00,7.43,6/1/1998 8:00,6,1998,8,1
6/1/1998,8:15:00,7.33,6/1/1998 8:15,6,1998,8,1
6/1/1998,8:30:00,8.04,6/1/1998 8:30,6,1998,8,1
6/1/1998,8:45:00,8.76,6/1/1998 8:45,6,1998,8,1
6/1/1998,9:00:00,8.9,6/1/1998 9:00,6,1998,9,1
6/1/1998,9:15:00,9.59,6/1/1998 9:15,6,1998,9,1
6/1/1998,9:30:00,9.57,6/1/1998 9:30,6,1998,9,1
6/1/1998,9:45:00,9.79,6/1/1998 9:45,6,1998,9,1
6/1/1998,10:00:00,9.49,6/1/1998 10:00,6,1998,10,1
6/1/1998,10:15:00,10.85,6/1/1998 10:15,6,1998,10,1
6/1/1998,10:30:00,11.62,6/1/1998 10:30,6,1998,10,1
6/1/1998,10:45:00,11.63,6/1/1998 10:45,6,1998,10,1
6/1/1998,11:00:00,11.9,6/1/1998 11:00,6,1998,11,1
6/1/1998,11:15:00,11.54,6/1/1998 11:15,6,1998,11,1
6/1/1998,11:30:00,12.28,6/1/1998 11:30,6,1998,11,1
6/1/1998,11:45:00,12.54,6/1/1998 11:45,6,1998,11,1
6/1/1998,12:00:00,12.31,6/1/1998 12:00,6,1998,12,1
6/1/1998,12:15:00,12.91,6/1/1998 12:15,6,1998,12,1
6/1/1998,12:30:00,12.91,6/1/1998 12:30,6,1998,12,1
6/1/1998,12:45:00,12.97,6/1/1998 12:45,6,1998,12,1
6/1/1998,13:00:00,13.87,6/1/1998 13:00,6,1998,13,1
6/1/1998,13:15:00,13.85,6/1/1998 13:15,6,1998,13,1
6/1/1998,13:30:00,14.26,6/1/1998 13:30,6,1998,13,1
6/1/1998,13:45:00,14.98,6/1/1998 13:45,6,1998,13,1
6/1/1998,14:00:00,15.2,6/1/1998 14:00,6,1998,14,1
