"Plot Title: greenhouse_test_1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,05/08/24 11:17:46  AM,24.641,0.0,,,,,
2,05/08/24 11:18:07  AM,,,Logged,,,,
3,05/08/24 12:17:46  PM,27.961,71644.9,,,,,
4,05/08/24 01:17:46  PM,27.272,5166.7,,,,,
5,05/08/24 02:17:46  PM,24.545,5166.7,,,,,
6,05/08/24 03:17:46  PM,25.125,19977.9,,,,,
7,05/08/24 04:17:46  PM,25.902,4994.5,,,,,
8,05/08/24 05:17:46  PM,24.931,7577.8,,,,,
9,05/08/24 06:17:46  PM,23.869,3272.2,,,,,
10,05/08/24 07:17:46  PM,22.238,1636.1,,,,,
11,05/08/24 08:17:46  PM,21.378,64.6,,,,,
12,05/08/24 09:17:46  PM,20.615,10.8,,,,,
13,05/08/24 10:17:46  PM,19.853,10.8,,,,,
14,05/08/24 11:17:46  PM,19.377,0.0,,,,,
15,05/09/24 12:17:46  AM,19.472,0.0,,,,,
16,05/09/24 01:17:46  AM,19.187,0.0,,,,,
17,05/09/24 02:17:46  AM,19.377,0.0,,,,,
18,05/09/24 03:17:46  AM,18.616,0.0,,,,,
19,05/09/24 04:17:46  AM,17.570,0.0,,,,,
20,05/09/24 05:17:46  AM,18.140,0.0,,,,,
21,05/09/24 06:17:46  AM,17.570,344.4,,,,,
22,05/09/24 07:17:46  AM,17.379,1722.2,,,,,
23,05/09/24 08:17:46  AM,22.238,19289.0,,,,,
24,05/09/24 09:17:46  AM,24.158,7577.8,,,,,
25,05/09/24 10:17:46  AM,25.513,8266.7,,,,,
26,05/09/24 11:17:46  AM,28.060,6200.0,,,,,
27,05/09/24 12:17:46  PM,30.659,39955.8,,,,,
28,05/09/24 01:17:46  PM,29.552,16533.4,,,,,
29,05/09/24 02:17:46  PM,27.468,27555.7,,,,,
30,05/09/24 03:17:46  PM,26.585,20666.8,,,,,
31,05/09/24 04:17:46  PM,24.255,7577.8,,,,,
32,05/09/24 05:17:46  PM,23.100,4994.5,,,,,
33,05/09/24 06:17:46  PM,21.664,2152.8,,,,,
34,05/09/24 07:17:46  PM,20.615,839.6,,,,,
35,05/09/24 08:17:46  PM,19.758,129.2,,,,,
36,05/09/24 09:17:46  PM,19.472,10.8,,,,,
37,05/09/24 10:17:46  PM,19.758,10.8,,,,,
38,05/09/24 11:17:46  PM,20.043,0.0,,,,,
39,05/10/24 12:17:46  AM,20.615,0.0,,,,,
40,05/10/24 01:17:46  AM,20.710,0.0,,,,,
41,05/10/24 02:17:46  AM,20.424,0.0,,,,,
