"Date","Time","Temperature","DateTime","month","year","hour","day"
1998-06-30,"24:00:00",16.39,1998-07-01 00:00:00,7,1998,0,1
1998-07-01,"00:15:00",16.36,1998-07-01 00:15:00,7,1998,0,1
1998-07-01,"00:30:00",16.17,1998-07-01 00:30:00,7,1998,0,1
1998-07-01,"00:45:00",16.07,1998-07-01 00:45:00,7,1998,0,1
1998-07-01,"01:00:00",16.02,1998-07-01 01:00:00,7,1998,1,1
1998-07-01,"01:15:00",15.87,1998-07-01 01:15:00,7,1998,1,1
1998-07-01,"01:30:00",15.98,1998-07-01 01:30:00,7,1998,1,1
1998-07-01,"01:45:00",15.99,1998-07-01 01:45:00,7,1998,1,1
1998-07-01,"02:00:00",15.75,1998-07-01 02:00:00,7,1998,2,1
1998-07-01,"02:15:00",15.29,1998-07-01 02:15:00,7,1998,2,1
1998-07-01,"02:30:00",15.18,1998-07-01 02:30:00,7,1998,2,1
1998-07-01,"02:45:00",15,1998-07-01 02:45:00,7,1998,2,1
1998-07-01,"03:00:00",14.98,1998-07-01 03:00:00,7,1998,3,1
1998-07-01,"03:15:00",14.75,1998-07-01 03:15:00,7,1998,3,1
1998-07-01,"03:30:00",14.71,1998-07-01 03:30:00,7,1998,3,1
1998-07-01,"03:45:00",14.66,1998-07-01 03:45:00,7,1998,3,1
1998-07-01,"04:00:00",14.7,1998-07-01 04:00:00,7,1998,4,1
1998-07-01,"04:15:00",14.68,1998-07-01 04:15:00,7,1998,4,1
1998-07-01,"04:30:00",14.82,1998-07-01 04:30:00,7,1998,4,1
1998-07-01,"04:45:00",14.84,1998-07-01 04:45:00,7,1998,4,1
1998-07-01,"05:00:00",14.7,1998-07-01 05:00:00,7,1998,5,1
1998-07-01,"05:15:00",14.78,1998-07-01 05:15:00,7,1998,5,1
1998-07-01,"05:30:00",15.13,1998-07-01 05:30:00,7,1998,5,1
1998-07-01,"05:45:00",15.32,1998-07-01 05:45:00,7,1998,5,1
1998-07-01,"06:00:00",15.79,1998-07-01 06:00:00,7,1998,6,1
1998-07-01,"06:15:00",16.15,1998-07-01 06:15:00,7,1998,6,1
1998-07-01,"06:30:00",16.62,1998-07-01 06:30:00,7,1998,6,1
1998-07-01,"06:45:00",17.01,1998-07-01 06:45:00,7,1998,6,1
1998-07-01,"07:00:00",17.22,1998-07-01 07:00:00,7,1998,7,1
1998-07-01,"07:15:00",17.56,1998-07-01 07:15:00,7,1998,7,1
1998-07-01,"07:30:00",18.02,1998-07-01 07:30:00,7,1998,7,1
1998-07-01,"07:45:00",18.39,1998-07-01 07:45:00,7,1998,7,1
1998-07-01,"08:00:00",18.78,1998-07-01 08:00:00,7,1998,8,1
1998-07-01,"08:15:00",19.02,1998-07-01 08:15:00,7,1998,8,1
1998-07-01,"08:30:00",19.17,1998-07-01 08:30:00,7,1998,8,1
1998-07-01,"08:45:00",19.46,1998-07-01 08:45:00,7,1998,8,1
1998-07-01,"09:00:00",20.03,1998-07-01 09:00:00,7,1998,9,1
1998-07-01,"09:15:00",20.56,1998-07-01 09:15:00,7,1998,9,1
1998-07-01,"09:30:00",20.74,1998-07-01 09:30:00,7,1998,9,1
1998-07-01,"09:45:00",20.79,1998-07-01 09:45:00,7,1998,9,1
1998-07-01,"10:00:00",20.92,1998-07-01 10:00:00,7,1998,10,1
1998-07-01,"10:15:00",20.98,1998-07-01 10:15:00,7,1998,10,1
1998-07-01,"10:30:00",21.23,1998-07-01 10:30:00,7,1998,10,1
1998-07-01,"10:45:00",21.32,1998-07-01 10:45:00,7,1998,10,1
1998-07-01,"11:00:00",21.71,1998-07-01 11:00:00,7,1998,11,1
1998-07-01,"11:15:00",21.65,1998-07-01 11:15:00,7,1998,11,1
1998-07-01,"11:30:00",21.84,1998-07-01 11:30:00,7,1998,11,1
1998-07-01,"11:45:00",21.91,1998-07-01 11:45:00,7,1998,11,1
1998-07-01,"12:00:00",22.22,1998-07-01 12:00:00,7,1998,12,1
1998-07-01,"12:15:00",22.54,1998-07-01 12:15:00,7,1998,12,1
1998-07-01,"12:30:00",22.61,1998-07-01 12:30:00,7,1998,12,1
1998-07-01,"12:45:00",22.6,1998-07-01 12:45:00,7,1998,12,1
1998-07-01,"13:00:00",22.91,1998-07-01 13:00:00,7,1998,13,1
1998-07-01,"13:15:00",23.07,1998-07-01 13:15:00,7,1998,13,1
1998-07-01,"13:30:00",23.04,1998-07-01 13:30:00,7,1998,13,1
1998-07-01,"13:45:00",23.38,1998-07-01 13:45:00,7,1998,13,1
1998-07-01,"14:00:00",23.36,1998-07-01 14:00:00,7,1998,14,1
1998-07-01,"14:15:00",23.08,1998-07-01 14:15:00,7,1998,14,1
1998-07-01,"14:30:00",23.23,1998-07-01 14:30:00,7,1998,14,1
1998-07-01,"14:45:00",23.5,1998-07-01 14:45:00,7,1998,14,1
1998-07-01,"15:00:00",23.25,1998-07-01 15:00:00,7,1998,15,1
1998-07-01,"15:15:00",23.38,1998-07-01 15:15:00,7,1998,15,1
1998-07-01,"15:30:00",23.12,1998-07-01 15:30:00,7,1998,15,1
1998-07-01,"15:45:00",23.34,1998-07-01 15:45:00,7,1998,15,1
1998-07-01,"16:00:00",23.17,1998-07-01 16:00:00,7,1998,16,1
1998-07-01,"16:15:00",22.93,1998-07-01 16:15:00,7,1998,16,1
1998-07-01,"16:30:00",22.78,1998-07-01 16:30:00,7,1998,16,1
1998-07-01,"16:45:00",22.84,1998-07-01 16:45:00,7,1998,16,1
1998-07-01,"17:00:00",22.55,1998-07-01 17:00:00,7,1998,17,1
1998-07-01,"17:15:00",22.69,1998-07-01 17:15:00,7,1998,17,1
1998-07-01,"17:30:00",22.36,1998-07-01 17:30:00,7,1998,17,1
1998-07-01,"17:45:00",22.16,1998-07-01 17:45:00,7,1998,17,1
1998-07-01,"18:00:00",22.01,1998-07-01 18:00:00,7,1998,18,1
