"year","month","week","station_name","temp"
"2012","1","1","BURLINGTON PIERS (AUT)",6.15777019159817
"2012","1","1","DELHI CS",6.25818881852254
"2012","1","1","ELORA RCS",6.27421908570648
"2012","1","1","GUELPH TURFGRASS",6.27681064456251
"2012","1","1","HAMILTON A",6.13449066275874
"2012","1","1","HAMILTON RBG CS",6.28913612322902
"2012","1","1","KITCHENER/WATERLOO",6.00409537900729
"2012","1","1","LONDON CS",6.04448000434728
"2012","1","1","LONDON INT'L AIRPORT",6.13664751776917
"2012","1","1","MOUNT FOREST (AUT)",6.28244291378181
"2012","1","1","TORONTO CITY",6.5383502687788
"2012","1","1","TORONTO CITY CENTRE",5.93808516543786
"2012","1","1","TORONTO LESTER B. PEARSON INT'L A",6.5537729900344
"2012","1","1","VINELAND STATION RCS",6.13742626355511
"2012","1","2","BURLINGTON PIERS (AUT)",4.37447585356711
"2012","1","2","DELHI CS",4.8025731804026
"2012","1","2","ELORA RCS",4.78178417784894
"2012","1","2","GUELPH TURFGRASS",4.71497347140386
"2012","1","2","HAMILTON A",4.58514866959043
"2012","1","2","HAMILTON RBG CS",4.47354722233923
"2012","1","2","KITCHENER/WATERLOO",4.54558756804344
"2012","1","2","LONDON CS",4.84533219534657
"2012","1","2","LONDON INT'L AIRPORT",4.91139247980405
"2012","1","2","MOUNT FOREST (AUT)",5.4347592298178
"2012","1","2","TORONTO CITY",5.25326286646936
"2012","1","2","TORONTO CITY CENTRE",4.92196428106521
"2012","1","2","TORONTO LESTER B. PEARSON INT'L A",5.34283865897545
"2012","1","2","VINELAND STATION RCS",4.24127843430993
"2012","1","3","BURLINGTON PIERS (AUT)",5.2978106304846
"2012","1","3","DELHI CS",6.89186775145223
"2012","1","3","ELORA RCS",5.23884560558488
"2012","1","3","GUELPH TURFGRASS",5.54377233911465
"2012","1","3","HAMILTON A",5.99595729083487
"2012","1","3","HAMILTON RBG CS",5.94420015385265
"2012","1","3","KITCHENER/WATERLOO",5.30325636629833
"2012","1","3","LONDON CS",6.21161996794526
"2012","1","3","LONDON INT'L AIRPORT",6.24042488664809
"2012","1","3","MOUNT FOREST (AUT)",5.44609058817523
"2012","1","3","TORONTO CITY",5.16018842231072
"2012","1","3","TORONTO CITY CENTRE",4.75324356861537
"2012","1","3","TORONTO LESTER B. PEARSON INT'L A",5.45324895376111
"2012","1","3","VINELAND STATION RCS",5.69197342303454
"2012","1","4","BURLINGTON PIERS (AUT)",2.46621627142921
"2012","1","4","DELHI CS",5.20480547186924
"2012","1","4","ELORA RCS",3.0761131061829
"2012","1","4","GUELPH TURFGRASS",3.47784214904686
"2012","1","4","HAMILTON A",3.02735426086124
"2012","1","4","HAMILTON RBG CS",3.03610344878046
"2012","1","4","KITCHENER/WATERLOO",3.33184592206189
"2012","1","4","LONDON CS",3.01303076033139
"2012","1","4","LONDON INT'L AIRPORT",3.0306503243778
"2012","1","4","MOUNT FOREST (AUT)",2.94946288963353
"2012","1","4","TORONTO CITY",2.15082659291528
"2012","1","4","TORONTO CITY CENTRE",1.9289111556431
"2012","1","4","TORONTO LESTER B. PEARSON INT'L A",2.46030352923074
"2012","1","4","VINELAND STATION RCS",2.81223744140863
"2012","1","5","BURLINGTON PIERS (AUT)",4.58911415210991
"2012","1","5","DELHI CS",5.09429733963531
"2012","1","5","ELORA RCS",4.13248798715813
"2012","1","5","GUELPH TURFGRASS",4.6243478582651
"2012","1","5","HAMILTON A",5.19587051353041
"2012","1","5","HAMILTON RBG CS",5.22465190040812
"2012","1","5","KITCHENER/WATERLOO",4.4084051087104
"2012","1","5","LONDON CS",4.92581507439173
"2012","1","5","LONDON INT'L AIRPORT",4.97848579527666
"2012","1","5","MOUNT FOREST (AUT)",4.21636279036431
"2012","1","5","TORONTO CITY",4.11113225896519
"2012","1","5","TORONTO CITY CENTRE",3.0340010486266
"2012","1","5","TORONTO LESTER B. PEARSON INT'L A",4.49860154761389
"2012","1","5","VINELAND STATION RCS",4.91154603244182
"2012","10","40","BURLINGTON PIERS (AUT)",3.41278931735185
"2012","10","40","DELHI CS",4.47894884722846
"2012","10","40","ELORA RCS",4.07090993419256
"2012","10","40","GUELPH TURFGRASS",4.13886364932361
"2012","10","40","HAMILTON A",4.16585050281577
"2012","10","40","HAMILTON RBG CS",4.16315259741215
"2012","10","40","KITCHENER/WATERLOO",4.27053565111857
"2012","10","40","LONDON A",4.8758275352056
"2012","10","40","LONDON CS",4.67558873838419
"2012","10","40","MOUNT FOREST (AUT)",4.1124400860728
"2012","10","40","TORONTO CITY",3.34744768187734
"2012","10","40","TORONTO CITY CENTRE",2.81009825824977
"2012","10","40","TORONTO LESTER B. PEARSON INT'L A",3.81970358660335
"2012","10","40","VINELAND STATION RCS",3.62883043446126
"2012","10","41","BURLINGTON PIERS (AUT)",2.59691861888048
"2012","10","41","DELHI CS",3.96534712566895
"2012","10","41","ELORA RCS",3.54916942094304
"2012","10","41","GUELPH TURFGRASS",3.99355978372953
"2012","10","41","HAMILTON A",3.41847989260753
"2012","10","41","HAMILTON RBG CS",4.35108410857277
"2012","10","41","KITCHENER/WATERLOO",4.05752898799894
"2012","10","41","LONDON A",3.92321243937359
"2012","10","41","LONDON CS",3.70022926408438
"2012","10","41","MOUNT FOREST (AUT)",3.27946405936716
"2012","10","41","TORONTO CITY",2.63673977716387
"2012","10","41","TORONTO CITY CENTRE",2.6804573755795
"2012","10","41","TORONTO LESTER B. PEARSON INT'L A",3.23856414022227
"2012","10","41","VINELAND STATION RCS",3.15124403449293
"2012","10","42","BURLINGTON PIERS (AUT)",4.09560904127155
"2012","10","42","DELHI CS",4.32318984398826
"2012","10","42","ELORA RCS",4.24826831893762
"2012","10","42","GUELPH TURFGRASS",4.37075142323966
"2012","10","42","HAMILTON A",4.23795190075207
"2012","10","42","HAMILTON RBG CS",4.76583914029881
"2012","10","42","KITCHENER/WATERLOO",4.42445037871509
"2012","10","42","LONDON A",4.14491299794055
"2012","10","42","LONDON CS",4.01038754763561
"2012","10","42","MOUNT FOREST (AUT)",4.26240792835061
"2012","10","42","TORONTO CITY",3.14916549972148
"2012","10","42","TORONTO CITY CENTRE",2.29602381081723
"2012","10","42","TORONTO LESTER B. PEARSON INT'L A",3.86133689992088
"2012","10","42","VINELAND STATION RCS",4.46033379824922
"2012","10","43","BURLINGTON PIERS (AUT)",2.71545230284212
"2012","10","43","DELHI CS",4.88658883587574
"2012","10","43","ELORA RCS",4.0785548117836
"2012","10","43","GUELPH TURFGRASS",4.51694398962592
"2012","10","43","HAMILTON A",4.34688942533352
"2012","10","43","HAMILTON RBG CS",3.35950999183356
"2012","10","43","KITCHENER/WATERLOO",4.57508653571041
"2012","10","43","LONDON A",4.78351677328237
"2012","10","43","LONDON CS",4.71195492839435
"2012","10","43","MOUNT FOREST (AUT)",4.48594131112085
"2012","10","43","TORONTO CITY",3.05970434916606
"2012","10","43","TORONTO CITY CENTRE",2.3689982019311
"2012","10","43","TORONTO LESTER B. PEARSON INT'L A",3.28799298161703
"2012","10","43","VINELAND STATION RCS",3.16201232248918
"2012","10","44","BURLINGTON PIERS (AUT)",1.91022066328897
"2012","10","44","DELHI CS",2.09698927872503
"2012","10","44","ELORA RCS",2.08343061176395
"2012","10","44","GUELPH TURFGRASS",2.02718368289865
"2012","10","44","HAMILTON A",1.98492979017642
"2012","10","44","HAMILTON RBG CS",1.97249508037543
"2012","10","44","KITCHENER/WATERLOO",2.16718322115023
"2012","10","44","LONDON A",1.89629626632424
"2012","10","44","LONDON CS",1.84691302429168
"2012","10","44","MOUNT FOREST (AUT)",1.87975280334755
"2012","10","44","TORONTO CITY",2.12515014949409
"2012","10","44","TORONTO CITY CENTRE",2.06731853400791
"2012","10","44","TORONTO LESTER B. PEARSON INT'L A",2.31108289913336
"2012","10","44","VINELAND STATION RCS",1.68443727914352
"2012","11","44","BURLINGTON PIERS (AUT)",1.48956464005474
"2012","11","44","DELHI CS",1.77217616857269
"2012","11","44","ELORA RCS",1.4730913222942
"2012","11","44","GUELPH TURFGRASS",1.50878426844301
"2012","11","44","HAMILTON A",1.60442219475727
"2012","11","44","HAMILTON RBG CS",1.68500941504149
"2012","11","44","KITCHENER/WATERLOO",1.67358598900618
"2012","11","44","LONDON A",1.8296463138549
"2012","11","44","LONDON CS",1.83454025573759
"2012","11","44","MOUNT FOREST (AUT)",1.3863068330524
"2012","11","44","TORONTO CITY",1.55637351342858
"2012","11","44","TORONTO CITY CENTRE",1.50993514665526
"2012","11","44","TORONTO LESTER B. PEARSON INT'L A",1.58624701023037
"2012","11","44","VINELAND STATION RCS",1.07447170117212
"2012","11","45","BURLINGTON PIERS (AUT)",2.49296701074862
"2012","11","45","DELHI CS",3.52431327764806
"2012","11","45","ELORA RCS",2.95534776474908
"2012","11","45","GUELPH TURFGRASS",3.63889011145264
"2012","11","45","HAMILTON A",3.13663193026889
"2012","11","45","HAMILTON RBG CS",3.25715614507617
"2012","11","45","KITCHENER/WATERLOO",3.42095999952868
"2012","11","45","LONDON A",3.55398059739833
"2012","11","45","LONDON CS",3.37851275651953
"2012","11","45","MOUNT FOREST (AUT)",3.23598109364647
"2012","11","45","TORONTO CITY",2.89073763209308
"2012","11","45","TORONTO CITY CENTRE",2.66346786172209
"2012","11","45","TORONTO LESTER B. PEARSON INT'L A",3.22994878402421
"2012","11","45","VINELAND STATION RCS",2.64078013159942
"2012","11","46","BURLINGTON PIERS (AUT)",5.11258444881078
"2012","11","46","DELHI CS",6.5703031831803
"2012","11","46","ELORA RCS",5.47001439923165
"2012","11","46","GUELPH TURFGRASS",6.19778927997228
"2012","11","46","HAMILTON A",5.83158645828439
"2012","11","46","HAMILTON RBG CS",6.12123583001699
"2012","11","46","KITCHENER/WATERLOO",6.01377264006745
"2012","11","46","LONDON A",6.06446241231121
"2012","11","46","LONDON CS",5.97064664243087
"2012","11","46","MOUNT FOREST (AUT)",5.79930747047906
"2012","11","46","TORONTO CITY",4.40179927957117
"2012","11","46","TORONTO CITY CENTRE",3.64844314305717
"2012","11","46","TORONTO LESTER B. PEARSON INT'L A",5.10114240491155
"2012","11","46","VINELAND STATION RCS",6.06427599956635
"2012","11","47","BURLINGTON PIERS (AUT)",3.47750357019166
"2012","11","47","DELHI CS",5.08458591942902
"2012","11","47","ELORA RCS",4.2127544061269
"2012","11","47","GUELPH TURFGRASS",4.5596806025241
"2012","11","47","HAMILTON A",4.09055219566614
"2012","11","47","HAMILTON RBG CS",4.24263648654941
"2012","11","47","KITCHENER/WATERLOO",4.51740520003637
"2012","11","47","LONDON A",4.45116309133884
"2012","11","47","LONDON CS",4.36606887087567
"2012","11","47","MOUNT FOREST (AUT)",4.69989962060877
"2012","11","47","TORONTO CITY",3.18786170001465
"2012","11","47","TORONTO CITY CENTRE",2.85620095145754
"2012","11","47","TORONTO LESTER B. PEARSON INT'L A",3.84194133989522
"2012","11","47","VINELAND STATION RCS",4.12604170254813
"2012","11","48","BURLINGTON PIERS (AUT)",1.7834166592737
"2012","11","48","DELHI CS",2.0008505136011
"2012","11","48","ELORA RCS",2.01724776828816
"2012","11","48","GUELPH TURFGRASS",2.2898338718866
"2012","11","48","HAMILTON A",2.08092626301008
"2012","11","48","HAMILTON RBG CS",2.34307231202173
"2012","11","48","KITCHENER/WATERLOO",2.21613949950681
"2012","11","48","LONDON A",2.02106320635241
"2012","11","48","LONDON CS",2.04632361314735
"2012","11","48","MOUNT FOREST (AUT)",1.85555034255913
"2012","11","48","TORONTO CITY",2.45110657977646
