x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.1,1/1/1950 0:00,ON,1950,1,1,1.4,,-0.6,,3.3,,4.3,,4.3,,0,,,,,,,,0,,16.6,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.2,1/2/1950 0:00,ON,1950,1,2,4.5,,1.1,,7.8,,7.4,,7.4,,0,,,,,,,,0,,13.5,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.3,1/3/1950 0:00,ON,1950,1,3,7.8,,1.7,,13.9,,11.9,,11.9,,0,,,,,,,,0,,10.2,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.4,1/4/1950 0:00,ON,1950,1,4,7.8,,4.4,,11.1,,2.5,,2.5,,0,,,,,,,,0,,10.2,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.5,1/5/1950 0:00,ON,1950,1,5,-1.4,,-2.2,,-0.6,,0,,0,,0,,,,,,,,0,,19.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.6,1/6/1950 0:00,ON,1950,1,6,-2.8,,-5,,-0.6,,17.8,,0,,17.8,,,,,,,,0,,20.8,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.7,1/7/1950 0:00,ON,1950,1,7,-5,,-6.7,,-3.3,,0.3,,0,,0.3,,,,,,,,0,,23,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.8,1/8/1950 0:00,ON,1950,1,8,-13.3,,-24.4,,-2.2,,1,,0,,1,,,,,,,,0,,31.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.9,1/9/1950 0:00,ON,1950,1,9,-6.7,,-16.1,,2.8,,0.8,,0.8,,0,,,,,,,,0,,24.7,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.10,1/10/1950 0:00,ON,1950,1,10,1.9,,-5.6,,9.4,,8.4,,7.1,,1.3,,,,,,,,0,,16.1,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.11,1/11/1950 0:00,ON,1950,1,11,-5.3,,-7.8,,-2.8,,0,T,0,,0,T,,,,,,,0,,23.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.12,1/12/1950 0:00,ON,1950,1,12,-3.3,,-9.4,,2.8,,0,T,0,T,0,,,,,,,,0,,21.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.13,1/13/1950 0:00,ON,1950,1,13,5.3,,-2.8,,13.3,,9.7,,9.7,,0,,,,,,,,0,,12.7,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.14,1/14/1950 0:00,ON,1950,1,14,0.6,,-2.2,,3.3,,0,T,0,,0,T,,,,,,,0,,17.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.15,1/15/1950 0:00,ON,1950,1,15,1.7,,-3.3,,6.7,,7.1,,7.1,,0,T,,,,,,,0,,16.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.16,1/16/1950 0:00,ON,1950,1,16,-4.5,,-6.1,,-2.8,,0,,0,,0,,,,,,,,0,,22.5,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.17,1/17/1950 0:00,ON,1950,1,17,-2.5,,-9.4,,4.4,,0,T,0,,0,T,,,,,,,0,,20.5,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.18,1/18/1950 0:00,ON,1950,1,18,-3.6,,-8.3,,1.1,,0,T,0,,0,T,,,,,,,0,,21.6,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.19,1/19/1950 0:00,ON,1950,1,19,-11.4,,-15,,-7.8,,0.3,,0,,0.3,,,,,,,,0,,29.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.20,1/20/1950 0:00,ON,1950,1,20,-11.2,,-15.6,,-6.7,,0.5,,0,,0.5,,,,,,,,0,,29.2,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.21,1/21/1950 0:00,ON,1950,1,21,-3.9,,-8.9,,1.1,,2.5,,0.3,,2.3,,,,,,,,0,,21.9,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.22,1/22/1950 0:00,ON,1950,1,22,1.7,,-1.1,,4.4,,3,,2.5,,0.5,,,,,,,,0,,16.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.23,1/23/1950 0:00,ON,1950,1,23,0.6,,-0.6,,1.7,,3.8,,0,,3.8,,,,,,,,0,,17.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.24,1/24/1950 0:00,ON,1950,1,24,-2.8,,-6.1,,0.6,,2,,2,,0,T,,,,,,,0,,20.8,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.25,1/25/1950 0:00,ON,1950,1,25,7.3,,-2.2,,16.7,,4.3,,4.3,,0,,,,,,,,0,,10.7,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.26,1/26/1950 0:00,ON,1950,1,26,5.9,,0,,11.7,,0,T,0,,0,T,,,,,,,0,,12.1,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.27,1/27/1950 0:00,ON,1950,1,27,-5.6,,-7.2,,-3.9,,0,,0,,0,,,,,,,,0,,23.6,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.28,1/28/1950 0:00,ON,1950,1,28,-1.4,,-7.8,,5,,0,T,0,T,0,,,,,,,,0,,19.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.29,1/29/1950 0:00,ON,1950,1,29,3.9,,-1.1,,8.9,,0,T,0,T,0,T,,,,,,,0,,14.1,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.30,1/30/1950 0:00,ON,1950,1,30,-8.3,,-9.4,,-7.2,,8.9,,0,,8.9,,,,,,,,0,,26.3,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.1.31,1/31/1950 0:00,ON,1950,1,31,-12,,-15,,-8.9,,0,T,0,,0,T,,,,,,,0,,30,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.1,2/1/1950 0:00,ON,1950,2,1,-9.7,,-17.2,,-2.2,,0,T,0,,0,T,,,,,,,0,,27.7,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.2,2/2/1950 0:00,ON,1950,2,2,-6.7,,-13.3,,0,,0,T,0,,0,T,,,,,,,0,,24.7,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.3,2/3/1950 0:00,ON,1950,2,3,-7,,-10.6,,-3.3,,0,T,0,,0,T,,,,,,,0,,25,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.4,2/4/1950 0:00,ON,1950,2,4,-3.6,,-8.3,,1.1,,0,,0,,0,,,,,,,,0,,21.6,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.5,2/5/1950 0:00,ON,1950,2,5,-4.8,,-10.6,,1.1,,0,T,0,,0,T,,,,,,,0,,22.8,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.6,2/6/1950 0:00,ON,1950,2,6,0,,-1.7,,1.7,,0.3,,0.3,,0,T,,,,,,,0,,18,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.7,2/7/1950 0:00,ON,1950,2,7,-8.6,,-11.1,,-6.1,,0,T,0,,0,T,,,,,,,0,,26.6,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.8,2/8/1950 0:00,ON,1950,2,8,-5,,-11.7,,1.7,,2,,0.5,,1.5,,,,,,,,0,,23,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.9,2/9/1950 0:00,ON,1950,2,9,0,,-1.7,,1.7,,5.1,,0.5,,4.6,,,,,,,,0,,18,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.10,2/10/1950 0:00,ON,1950,2,10,-3.1,,-7.8,,1.7,,0.5,,0,,0.5,,,,,,,,0,,21.1,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.11,2/11/1950 0:00,ON,1950,2,11,0.6,,-2.2,,3.3,,0,,0,,0,,,,,,,,0,,17.4,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.12,2/12/1950 0:00,ON,1950,2,12,-2.8,,-5,,-0.6,,0,,0,,0,,,,,,,,0,,20.8,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.13,2/13/1950 0:00,ON,1950,2,13,-4.2,,-7.2,,-1.1,,12.7,,0,,12.7,,,,,,,,0,,22.2,,,,,
-79.63055556,43.67722222,TORONTO LESTER B. PEARSON INT'L A,6158733,6158733.1950.2.14,2/14/1950 0:00,ON,1950,2,14,-1.4,,-5.6,,2.8,,4.8,,4.3,,0.5,,,,,,,,0,,19.4,,,,,
