"Plot Title: ambient"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874406, SEN S/N: 874406)","Intensity, Lux (LGR S/N: 874406, SEN S/N: 874406)","Coupler Detached (LGR S/N: 874406)","Coupler Attached (LGR S/N: 874406)","Host Connected (LGR S/N: 874406)","Stopped (LGR S/N: 874406)","End Of File (LGR S/N: 874406)"
1,04/17/25 02:44:06  PM,23.196,10.8,,,,,
2,04/17/25 02:44:13  PM,,,Logged,,,,
3,04/17/25 03:44:06  PM,25.513,6544.5,,,,,
4,04/17/25 04:44:06  PM,22.621,3444.5,,,,,
5,04/17/25 05:44:06  PM,23.196,1894.5,,,,,
6,04/17/25 06:44:06  PM,22.142,818.1,,,,,
7,04/17/25 07:44:06  PM,20.519,139.9,,,,,
8,04/17/25 08:44:06  PM,19.092,0.0,,,,,
9,04/17/25 09:44:06  PM,18.045,0.0,,,,,
10,04/17/25 10:44:06  PM,17.475,0.0,,,,,
11,04/17/25 11:44:06  PM,17.094,0.0,,,,,
12,04/18/25 12:44:06  AM,16.808,0.0,,,,,
13,04/18/25 01:44:06  AM,16.618,0.0,,,,,
14,04/18/25 02:44:06  AM,16.713,0.0,,,,,
15,04/18/25 03:44:06  AM,17.284,1808.3,,,,,
16,04/18/25 04:44:06  AM,17.855,1808.3,,,,,
17,04/18/25 05:44:06  AM,18.236,1808.3,,,,,
18,04/18/25 06:44:06  AM,18.521,1808.3,,,,,
19,04/18/25 07:44:06  AM,18.996,2238.9,,,,,
20,04/18/25 08:44:06  AM,19.662,3100.0,,,,,
21,04/18/25 09:44:06  AM,19.567,484.4,,,,,
22,04/18/25 10:44:06  AM,19.282,409.0,,,,,
23,04/18/25 11:44:06  AM,20.519,5166.7,,,,,
24,04/18/25 12:44:06  PM,21.855,1377.8,,,,,
25,04/18/25 01:44:06  PM,23.869,4994.5,,,,,
26,04/18/25 02:44:06  PM,24.158,925.7,,,,,
27,04/18/25 03:44:06  PM,23.581,3100.0,,,,,
28,04/18/25 04:44:06  PM,25.513,2669.5,,,,,
29,04/18/25 05:44:06  PM,26.488,1550.0,,,,,
30,04/18/25 06:44:06  PM,25.416,430.6,,,,,
31,04/18/25 07:44:06  PM,23.966,32.3,,,,,
32,04/18/25 08:44:06  PM,22.812,0.0,,,,,
33,04/18/25 09:44:06  PM,21.855,10.8,,,,,
34,04/18/25 10:44:06  PM,21.282,0.0,,,,,
35,04/18/25 11:44:06  PM,21.282,0.0,,,,,
36,04/19/25 12:44:06  AM,21.378,0.0,,,,,
37,04/19/25 01:44:06  AM,21.569,0.0,,,,,
38,04/19/25 02:44:06  AM,21.664,0.0,,,,,
39,04/19/25 03:44:06  AM,22.238,1808.3,,,,,
40,04/19/25 04:44:06  AM,22.525,1808.3,,,,,
41,04/19/25 05:44:06  AM,22.812,1808.3,,,,,
42,04/19/25 06:44:06  AM,23.004,1894.5,,,,,
43,04/19/25 07:44:06  AM,23.484,2497.2,,,,,
44,04/19/25 08:44:06  AM,24.641,4650.0,,,,,
45,04/19/25 09:44:06  AM,25.708,1980.6,,,,,
46,04/19/25 10:44:06  AM,25.708,2238.9,,,,,
47,04/19/25 11:44:06  AM,25.416,1463.9,,,,,
48,04/19/25 12:44:06  PM,24.255,1151.7,,,,,
49,04/19/25 01:44:06  PM,23.581,1550.0,,,,,
50,04/19/25 02:44:06  PM,23.292,1377.8,,,,,
51,04/19/25 03:44:06  PM,22.525,904.2,,,,,
52,04/19/25 04:44:06  PM,22.046,1011.8,,,,,
