"Plot Title: nw"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,04/17/25 02:41:50  PM,23.581,0.0,,,,,
2,04/17/25 02:41:59  PM,,,Logged,,,,
3,04/17/25 03:41:50  PM,24.641,8611.2,,,,,
4,04/17/25 04:41:50  PM,22.621,1377.8,,,,,
5,04/17/25 05:41:50  PM,22.908,1087.2,,,,,
6,04/17/25 06:41:50  PM,21.951,279.9,,,,,
7,04/17/25 07:41:50  PM,20.424,32.3,,,,,
8,04/17/25 08:41:50  PM,19.187,0.0,,,,,
9,04/17/25 09:41:50  PM,18.236,0.0,,,,,
10,04/17/25 10:41:50  PM,17.570,0.0,,,,,
11,04/17/25 11:41:50  PM,17.189,0.0,,,,,
12,04/18/25 12:41:50  AM,16.903,0.0,,,,,
13,04/18/25 01:41:50  AM,16.808,0.0,,,,,
14,04/18/25 02:41:50  AM,16.808,0.0,,,,,
15,04/18/25 03:41:50  AM,17.665,742.7,,,,,
16,04/18/25 04:41:50  AM,18.140,742.7,,,,,
17,04/18/25 05:41:50  AM,18.616,742.7,,,,,
18,04/18/25 06:41:50  AM,18.996,742.7,,,,,
19,04/18/25 07:41:50  AM,19.472,850.4,,,,,
20,04/18/25 08:41:50  AM,20.043,1001.0,,,,,
21,04/18/25 09:41:50  AM,19.853,129.2,,,,,
22,04/18/25 10:41:50  AM,19.472,96.9,,,,,
23,04/18/25 11:41:50  AM,20.424,688.9,,,,,
24,04/18/25 12:41:50  PM,21.855,430.6,,,,,
25,04/18/25 01:41:50  PM,23.677,1205.6,,,,,
26,04/18/25 02:41:50  PM,24.062,236.8,,,,,
27,04/18/25 03:41:50  PM,23.677,785.8,,,,,
28,04/18/25 04:41:50  PM,25.319,796.5,,,,,
29,04/18/25 05:41:50  PM,26.390,441.3,,,,,
30,04/18/25 06:41:50  PM,25.513,107.6,,,,,
31,04/18/25 07:41:50  PM,24.062,10.8,,,,,
32,04/18/25 08:41:50  PM,23.004,0.0,,,,,
33,04/18/25 09:41:50  PM,22.142,0.0,,,,,
34,04/18/25 10:41:50  PM,21.569,0.0,,,,,
35,04/18/25 11:41:50  PM,21.569,0.0,,,,,
36,04/19/25 12:41:50  AM,21.569,0.0,,,,,
37,04/19/25 01:41:50  AM,21.760,0.0,,,,,
38,04/19/25 02:41:50  AM,21.855,0.0,,,,,
39,04/19/25 03:41:50  AM,22.525,742.7,,,,,
40,04/19/25 04:41:50  AM,22.908,731.9,,,,,
41,04/19/25 05:41:50  AM,23.196,731.9,,,,,
42,04/19/25 06:41:50  AM,23.388,742.7,,,,,
43,04/19/25 07:41:50  AM,23.869,936.5,,,,,
44,04/19/25 08:41:50  AM,24.931,1173.3,,,,,
45,04/19/25 09:41:50  AM,25.902,710.4,,,,,
46,04/19/25 10:41:50  AM,26.000,968.8,,,,,
47,04/19/25 11:41:50  AM,25.610,355.2,,,,,
48,04/19/25 12:41:50  PM,24.448,290.6,,,,,
49,04/19/25 01:41:50  PM,23.773,527.4,,,,,
50,04/19/25 02:41:50  PM,23.581,344.4,,,,,
51,04/19/25 03:41:50  PM,22.812,236.8,,,,,
52,04/19/25 04:41:50  PM,22.429,344.4,,,,,
53,04/19/25 05:41:50  PM,21.569,193.8,,,,,
54,04/19/25 06:41:50  PM,20.710,64.6,,,,,
55,04/19/25 07:41:50  PM,19.948,10.8,,,,,
56,04/19/25 08:41:50  PM,19.282,0.0,,,,,
57,04/19/25 09:41:50  PM,18.521,0.0,,,,,
58,04/19/25 10:41:50  PM,17.760,0.0,,,,,
59,04/19/25 11:41:50  PM,17.189,0.0,,,,,
60,04/20/25 12:41:50  AM,16.618,0.0,,,,,
61,04/20/25 01:41:50  AM,16.237,0.0,,,,,
62,04/20/25 02:41:50  AM,15.855,0.0,,,,,
63,04/20/25 03:41:50  AM,16.237,742.7,,,,,
64,04/20/25 04:41:50  AM,16.427,731.9,,,,,
65,04/20/25 05:41:50  AM,16.523,731.9,,,,,
66,04/20/25 06:41:50  AM,16.618,764.2,,,,,
67,04/20/25 07:41:50  AM,16.999,936.5,,,,,
68,04/20/25 08:41:50  AM,19.282,1722.2,,,,,
69,04/20/25 09:41:50  AM,21.378,1377.8,,,,,
70,04/20/25 10:41:50  AM,24.448,2152.8,,,,,
71,04/20/25 11:41:50  AM,26.977,1636.1,,,,,
72,04/20/25 12:41:50  PM,29.252,1722.2,,,,,
73,04/20/25 01:41:50  PM,30.659,1345.5,,,,,
74,04/20/25 02:41:50  PM,31.778,1291.7,,,,,
75,04/20/25 03:41:50  PM,31.880,1130.2,,,,,
76,04/20/25 04:41:50  PM,30.356,764.2,,,,,
77,04/20/25 05:41:50  PM,28.159,462.9,,,,,
78,04/20/25 06:41:50  PM,25.319,204.5,,,,,
79,04/20/25 07:41:50  PM,23.004,43.1,,,,,
80,04/20/25 08:41:50  PM,20.996,0.0,,,,,
81,04/20/25 09:41:50  PM,19.472,0.0,,,,,
82,04/20/25 10:41:50  PM,18.616,0.0,,,,,
83,04/20/25 11:41:50  PM,17.950,0.0,,,,,
84,04/21/25 12:41:50  AM,17.570,0.0,,,,,
85,04/21/25 01:41:50  AM,17.379,0.0,,,,,
86,04/21/25 02:41:50  AM,17.284,0.0,,,,,
87,04/21/25 03:41:50  AM,17.855,710.4,,,,,
88,04/21/25 04:41:50  AM,18.140,710.4,,,,,
89,04/21/25 05:41:50  AM,18.331,710.4,,,,,
90,04/21/25 06:41:50  AM,18.426,721.2,,,,,
91,04/21/25 07:41:50  AM,18.616,753.5,,,,,
92,04/21/25 08:41:50  AM,18.806,1022.6,,,,,
93,04/21/25 09:41:50  AM,18.996,322.9,,,,,
94,04/21/25 10:41:50  AM,20.805,226.0,,,,,
95,04/21/25 11:41:50  AM,20.996,301.4,,,,,
96,04/21/25 12:41:50  PM,20.710,118.4,,,,,
97,04/21/25 01:41:50  PM,20.043,344.4,,,,,
98,04/21/25 02:41:50  PM,20.805,96.9,,,,,
99,04/21/25 03:41:50  PM,23.484,4650.0,,,,,
100,04/21/25 04:41:50  PM,26.488,2927.8,,,,,
101,04/21/25 05:41:50  PM,27.075,462.9,,,,,
102,04/21/25 06:41:50  PM,25.610,624.3,,,,,
103,04/21/25 07:41:50  PM,23.677,86.1,,,,,
104,04/21/25 08:41:50  PM,22.238,0.0,,,,,
105,04/21/25 09:41:50  PM,21.091,0.0,,,,,
106,04/21/25 10:41:50  PM,20.138,0.0,,,,,
107,04/21/25 11:41:50  PM,19.282,0.0,,,,,
108,04/22/25 12:41:50  AM,18.711,0.0,,,,,
109,04/22/25 01:41:50  AM,18.331,0.0,,,,,
110,04/22/25 02:41:50  AM,17.950,0.0,,,,,
111,04/22/25 03:41:50  AM,17.950,2669.5,,,,,
112,04/22/25 04:41:50  AM,18.140,2669.5,,,,,
113,04/22/25 05:41:50  AM,18.236,2669.5,,,,,
114,04/22/25 06:41:50  AM,18.331,2755.6,,,,,
115,04/22/25 07:41:50  AM,18.616,3444.5,,,,,
116,04/22/25 08:41:50  AM,19.853,7233.4,,,,,
117,04/22/25 09:41:50  AM,21.569,5511.1,,,,,
118,04/22/25 10:41:50  AM,24.448,10333.4,,,,,
119,04/22/25 11:41:50  AM,27.468,7577.8,,,,,
120,04/22/25 12:41:50  PM,29.953,8266.7,,,,,
121,04/22/25 01:41:50  PM,31.676,7577.8,,,,,
122,04/22/25 02:41:50  PM,33.014,5511.1,,,,,
123,04/22/25 03:41:50  PM,33.222,4822.3,,,,,
124,04/22/25 04:41:50  PM,32.086,3272.2,,,,,
125,04/22/25 05:41:50  PM,30.154,2238.9,,,,,
126,04/22/25 06:41:50  PM,27.862,678.1,,,,,
127,04/22/25 07:41:50  PM,25.416,161.5,,,,,
128,04/22/25 08:41:50  PM,23.196,0.0,,,,,
129,04/22/25 09:41:50  PM,21.569,0.0,,,,,
130,04/22/25 10:41:50  PM,20.329,0.0,,,,,
131,04/22/25 11:41:50  PM,19.567,0.0,,,,,
132,04/23/25 12:41:50  AM,19.187,0.0,,,,,
133,04/23/25 01:41:50  AM,18.996,0.0,,,,,
134,04/23/25 02:41:50  AM,18.901,10.8,,,,,
135,04/23/25 03:41:50  AM,19.377,2669.5,,,,,
136,04/23/25 04:41:50  AM,19.758,2583.4,,,,,
137,04/23/25 05:41:50  AM,19.853,2669.5,,,,,
138,04/23/25 06:41:50  AM,19.662,2755.6,,,,,
139,04/23/25 07:41:50  AM,19.948,3272.2,,,,,
140,04/23/25 08:41:50  AM,21.473,4477.8,,,,,
141,04/23/25 09:41:50  AM,23.581,8266.7,,,,,
142,04/23/25 10:41:50  AM,25.805,9300.1,,,,,
143,04/23/25 11:41:50  AM,29.252,7233.4,,,,,
144,04/23/25 12:41:50  PM,31.676,8266.7,,,,,
145,04/23/25 01:41:50  PM,32.188,2927.8,,,,,
146,04/23/25 02:41:50  PM,32.188,2927.8,,,,,
147,04/23/25 03:41:50  PM,33.326,4477.8,,,,,
148,04/23/25 04:41:50  PM,33.430,3100.0,,,,,
149,04/23/25 05:41:50  PM,31.574,2238.9,,,,,
150,04/23/25 06:41:50  PM,28.754,1001.0,,,,,
151,04/23/25 07:41:50  PM,25.805,161.5,,,,,
152,04/23/25 08:41:50  PM,23.484,0.0,,,,,
153,04/23/25 09:41:50  PM,22.142,0.0,,,,,
154,04/23/25 10:41:50  PM,21.378,0.0,,,,,
155,04/23/25 11:41:50  PM,20.615,0.0,,,,,
156,04/24/25 12:41:50  AM,19.948,0.0,,,,,
157,04/24/25 01:41:50  AM,19.472,0.0,,,,,
158,04/24/25 02:41:50  AM,18.996,10.8,,,,,
159,04/24/25 03:41:50  AM,19.282,2583.4,,,,,
160,04/24/25 04:41:50  AM,19.567,2583.4,,,,,
161,04/24/25 05:41:50  AM,19.758,2583.4,,,,,
162,04/24/25 06:41:50  AM,19.948,2755.6,,,,,
163,04/24/25 07:41:50  AM,20.329,3788.9,,,,,
164,04/24/25 08:41:50  AM,22.333,5338.9,,,,,
165,04/24/25 09:41:50  AM,24.738,5511.1,,,,,
166,04/24/25 10:41:50  AM,27.272,8266.7,,,,,
167,04/24/25 11:41:50  AM,29.853,7233.4,,,,,
168,04/24/25 12:41:50  PM,31.472,4477.8,,,,,
169,04/24/25 01:41:50  PM,33.118,5338.9,,,,,
170,04/24/25 02:41:50  PM,33.953,5511.1,,,,,
171,04/24/25 03:41:50  PM,34.058,3961.1,,,,,
172,04/24/25 04:41:50  PM,33.535,2583.4,,,,,
173,04/24/25 05:41:50  PM,32.394,1722.2,,,,,
174,04/24/25 06:41:50  PM,30.154,441.3,,,,,
175,04/24/25 07:41:50  PM,27.567,183.0,,,,,
176,04/24/25 08:41:50  PM,25.610,0.0,,,,,
177,04/24/25 09:41:50  PM,23.869,0.0,,,,,
178,04/24/25 10:41:50  PM,22.429,0.0,,,,,
179,04/24/25 11:41:50  PM,21.760,0.0,,,,,
180,04/25/25 12:41:50  AM,21.091,0.0,,,,,
181,04/25/25 01:41:50  AM,20.615,0.0,,,,,
182,04/25/25 02:41:50  AM,20.329,10.8,,,,,
183,04/25/25 03:41:50  AM,20.424,2583.4,,,,,
184,04/25/25 04:41:50  AM,20.519,2583.4,,,,,
185,04/25/25 05:41:50  AM,20.519,2583.4,,,,,
