"Plot Title: 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874406, SEN S/N: 874406)","Intensity, Lux (LGR S/N: 874406, SEN S/N: 874406)","Coupler Detached (LGR S/N: 874406)","Coupler Attached (LGR S/N: 874406)","Host Connected (LGR S/N: 874406)","Stopped (LGR S/N: 874406)","End Of File (LGR S/N: 874406)"
1,04/28/25 04:15:21  PM,19.853,0.0,,,,,
2,04/28/25 04:15:25  PM,,,Logged,,,,
3,04/28/25 05:15:21  PM,27.272,1345.5,,,,,
4,04/28/25 06:15:21  PM,26.292,419.8,,,,,
5,04/28/25 07:15:21  PM,25.708,118.4,,,,,
6,04/28/25 08:15:21  PM,24.835,0.0,,,,,
7,04/28/25 09:15:21  PM,23.869,0.0,,,,,
8,04/28/25 10:15:21  PM,23.100,0.0,,,,,
9,04/28/25 11:15:21  PM,22.717,0.0,,,,,
10,04/29/25 12:15:21  AM,22.238,0.0,,,,,
11,04/29/25 01:15:21  AM,21.760,0.0,,,,,
12,04/29/25 02:15:21  AM,21.473,0.0,,,,,
13,04/29/25 03:15:21  AM,21.473,775.0,,,,,
14,04/29/25 04:15:21  AM,22.238,764.2,,,,,
15,04/29/25 05:15:21  AM,22.717,753.5,,,,,
16,04/29/25 06:15:21  AM,22.717,785.8,,,,,
17,04/29/25 07:15:21  AM,22.046,796.5,,,,,
18,04/29/25 08:15:21  AM,22.238,893.4,,,,,
19,04/29/25 09:15:21  AM,22.908,613.5,,,,,
20,04/29/25 10:15:21  AM,23.196,247.6,,,,,
21,04/29/25 11:15:21  AM,24.062,731.9,,,,,
22,04/29/25 12:15:21  PM,26.000,1044.1,,,,,
23,04/29/25 01:15:21  PM,27.764,667.4,,,,,
24,04/29/25 02:15:21  PM,28.555,290.6,,,,,
25,04/29/25 03:15:21  PM,28.357,861.1,,,,,
26,04/29/25 04:15:21  PM,27.764,312.2,,,,,
27,04/29/25 05:15:21  PM,27.173,172.2,,,,,
28,04/29/25 06:15:21  PM,25.805,129.2,,,,,
29,04/29/25 07:15:21  PM,24.545,43.1,,,,,
30,04/29/25 08:15:21  PM,22.525,0.0,,,,,
31,04/29/25 09:15:21  PM,20.424,0.0,,,,,
32,04/29/25 10:15:21  PM,18.711,0.0,,,,,
33,04/29/25 11:15:21  PM,17.284,0.0,,,,,
34,04/30/25 12:15:21  AM,16.332,0.0,,,,,
35,04/30/25 01:15:21  AM,15.473,0.0,,,,,
36,04/30/25 02:15:21  AM,14.996,0.0,,,,,
37,04/30/25 03:15:21  AM,14.709,366.0,,,,,
38,04/30/25 04:15:21  AM,15.282,355.2,,,,,
39,04/30/25 05:15:21  AM,15.282,355.2,,,,,
40,04/30/25 06:15:21  AM,14.900,355.2,,,,,
41,04/30/25 07:15:21  AM,13.558,387.5,,,,,
42,04/30/25 08:15:21  AM,12.787,452.1,,,,,
43,04/30/25 09:15:21  AM,12.401,301.4,,,,,
44,04/30/25 10:15:21  AM,14.421,419.8,,,,,
45,04/30/25 11:15:21  AM,16.332,1205.6,,,,,
46,04/30/25 12:15:21  PM,17.950,1054.9,,,,,
47,04/30/25 01:15:21  PM,20.138,1130.2,,,,,
