"Plot Title: 2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,04/28/25 04:07:26  PM,22.238,0.0,,,,
2,04/28/25 04:07:41  PM,,,Logged,,,
3,04/28/25 05:07:26  PM,27.173,5338.9,,,,
4,04/28/25 06:07:26  PM,25.805,2755.6,,,,
5,04/28/25 07:07:26  PM,25.610,570.5,,,,
6,04/28/25 08:07:26  PM,24.738,150.7,,,,
7,04/28/25 09:07:26  PM,23.869,0.0,,,,
8,04/28/25 10:07:26  PM,23.196,0.0,,,,
9,04/28/25 11:07:26  PM,23.004,0.0,,,,
10,04/29/25 12:07:26  AM,22.525,0.0,,,,
11,04/29/25 01:07:26  AM,22.142,0.0,,,,
12,04/29/25 02:07:26  AM,21.855,0.0,,,,
13,04/29/25 03:07:26  AM,21.760,0.0,,,,
14,04/29/25 04:07:26  AM,22.621,2238.9,,,,
15,04/29/25 05:07:26  AM,23.388,2238.9,,,,
16,04/29/25 06:07:26  AM,23.484,2238.9,,,,
17,04/29/25 07:07:26  AM,21.855,2497.2,,,,
18,04/29/25 08:07:26  AM,22.142,3100.0,,,,
19,04/29/25 09:07:26  AM,23.196,2238.9,,,,
20,04/29/25 10:07:26  AM,23.677,1550.0,,,,
21,04/29/25 11:07:26  AM,24.255,3100.0,,,,
22,04/29/25 12:07:26  PM,26.292,6544.5,,,,
23,04/29/25 01:07:26  PM,29.053,8266.7,,,,
24,04/29/25 02:07:26  PM,29.552,1808.3,,,,
25,04/29/25 03:07:26  PM,28.159,3961.1,,,,
26,04/29/25 04:07:26  PM,27.862,1808.3,,,,
27,04/29/25 05:07:26  PM,27.173,1130.2,,,,
28,04/29/25 06:07:26  PM,25.319,839.6,,,,
29,04/29/25 07:07:26  PM,25.125,376.7,,,,
30,04/29/25 08:07:26  PM,23.100,75.3,,,,
31,04/29/25 09:07:26  PM,20.996,0.0,,,,
32,04/29/25 10:07:26  PM,19.282,0.0,,,,
33,04/29/25 11:07:26  PM,17.760,0.0,,,,
34,04/30/25 12:07:26  AM,16.808,0.0,,,,
35,04/30/25 01:07:26  AM,16.046,0.0,,,,
36,04/30/25 02:07:26  AM,15.760,0.0,,,,
37,04/30/25 03:07:26  AM,15.473,0.0,,,,
38,04/30/25 04:07:26  AM,16.046,3100.0,,,,
39,04/30/25 05:07:26  AM,16.237,3100.0,,,,
40,04/30/25 06:07:26  AM,16.141,3100.0,,,,
41,04/30/25 07:07:26  AM,14.134,3272.2,,,,
42,04/30/25 08:07:26  AM,13.365,3616.7,,,,
43,04/30/25 09:07:26  AM,12.980,1722.2,,,,
44,04/30/25 10:07:26  AM,14.325,7577.8,,,,
45,04/30/25 11:07:26  AM,16.523,6544.5,,,,
46,04/30/25 12:07:26  PM,18.140,8611.2,,,,
47,04/30/25 01:07:26  PM,20.615,8611.2,,,,
48,04/30/25 02:07:26  PM,22.142,7233.4,,,,
49,04/30/25 03:07:26  PM,23.196,5511.1,,,,
50,04/30/25 04:07:26  PM,23.388,3961.1,,,,
51,04/30/25 05:07:26  PM,22.812,2927.8,,,,
52,04/30/25 06:07:26  PM,21.569,1463.9,,,,
53,04/30/25 07:07:26  PM,22.333,495.1,,,,
54,04/30/25 08:07:26  PM,21.760,64.6,,,,
55,04/30/25 09:07:26  PM,21.664,0.0,,,,
56,04/30/25 10:07:26  PM,21.282,0.0,,,,
57,04/30/25 11:07:26  PM,20.805,0.0,,,,
58,05/01/25 12:07:26  AM,20.234,0.0,,,,
59,05/01/25 01:07:26  AM,19.948,0.0,,,,
60,05/01/25 02:07:26  AM,19.567,0.0,,,,
61,05/01/25 03:07:26  AM,19.282,0.0,,,,
62,05/01/25 04:07:26  AM,19.758,2927.8,,,,
63,05/01/25 05:07:26  AM,19.853,2927.8,,,,
64,05/01/25 06:07:26  AM,19.758,2927.8,,,,
65,05/01/25 07:07:26  AM,17.665,3100.0,,,,
66,05/01/25 08:07:26  AM,17.094,3444.5,,,,
67,05/01/25 09:07:26  AM,16.523,301.4,,,,
68,05/01/25 10:07:26  AM,15.091,753.5,,,,
69,05/01/25 11:07:26  AM,14.517,645.8,,,,
70,05/01/25 12:07:26  PM,14.804,2497.2,,,,
71,05/01/25 01:07:26  PM,15.569,2325.0,,,,
72,05/01/25 02:07:26  PM,15.760,495.1,,,,
73,05/01/25 03:07:26  PM,14.613,1324.0,,,,
74,05/01/25 04:07:26  PM,14.230,462.9,,,,
75,05/01/25 05:07:26  PM,13.942,161.5,,,,
76,05/01/25 06:07:26  PM,14.230,398.3,,,,
77,05/01/25 07:07:26  PM,16.713,419.8,,,,
78,05/01/25 08:07:26  PM,17.950,53.8,,,,
79,05/01/25 09:07:26  PM,18.806,0.0,,,,
80,05/01/25 10:07:26  PM,19.377,0.0,,,,
81,05/01/25 11:07:26  PM,19.853,0.0,,,,
82,05/02/25 12:07:26  AM,20.138,0.0,,,,
83,05/02/25 01:07:26  AM,20.615,0.0,,,,
84,05/02/25 02:07:26  AM,20.805,0.0,,,,
85,05/02/25 03:07:26  AM,21.473,0.0,,,,
86,05/02/25 04:07:26  AM,22.908,2927.8,,,,
87,05/02/25 05:07:26  AM,23.484,2927.8,,,,
88,05/02/25 06:07:26  AM,23.388,2927.8,,,,
89,05/02/25 07:07:26  AM,21.187,3100.0,,,,
90,05/02/25 08:07:26  AM,20.424,3272.2,,,,
91,05/02/25 09:07:26  AM,19.853,462.9,,,,
92,05/02/25 10:07:26  AM,19.092,1808.3,,,,
93,05/02/25 11:07:26  AM,19.472,1894.5,,,,
94,05/02/25 12:07:26  PM,20.234,2755.6,,,,
95,05/02/25 12:50:42  PM,,,,Logged,,
96,05/02/25 12:50:48  PM,,,,,Logged,Logged
