"Plot Title: greenhouse_1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 874406, SEN S/N: 874406)","Intensity, Lux (LGR S/N: 874406, SEN S/N: 874406)","Coupler Attached (LGR S/N: 874406)","Host Connected (LGR S/N: 874406)","Stopped (LGR S/N: 874406)","End Of File (LGR S/N: 874406)"
1,07/15/24 12:00:00  PM,22.333,6200.0,,,,
2,07/15/24 01:00:00  PM,23.677,6544.5,,,,
3,07/15/24 02:00:00  PM,23.773,3100.0,,,,
4,07/15/24 03:00:00  PM,24.931,7577.8,,,,
5,07/15/24 04:00:00  PM,26.683,5166.7,,,,
6,07/15/24 05:00:00  PM,27.961,9300.1,,,,
7,07/15/24 06:00:00  PM,28.258,4133.4,,,,
8,07/15/24 07:00:00  PM,27.468,549.0,,,,
9,07/15/24 08:00:00  PM,26.781,236.8,,,,
10,07/15/24 09:00:00  PM,26.097,43.1,,,,
11,07/15/24 10:00:00  PM,25.319,0.0,,,,
12,07/15/24 11:00:00  PM,24.738,0.0,,,,
13,07/16/24 12:00:00  AM,24.158,0.0,,,,
14,07/16/24 01:00:00  AM,23.773,0.0,,,,
15,07/16/24 02:00:00  AM,23.388,0.0,,,,
16,07/16/24 03:00:00  AM,23.100,0.0,,,,
17,07/16/24 04:00:00  AM,22.908,0.0,,,,
18,07/16/24 05:00:00  AM,22.621,0.0,,,,
19,07/16/24 06:00:00  AM,22.525,0.0,,,,
20,07/16/24 07:00:00  AM,22.429,355.2,,,,
21,07/16/24 08:00:00  AM,22.525,43.1,,,,
22,07/16/24 09:00:00  AM,23.004,7233.4,,,,
23,07/16/24 10:00:00  AM,22.717,161.5,,,,
24,07/16/24 11:00:00  AM,22.429,1463.9,,,,
25,07/16/24 12:00:00  PM,23.677,5511.1,,,,
26,07/16/24 01:00:00  PM,26.488,9300.1,,,,
27,07/16/24 02:00:00  PM,28.754,11022.3,,,,
28,07/16/24 03:00:00  PM,29.853,14466.8,,,,
29,07/16/24 04:00:00  PM,30.659,10333.4,,,,
30,07/16/24 05:00:00  PM,29.352,247.6,,,,
31,07/16/24 06:00:00  PM,28.357,5166.7,,,,
32,07/16/24 07:00:00  PM,27.665,1463.9,,,,
33,07/16/24 08:00:00  PM,26.879,602.8,,,,
34,07/16/24 09:00:00  PM,26.195,64.6,,,,
35,07/16/24 10:00:00  PM,25.610,0.0,,,,
36,07/16/24 11:00:00  PM,24.931,0.0,,,,
37,07/17/24 12:00:00  AM,24.545,0.0,,,,
38,07/17/24 01:00:00  AM,23.869,0.0,,,,
39,07/17/24 02:00:00  AM,23.388,0.0,,,,
40,07/17/24 03:00:00  AM,22.908,0.0,,,,
41,07/17/24 04:00:00  AM,22.429,0.0,,,,
42,07/17/24 05:00:00  AM,21.855,0.0,,,,
43,07/17/24 06:00:00  AM,21.378,0.0,,,,
44,07/17/24 07:00:00  AM,21.091,172.2,,,,
45,07/17/24 08:00:00  AM,21.091,1550.0,,,,
46,07/17/24 09:00:00  AM,21.473,2238.9,,,,
47,07/17/24 10:00:00  AM,23.100,5511.1,,,,
48,07/17/24 11:00:00  AM,24.931,9644.5,,,,
49,07/17/24 12:00:00  PM,27.370,8266.7,,,,
50,07/17/24 01:00:00  PM,28.060,9300.1,,,,
51,07/17/24 02:00:00  PM,29.252,20666.8,,,,
52,07/17/24 03:00:00  PM,30.862,19289.0,,,,
53,07/17/24 04:00:00  PM,30.356,16533.4,,,,
54,07/17/24 05:00:00  PM,30.154,9644.5,,,,
55,07/17/24 06:00:00  PM,29.752,4650.0,,,,
56,07/17/24 07:00:00  PM,28.456,721.2,,,,
57,07/17/24 08:00:00  PM,27.075,452.1,,,,
58,07/17/24 09:00:00  PM,25.610,43.1,,,,
59,07/17/24 10:00:00  PM,24.158,0.0,,,,
60,07/17/24 11:00:00  PM,22.908,0.0,,,,
61,07/18/24 12:00:00  AM,21.855,0.0,,,,
62,07/18/24 01:00:00  AM,21.473,0.0,,,,
63,07/18/24 02:00:00  AM,21.091,0.0,,,,
64,07/18/24 03:00:00  AM,20.805,0.0,,,,
65,07/18/24 04:00:00  AM,20.615,0.0,,,,
66,07/18/24 05:00:00  AM,20.329,0.0,,,,
67,07/18/24 06:00:00  AM,20.138,43.1,,,,
68,07/18/24 07:00:00  AM,20.138,430.6,,,,
69,07/18/24 08:00:00  AM,20.996,3272.2,,,,
70,07/18/24 09:00:00  AM,22.333,5511.1,,,,
71,07/18/24 10:00:00  AM,23.004,6200.0,,,,
72,07/18/24 11:00:00  AM,23.773,7233.4,,,,
73,07/18/24 12:00:00  PM,24.448,3272.2,,,,
74,07/18/24 01:00:00  PM,25.708,5511.1,,,,
75,07/18/24 02:00:00  PM,26.879,26178.0,,,,
76,07/18/24 03:00:00  PM,26.683,9300.1,,,,
77,07/18/24 04:00:00  PM,27.961,16533.4,,,,
78,07/18/24 05:00:00  PM,28.159,9300.1,,,,
79,07/18/24 06:00:00  PM,26.977,3272.2,,,,
80,07/18/24 07:00:00  PM,25.708,1377.8,,,,
81,07/18/24 08:00:00  PM,24.351,430.6,,,,
82,07/18/24 09:00:00  PM,23.100,32.3,,,,
83,07/18/24 10:00:00  PM,22.238,0.0,,,,
84,07/18/24 11:00:00  PM,21.760,0.0,,,,
85,07/19/24 12:00:00  AM,21.187,0.0,,,,
86,07/19/24 01:00:00  AM,20.710,0.0,,,,
87,07/19/24 02:00:00  AM,20.329,0.0,,,,
88,07/19/24 03:00:00  AM,19.948,0.0,,,,
89,07/19/24 04:00:00  AM,19.662,0.0,,,,
90,07/19/24 05:00:00  AM,19.377,0.0,,,,
91,07/19/24 06:00:00  AM,19.092,43.1,,,,
92,07/19/24 07:00:00  AM,19.092,462.9,,,,
93,07/19/24 08:00:00  AM,19.948,3444.5,,,,
94,07/19/24 09:00:00  AM,21.378,4822.3,,,,
95,07/19/24 10:00:00  AM,23.196,6200.0,,,,
96,07/19/24 11:00:00  AM,25.319,8611.2,,,,
97,07/19/24 12:00:00  PM,27.272,12400.1,,,,
98,07/19/24 01:00:00  PM,28.853,15844.5,,,,
99,07/19/24 02:00:00  PM,29.853,20666.8,,,,
100,07/19/24 03:00:00  PM,30.457,16533.4,,,,
101,07/19/24 04:00:00  PM,30.054,18600.1,,,,
102,07/19/24 05:00:00  PM,30.356,15155.7,,,,
103,07/19/24 06:00:00  PM,29.252,6200.0,,,,
104,07/19/24 07:00:00  PM,27.961,688.9,,,,
105,07/19/24 08:00:00  PM,26.585,344.4,,,,
106,07/19/24 09:00:00  PM,25.319,32.3,,,,
107,07/19/24 10:00:00  PM,24.158,0.0,,,,
108,07/19/24 11:00:00  PM,23.100,0.0,,,,
109,07/20/24 12:00:00  AM,22.046,0.0,,,,
110,07/20/24 01:00:00  AM,21.187,0.0,,,,
111,07/20/24 02:00:00  AM,20.519,0.0,,,,
112,07/20/24 03:00:00  AM,20.519,0.0,,,,
113,07/20/24 04:00:00  AM,20.424,0.0,,,,
114,07/20/24 05:00:00  AM,20.329,0.0,,,,
115,07/20/24 06:00:00  AM,20.234,32.3,,,,
116,07/20/24 07:00:00  AM,20.329,473.6,,,,
117,07/20/24 08:00:00  AM,21.282,3272.2,,,,
118,07/20/24 09:00:00  AM,22.812,4822.3,,,,
119,07/20/24 10:00:00  AM,24.545,5511.1,,,,
120,07/20/24 11:00:00  AM,26.488,8266.7,,,,
121,07/20/24 12:00:00  PM,28.159,12400.1,,,,
122,07/20/24 01:00:00  PM,29.352,15155.7,,,,
123,07/20/24 02:00:00  PM,30.963,22044.6,,,,
124,07/20/24 03:00:00  PM,31.983,19289.0,,,,
125,07/20/24 04:00:00  PM,31.778,16533.4,,,,
126,07/20/24 05:00:00  PM,31.778,14466.8,,,,
127,07/20/24 06:00:00  PM,30.963,3100.0,,,,
128,07/20/24 07:00:00  PM,29.552,828.8,,,,
129,07/20/24 08:00:00  PM,28.258,968.8,,,,
130,07/20/24 09:00:00  PM,26.879,21.5,,,,
131,07/20/24 10:00:00  PM,25.513,0.0,,,,
132,07/20/24 11:00:00  PM,24.351,0.0,,,,
133,07/21/24 12:00:00  AM,23.388,0.0,,,,
134,07/21/24 01:00:00  AM,22.429,0.0,,,,
135,07/21/24 02:00:00  AM,21.664,0.0,,,,
136,07/21/24 03:00:00  AM,21.091,0.0,,,,
137,07/21/24 04:00:00  AM,20.519,0.0,,,,
138,07/21/24 05:00:00  AM,20.043,0.0,,,,
139,07/21/24 06:00:00  AM,19.758,10.8,,,,
140,07/21/24 07:00:00  AM,19.948,549.0,,,,
141,07/21/24 08:00:00  AM,20.234,1377.8,,,,
142,07/21/24 09:00:00  AM,21.187,3272.2,,,,
143,07/21/24 10:00:00  AM,23.196,6544.5,,,,
144,07/21/24 11:00:00  AM,24.158,10333.4,,,,
145,07/21/24 12:00:00  PM,25.708,9644.5,,,,
146,07/21/24 01:00:00  PM,27.272,2927.8,,,,
147,07/21/24 02:00:00  PM,28.853,4650.0,,,,
