"Plot Title: greenhouse_2"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,07/15/24 12:00:00  PM,23.196,6544.5,,,
2,07/15/24 01:00:00  PM,24.738,7577.8,,,
3,07/15/24 02:00:00  PM,25.805,3100.0,,,
4,07/15/24 03:00:00  PM,27.272,6544.5,,,
5,07/15/24 04:00:00  PM,29.053,4822.3,,,
6,07/15/24 05:00:00  PM,30.558,4477.8,,,
7,07/15/24 06:00:00  PM,31.268,2411.1,,,
8,07/15/24 07:00:00  PM,31.166,495.1,,,
9,07/15/24 08:00:00  PM,30.659,215.3,,,
10,07/15/24 09:00:00  PM,30.054,32.3,,,
11,07/15/24 10:00:00  PM,29.352,0.0,,,
12,07/15/24 11:00:00  PM,28.754,0.0,,,
13,07/16/24 12:00:00  AM,28.357,0.0,,,
14,07/16/24 01:00:00  AM,27.862,0.0,,,
15,07/16/24 02:00:00  AM,27.665,0.0,,,
16,07/16/24 03:00:00  AM,27.468,0.0,,,
17,07/16/24 04:00:00  AM,27.272,0.0,,,
18,07/16/24 05:00:00  AM,27.075,0.0,,,
19,07/16/24 06:00:00  AM,26.977,0.0,,,
20,07/16/24 07:00:00  AM,26.977,344.4,,,
21,07/16/24 08:00:00  AM,26.977,43.1,,,
22,07/16/24 09:00:00  AM,27.468,9644.5,,,
23,07/16/24 10:00:00  AM,27.173,161.5,,,
24,07/16/24 11:00:00  AM,26.879,1463.9,,,
25,07/16/24 12:00:00  PM,27.862,6200.0,,,
26,07/16/24 01:00:00  PM,30.154,12400.1,,,
27,07/16/24 02:00:00  PM,32.188,13777.9,,,
28,07/16/24 03:00:00  PM,33.222,8611.2,,,
29,07/16/24 04:00:00  PM,33.639,5511.1,,,
30,07/16/24 05:00:00  PM,32.291,247.6,,,
31,07/16/24 06:00:00  PM,31.472,3961.1,,,
32,07/16/24 07:00:00  PM,30.963,1463.9,,,
33,07/16/24 08:00:00  PM,30.255,602.8,,,
34,07/16/24 09:00:00  PM,29.652,53.8,,,
35,07/16/24 10:00:00  PM,29.252,0.0,,,
36,07/16/24 11:00:00  PM,28.754,0.0,,,
37,07/17/24 12:00:00  AM,28.357,0.0,,,
38,07/17/24 01:00:00  AM,27.764,0.0,,,
39,07/17/24 02:00:00  AM,27.370,0.0,,,
40,07/17/24 03:00:00  AM,26.977,0.0,,,
41,07/17/24 04:00:00  AM,26.488,0.0,,,
42,07/17/24 05:00:00  AM,26.000,0.0,,,
43,07/17/24 06:00:00  AM,25.513,10.8,,,
44,07/17/24 07:00:00  AM,25.222,161.5,,,
45,07/17/24 08:00:00  AM,25.222,1550.0,,,
46,07/17/24 09:00:00  AM,25.610,3444.5,,,
47,07/17/24 10:00:00  AM,27.173,4650.0,,,
48,07/17/24 11:00:00  AM,28.853,9644.5,,,
49,07/17/24 12:00:00  PM,31.064,8611.2,,,
50,07/17/24 01:00:00  PM,31.983,7577.8,,,
51,07/17/24 02:00:00  PM,32.911,7577.8,,,
