"Plot Title: greenhouse_3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316955, SEN S/N: 10316955)","Intensity, Lux (LGR S/N: 10316955, SEN S/N: 10316955)","Coupler Attached (LGR S/N: 10316955)","Host Connected (LGR S/N: 10316955)","Stopped (LGR S/N: 10316955)","End Of File (LGR S/N: 10316955)"
1,07/15/24 12:00:00  PM,23.388,8266.7,,,,
2,07/15/24 01:00:00  PM,25.319,9300.1,,,,
3,07/15/24 02:00:00  PM,26.097,3616.7,,,,
4,07/15/24 03:00:00  PM,27.764,8611.2,,,,
5,07/15/24 04:00:00  PM,29.452,5511.1,,,,
6,07/15/24 05:00:00  PM,30.963,9644.5,,,,
7,07/15/24 06:00:00  PM,31.370,2755.6,,,,
8,07/15/24 07:00:00  PM,31.064,592.0,,,,
9,07/15/24 08:00:00  PM,30.558,269.1,,,,
10,07/15/24 09:00:00  PM,29.853,43.1,,,,
11,07/15/24 10:00:00  PM,29.252,0.0,,,,
12,07/15/24 11:00:00  PM,28.655,0.0,,,,
13,07/16/24 12:00:00  AM,28.258,0.0,,,,
14,07/16/24 01:00:00  AM,27.862,0.0,,,,
15,07/16/24 02:00:00  AM,27.567,0.0,,,,
16,07/16/24 03:00:00  AM,27.370,0.0,,,,
17,07/16/24 04:00:00  AM,27.272,0.0,,,,
18,07/16/24 05:00:00  AM,27.075,0.0,,,,
19,07/16/24 06:00:00  AM,26.977,0.0,,,,
20,07/16/24 07:00:00  AM,26.977,398.3,,,,
21,07/16/24 08:00:00  AM,26.977,53.8,,,,
22,07/16/24 09:00:00  AM,27.665,10333.4,,,,
23,07/16/24 10:00:00  AM,27.370,204.5,,,,
24,07/16/24 11:00:00  AM,26.879,1808.3,,,,
25,07/16/24 12:00:00  PM,28.159,8266.7,,,,
26,07/16/24 01:00:00  PM,30.862,13777.9,,,,
27,07/16/24 02:00:00  PM,32.807,14466.8,,,,
28,07/16/24 03:00:00  PM,33.639,10677.8,,,,
29,07/16/24 04:00:00  PM,34.479,13089.0,,,,
30,07/16/24 05:00:00  PM,33.118,279.9,,,,
31,07/16/24 06:00:00  PM,31.983,4477.8,,,,
32,07/16/24 07:00:00  PM,31.370,1722.2,,,,
33,07/16/24 08:00:00  PM,30.659,742.7,,,,
34,07/16/24 09:00:00  PM,30.054,64.6,,,,
35,07/16/24 10:00:00  PM,29.152,0.0,,,,
36,07/16/24 11:00:00  PM,28.754,0.0,,,,
37,07/17/24 12:00:00  AM,28.357,0.0,,,,
38,07/17/24 01:00:00  AM,27.961,0.0,,,,
39,07/17/24 02:00:00  AM,27.567,0.0,,,,
40,07/17/24 03:00:00  AM,27.272,0.0,,,,
41,07/17/24 04:00:00  AM,26.781,0.0,,,,
42,07/17/24 05:00:00  AM,26.390,0.0,,,,
43,07/17/24 06:00:00  AM,26.000,10.8,,,,
44,07/17/24 07:00:00  AM,25.610,215.3,,,,
45,07/17/24 08:00:00  AM,25.610,1980.6,,,,
46,07/17/24 09:00:00  AM,26.097,3444.5,,,,
47,07/17/24 10:00:00  AM,27.862,9300.1,,,,
48,07/17/24 11:00:00  AM,29.652,14466.8,,,,
49,07/17/24 12:00:00  PM,31.880,12400.1,,,,
50,07/17/24 01:00:00  PM,32.600,7577.8,,,,
51,07/17/24 02:00:00  PM,33.430,7577.8,,,,
52,07/17/24 03:00:00  PM,34.268,9300.1,,,,
53,07/17/24 04:00:00  PM,34.163,12400.1,,,,
54,07/17/24 05:00:00  PM,33.953,6544.5,,,,
55,07/17/24 06:00:00  PM,33.535,2583.4,,,,
56,07/17/24 07:00:00  PM,32.291,538.2,,,,
57,07/17/24 08:00:00  PM,30.963,387.5,,,,
58,07/17/24 09:00:00  PM,29.853,43.1,,,,
59,07/17/24 10:00:00  PM,28.655,0.0,,,,
60,07/17/24 11:00:00  PM,27.468,0.0,,,,
61,07/18/24 12:00:00  AM,26.488,0.0,,,,
62,07/18/24 01:00:00  AM,26.195,0.0,,,,
63,07/18/24 02:00:00  AM,25.902,0.0,,,,
64,07/18/24 03:00:00  AM,25.610,0.0,,,,
65,07/18/24 04:00:00  AM,25.513,0.0,,,,
66,07/18/24 05:00:00  AM,25.319,0.0,,,,
67,07/18/24 06:00:00  AM,25.028,64.6,,,,
68,07/18/24 07:00:00  AM,25.125,484.4,,,,
69,07/18/24 08:00:00  AM,25.805,3100.0,,,,
70,07/18/24 09:00:00  AM,27.272,8266.7,,,,
71,07/18/24 10:00:00  AM,29.152,63378.2,,,,
72,07/18/24 11:00:00  AM,29.053,8266.7,,,,
73,07/18/24 12:00:00  PM,29.452,3444.5,,,,
74,07/18/24 01:00:00  PM,30.356,5166.7,,,,
75,07/18/24 02:00:00  PM,31.064,15155.7,,,,
76,07/18/24 03:00:00  PM,30.862,7577.8,,,,
77,07/18/24 04:00:00  PM,31.778,19289.0,,,,
78,07/18/24 05:00:00  PM,32.086,10677.8,,,,
79,07/18/24 06:00:00  PM,31.064,3272.2,,,,
80,07/18/24 07:00:00  PM,29.953,1270.1,,,,
81,07/18/24 08:00:00  PM,28.655,430.6,,,,
82,07/18/24 09:00:00  PM,27.468,43.1,,,,
83,07/18/24 10:00:00  PM,26.683,10.8,,,,
84,07/18/24 11:00:00  PM,26.292,0.0,,,,
85,07/19/24 12:00:00  AM,25.805,0.0,,,,
86,07/19/24 01:00:00  AM,25.513,0.0,,,,
87,07/19/24 02:00:00  AM,25.125,0.0,,,,
88,07/19/24 03:00:00  AM,24.835,0.0,,,,
89,07/19/24 04:00:00  AM,24.545,0.0,,,,
90,07/19/24 05:00:00  AM,24.255,0.0,,,,
91,07/19/24 06:00:00  AM,24.062,64.6,,,,
92,07/19/24 07:00:00  AM,24.062,527.4,,,,
93,07/19/24 08:00:00  AM,24.641,3100.0,,,,
94,07/19/24 09:00:00  AM,26.000,5511.1,,,,
95,07/19/24 10:00:00  AM,28.159,11711.2,,,,
96,07/19/24 11:00:00  AM,29.853,14466.8,,,,
97,07/19/24 12:00:00  PM,31.370,15844.5,,,,
98,07/19/24 01:00:00  PM,32.497,15844.5,,,,
99,07/19/24 02:00:00  PM,33.014,16533.4,,,,
100,07/19/24 03:00:00  PM,33.118,9300.1,,,,
101,07/19/24 04:00:00  PM,32.911,10333.4,,,,
102,07/19/24 05:00:00  PM,32.704,7233.4,,,,
103,07/19/24 06:00:00  PM,31.880,3788.9,,,,
104,07/19/24 07:00:00  PM,30.760,602.8,,,,
105,07/19/24 08:00:00  PM,29.452,333.7,,,,
106,07/19/24 09:00:00  PM,28.357,32.3,,,,
107,07/19/24 10:00:00  PM,27.173,0.0,,,,
108,07/19/24 11:00:00  PM,26.195,0.0,,,,
109,07/20/24 12:00:00  AM,25.319,0.0,,,,
110,07/20/24 01:00:00  AM,24.641,0.0,,,,
111,07/20/24 02:00:00  AM,24.158,0.0,,,,
112,07/20/24 03:00:00  AM,24.158,0.0,,,,
113,07/20/24 04:00:00  AM,24.351,0.0,,,,
114,07/20/24 05:00:00  AM,24.448,0.0,,,,
115,07/20/24 06:00:00  AM,24.351,43.1,,,,
116,07/20/24 07:00:00  AM,24.545,592.0,,,,
117,07/20/24 08:00:00  AM,25.416,3961.1,,,,
118,07/20/24 09:00:00  AM,26.879,8611.2,,,,
119,07/20/24 10:00:00  AM,28.853,10333.4,,,,
120,07/20/24 11:00:00  AM,30.558,13777.9,,,,
121,07/20/24 12:00:00  PM,31.983,14466.8,,,,
122,07/20/24 01:00:00  PM,32.807,16533.4,,,,
123,07/20/24 02:00:00  PM,33.848,17911.2,,,,
124,07/20/24 03:00:00  PM,34.374,9300.1,,,,
125,07/20/24 04:00:00  PM,34.374,8611.2,,,,
126,07/20/24 05:00:00  PM,34.163,5338.9,,,,
127,07/20/24 06:00:00  PM,33.535,2497.2,,,,
128,07/20/24 07:00:00  PM,32.291,721.2,,,,
129,07/20/24 08:00:00  PM,30.963,947.2,,,,
130,07/20/24 09:00:00  PM,29.652,21.5,,,,
131,07/20/24 10:00:00  PM,28.456,0.0,,,,
132,07/20/24 11:00:00  PM,27.468,0.0,,,,
133,07/21/24 12:00:00  AM,26.585,0.0,,,,
134,07/21/24 01:00:00  AM,25.805,0.0,,,,
135,07/21/24 02:00:00  AM,25.319,0.0,,,,
136,07/21/24 03:00:00  AM,24.835,0.0,,,,
137,07/21/24 04:00:00  AM,24.351,0.0,,,,
138,07/21/24 05:00:00  AM,23.966,0.0,,,,
139,07/21/24 06:00:00  AM,23.773,21.5,,,,
140,07/21/24 07:00:00  AM,23.966,667.4,,,,
141,07/21/24 08:00:00  AM,24.351,1463.9,,,,
142,07/21/24 09:00:00  AM,25.319,4305.6,,,,
143,07/21/24 10:00:00  AM,27.468,8611.2,,,,
144,07/21/24 11:00:00  AM,28.456,12400.1,,,,
145,07/21/24 12:00:00  PM,29.853,13089.0,,,,
146,07/21/24 01:00:00  PM,31.370,3272.2,,,,
147,07/21/24 02:00:00  PM,32.704,4650.0,,,,
148,07/21/24 03:00:00  PM,34.374,9644.5,,,,
149,07/21/24 04:00:00  PM,35.009,8611.2,,,,
150,07/21/24 05:00:00  PM,33.743,1894.5,,,,
151,07/21/24 06:00:00  PM,33.326,2927.8,,,,
152,07/21/24 07:00:00  PM,32.497,1130.2,,,,
153,07/21/24 08:00:00  PM,31.472,549.0,,,,
154,07/21/24 09:00:00  PM,30.356,32.3,,,,
155,07/21/24 10:00:00  PM,29.252,0.0,,,,
156,07/21/24 11:00:00  PM,28.258,0.0,,,,
157,07/22/24 12:00:00  AM,27.272,0.0,,,,
158,07/22/24 01:00:00  AM,26.390,0.0,,,,
159,07/22/24 02:00:00  AM,25.610,0.0,,,,
160,07/22/24 03:00:00  AM,24.931,0.0,,,,
161,07/22/24 04:00:00  AM,24.545,0.0,,,,
162,07/22/24 05:00:00  AM,24.738,0.0,,,,
163,07/22/24 06:00:00  AM,24.835,53.8,,,,
164,07/22/24 07:00:00  AM,24.931,785.8,,,,
165,07/22/24 08:00:00  AM,25.513,4133.4,,,,
166,07/22/24 09:00:00  AM,26.977,7233.4,,,,
167,07/22/24 10:00:00  AM,28.953,9644.5,,,,
168,07/22/24 11:00:00  AM,31.064,14466.8,,,,
169,07/22/24 12:00:00  PM,33.326,17222.3,,,,
170,07/22/24 01:00:00  PM,34.796,14466.8,,,,
171,07/22/24 02:00:00  PM,35.756,14466.8,,,,
