"Plot Title: greenhouse_6"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316953, SEN S/N: 10316953)","Intensity, Lux (LGR S/N: 10316953, SEN S/N: 10316953)","Bad Battery (LGR S/N: 10316953)","End Of File (LGR S/N: 10316953)"
1,07/15/24 12:00:00  PM,23.581,2238.9,,
2,07/15/24 01:00:00  PM,27.468,613.5,,
3,07/15/24 02:00:00  PM,26.977,269.1,,
4,07/15/24 03:00:00  PM,26.390,75.3,,
5,07/15/24 04:00:00  PM,25.708,21.5,,
6,07/15/24 05:00:00  PM,25.125,0.0,,
7,07/15/24 06:00:00  PM,24.545,0.0,,
8,07/15/24 07:00:00  PM,24.062,0.0,,
9,07/15/24 08:00:00  PM,23.773,0.0,,
10,07/15/24 09:00:00  PM,23.484,0.0,,
11,07/15/24 10:00:00  PM,23.292,0.0,,
12,07/15/24 11:00:00  PM,23.004,0.0,,
13,07/16/24 12:00:00  AM,22.908,0.0,,
14,07/16/24 01:00:00  AM,22.908,333.7,,
15,07/16/24 02:00:00  AM,22.908,96.9,,
16,07/16/24 03:00:00  AM,23.196,269.1,Logged,
17,07/16/24 04:00:00  AM,23.004,721.2,,
18,07/16/24 05:00:00  AM,30.154,850.4,,
19,07/16/24 06:00:00  AM,28.853,1894.5,,
20,07/16/24 07:00:00  AM,27.665,1550.0,,
21,07/16/24 08:00:00  AM,26.879,258.3,,
22,07/16/24 09:00:00  AM,26.292,21.5,,
23,07/16/24 10:00:00  AM,25.610,10.8,,
24,07/16/24 11:00:00  AM,25.125,0.0,,
25,07/16/24 12:00:00  PM,24.545,0.0,,
26,07/16/24 01:00:00  PM,23.966,0.0,,
27,07/16/24 02:00:00  PM,23.581,0.0,,
28,07/16/24 03:00:00  PM,23.100,0.0,,
29,07/16/24 04:00:00  PM,22.621,0.0,,
30,07/16/24 05:00:00  PM,22.142,0.0,,
31,07/16/24 06:00:00  PM,21.664,215.3,,
32,07/16/24 07:00:00  PM,21.378,828.8,,
33,07/16/24 08:00:00  PM,28.655,796.5,,
34,07/16/24 09:00:00  PM,27.468,376.7,,
35,07/16/24 10:00:00  PM,26.000,10.8,,
36,07/16/24 11:00:00  PM,24.738,0.0,,
37,07/17/24 12:00:00  AM,23.484,0.0,,
38,07/17/24 01:00:00  AM,22.525,0.0,,
39,07/17/24 02:00:00  AM,22.238,0.0,,
40,07/17/24 03:00:00  AM,21.855,0.0,,
41,07/17/24 04:00:00  AM,21.664,0.0,,
42,07/17/24 05:00:00  AM,21.378,0.0,,
43,07/17/24 06:00:00  AM,21.091,0.0,,
44,07/17/24 07:00:00  AM,20.996,139.9,,
45,07/17/24 08:00:00  AM,21.091,570.5,,
46,07/17/24 09:00:00  AM,26.781,1808.3,,
47,07/17/24 10:00:00  AM,25.513,538.2,,
48,07/17/24 11:00:00  AM,24.255,96.9,,
49,07/17/24 12:00:00  PM,23.292,0.0,,
50,07/17/24 01:00:00  PM,22.812,0.0,,
51,07/17/24 02:00:00  PM,22.333,0.0,,
52,07/17/24 03:00:00  PM,21.855,0.0,,
53,07/17/24 04:00:00  PM,21.569,0.0,,
