Plot Title: 4,,,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316906, SEN S/N: 10316906)","Intensity, Lux (LGR S/N: 10316906, SEN S/N: 10316906)",Coupler Detached (LGR S/N: 10316906),Coupler Attached (LGR S/N: 10316906),Host Connected (LGR S/N: 10316906),Stopped (LGR S/N: 10316906),End Of File (LGR S/N: 10316906)
1,05/18/22 12:02:34  PM,23.484,0,,,,,
2,05/18/22 12:02:40  PM,,,Logged,,,,
3,05/18/22 12:03:04  PM,23.581,215.3,,,,,
4,05/18/22 12:03:34  PM,23.581,215.3,,,,,
5,05/18/22 12:04:04  PM,23.484,172.2,,,,,
6,05/18/22 12:04:34  PM,23.484,215.3,,,,,
7,05/18/22 12:05:04  PM,23.388,215.3,,,,,
8,05/18/22 12:05:34  PM,23.388,215.3,,,,,
9,05/18/22 12:06:04  PM,23.292,10.8,,,,,
10,05/18/22 12:06:34  PM,23.388,10.8,,,,,
11,05/18/22 12:07:04  PM,23.484,1980.6,,,,,
12,05/18/22 12:07:34  PM,23.484,2066.7,,,,,
13,05/18/22 12:08:04  PM,23.196,2755.6,,,,,
14,05/18/22 12:08:34  PM,23.004,2927.8,,,,,
15,05/18/22 12:09:04  PM,22.717,2927.8,,,,,
16,05/18/22 12:09:34  PM,22.429,2238.9,,,,,
17,05/18/22 12:10:04  PM,22.142,2583.4,,,,,
18,05/18/22 12:10:34  PM,21.855,2238.9,,,,,
19,05/18/22 12:11:04  PM,21.569,2238.9,,,,,
20,05/18/22 12:11:34  PM,21.378,2755.6,,,,,
21,05/18/22 12:12:04  PM,21.091,3100,,,,,
22,05/18/22 12:12:34  PM,20.805,3444.5,,,,,
23,05/18/22 12:13:04  PM,20.615,3444.5,,,,,
24,05/18/22 12:13:34  PM,20.424,3272.2,,,,,
25,05/18/22 12:14:04  PM,20.234,2497.2,,,,,
26,05/18/22 12:14:34  PM,20.043,2066.7,,,,,
27,05/18/22 12:15:04  PM,19.853,2755.6,,,,,
28,05/18/22 12:15:34  PM,19.758,2755.6,,,,,
29,05/18/22 12:16:04  PM,19.567,2755.6,,,,,
30,05/18/22 12:16:34  PM,19.472,2497.2,,,,,
31,05/18/22 12:17:04  PM,19.282,1980.6,,,,,
32,05/18/22 12:17:34  PM,19.187,3100,,,,,
33,05/18/22 12:18:04  PM,19.092,1980.6,,,,,
34,05/18/22 12:18:34  PM,18.996,3444.5,,,,,
35,05/18/22 12:19:04  PM,18.901,3444.5,,,,,
36,05/18/22 12:19:34  PM,18.806,2755.6,,,,,
37,05/18/22 12:20:04  PM,18.711,3100,,,,,
38,05/18/22 12:20:34  PM,18.711,2152.8,,,,,
39,05/18/22 12:21:04  PM,18.616,2927.8,,,,,
40,05/18/22 12:21:34  PM,18.521,3272.2,,,,,
41,05/18/22 12:22:04  PM,18.426,1980.6,,,,,
42,05/18/22 12:22:34  PM,18.426,1980.6,,,,,
43,05/18/22 12:23:04  PM,18.331,2238.9,,,,,
44,05/18/22 12:23:34  PM,18.331,3444.5,,,,,
