"Plot Title: inc3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Detached (LGR S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","Stopped (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,06/02/22 01:59:11  PM,23.388,0.0,,,,,
2,06/02/22 01:59:15  PM,,,Logged,,,,
3,06/02/22 02:04:11  PM,24.255,2927.8,,,,,
4,06/02/22 02:09:11  PM,23.100,3272.2,,,,,
5,06/02/22 02:14:11  PM,22.429,3272.2,,,,,
6,06/02/22 02:19:11  PM,22.142,2927.8,,,,,
7,06/02/22 02:24:11  PM,22.046,3272.2,,,,,
8,06/02/22 02:29:11  PM,21.951,2755.6,,,,,
9,06/02/22 02:34:11  PM,21.951,3272.2,,,,,
10,06/02/22 02:39:11  PM,21.951,2927.8,,,,,
11,06/02/22 02:44:11  PM,21.951,2152.8,,,,,
12,06/02/22 02:49:11  PM,21.855,3272.2,,,,,
13,06/02/22 02:54:11  PM,21.855,2669.5,,,,,
14,06/02/22 02:59:11  PM,21.855,2238.9,,,,,
15,06/02/22 03:04:11  PM,21.855,3100.0,,,,,
16,06/02/22 03:09:11  PM,21.951,3272.2,,,,,
17,06/02/22 03:14:11  PM,21.855,2927.8,,,,,
18,06/02/22 03:19:11  PM,21.855,1894.5,,,,,
19,06/02/22 03:24:11  PM,21.855,2669.5,,,,,
20,06/02/22 03:29:11  PM,21.855,2583.4,,,,,
21,06/02/22 03:34:11  PM,21.855,1894.5,,,,,
22,06/02/22 03:39:11  PM,21.855,1980.6,,,,,
23,06/02/22 03:44:11  PM,21.855,2755.6,,,,,
24,06/02/22 03:49:11  PM,21.855,2927.8,,,,,
25,06/02/22 03:54:11  PM,21.855,3100.0,,,,,
26,06/02/22 03:59:11  PM,21.855,3272.2,,,,,
27,06/02/22 04:04:11  PM,21.855,3100.0,,,,,
28,06/02/22 04:09:11  PM,21.855,1808.3,,,,,
29,06/02/22 04:14:11  PM,21.951,2755.6,,,,,
30,06/02/22 04:19:11  PM,21.951,1980.6,,,,,
31,06/02/22 04:24:11  PM,21.855,2238.9,,,,,
32,06/02/22 04:29:11  PM,21.855,2152.8,,,,,
33,06/02/22 04:34:11  PM,21.951,2669.5,,,,,
34,06/02/22 04:39:11  PM,21.855,2152.8,,,,,
35,06/02/22 04:44:11  PM,21.951,3100.0,,,,,
36,06/02/22 04:49:11  PM,21.951,2152.8,,,,,
37,06/02/22 04:54:11  PM,21.951,2927.8,,,,,
38,06/02/22 04:59:11  PM,21.855,2066.7,,,,,
39,06/02/22 05:04:11  PM,21.951,1980.6,,,,,
40,06/02/22 05:09:11  PM,21.855,2152.8,,,,,
41,06/02/22 05:14:11  PM,21.855,2325.0,,,,,
42,06/02/22 05:19:11  PM,21.951,1808.3,,,,,
43,06/02/22 05:24:11  PM,21.855,1894.5,,,,,
44,06/02/22 05:29:11  PM,21.855,1894.5,,,,,
45,06/02/22 05:34:11  PM,21.855,1980.6,,,,,
46,06/02/22 05:39:11  PM,21.855,2152.8,,,,,
47,06/02/22 05:44:11  PM,21.855,1894.5,,,,,
48,06/02/22 05:49:11  PM,21.855,1894.5,,,,,
49,06/02/22 05:54:11  PM,21.855,2152.8,,,,,
50,06/02/22 05:59:11  PM,21.855,1808.3,,,,,
51,06/02/22 06:04:11  PM,21.855,2152.8,,,,,
52,06/02/22 06:09:11  PM,21.855,2152.8,,,,,
53,06/02/22 06:14:11  PM,21.855,2152.8,,,,,
54,06/02/22 06:19:11  PM,21.855,2669.5,,,,,
55,06/02/22 06:24:11  PM,21.855,2927.8,,,,,
56,06/02/22 06:29:11  PM,21.855,2669.5,,,,,
57,06/02/22 06:34:11  PM,21.855,3272.2,,,,,
58,06/02/22 06:39:11  PM,21.855,2325.0,,,,,
59,06/02/22 06:44:11  PM,21.855,3272.2,,,,,
60,06/02/22 06:49:11  PM,21.855,1980.6,,,,,
61,06/02/22 06:54:11  PM,21.951,2755.6,,,,,
62,06/02/22 06:59:11  PM,21.951,2325.0,,,,,
63,06/02/22 07:04:11  PM,21.951,2411.1,,,,,
64,06/02/22 07:09:11  PM,21.951,2152.8,,,,,
65,06/02/22 07:14:11  PM,21.951,2927.8,,,,,
66,06/02/22 07:19:11  PM,21.951,2497.2,,,,,
67,06/02/22 07:24:11  PM,21.951,2927.8,,,,,
68,06/02/22 07:29:11  PM,21.951,2927.8,,,,,
69,06/02/22 07:34:11  PM,21.951,3272.2,,,,,
70,06/02/22 07:39:11  PM,21.951,3272.2,,,,,
71,06/02/22 07:44:11  PM,21.951,2669.5,,,,,
72,06/02/22 07:49:11  PM,21.951,2152.8,,,,,
73,06/02/22 07:54:11  PM,21.951,1808.3,,,,,
74,06/02/22 07:59:11  PM,21.951,2238.9,,,,,
75,06/02/22 08:04:11  PM,21.951,3272.2,,,,,
76,06/02/22 08:09:11  PM,21.855,3272.2,,,,,
77,06/02/22 08:14:11  PM,21.855,3272.2,,,,,
78,06/02/22 08:19:11  PM,21.855,1808.3,,,,,
79,06/02/22 08:24:11  PM,21.951,2066.7,,,,,
80,06/02/22 08:29:11  PM,21.855,1980.6,,,,,
81,06/02/22 08:34:11  PM,21.855,3100.0,,,,,
82,06/02/22 08:39:11  PM,21.855,2238.9,,,,,
83,06/02/22 08:44:11  PM,21.855,3272.2,,,,,
84,06/02/22 08:49:11  PM,21.855,3100.0,,,,,
85,06/02/22 08:54:11  PM,21.855,3272.2,,,,,
86,06/02/22 08:59:11  PM,21.855,3272.2,,,,,
87,06/02/22 09:04:11  PM,21.855,3100.0,,,,,
88,06/02/22 09:09:11  PM,21.855,3272.2,,,,,
89,06/02/22 09:14:11  PM,21.855,3272.2,,,,,
90,06/02/22 09:19:11  PM,21.855,2583.4,,,,,
91,06/02/22 09:24:11  PM,21.855,2755.6,,,,,
92,06/02/22 09:29:11  PM,21.855,2238.9,,,,,
93,06/02/22 09:34:11  PM,21.855,3100.0,,,,,
94,06/02/22 09:39:11  PM,21.855,2927.8,,,,,
95,06/02/22 09:44:11  PM,21.855,2411.1,,,,,
96,06/02/22 09:49:11  PM,21.855,1894.5,,,,,
97,06/02/22 09:54:11  PM,21.855,3272.2,,,,,
98,06/02/22 09:59:11  PM,21.855,2152.8,,,,,
99,06/02/22 10:04:11  PM,21.569,0.0,,,,,
100,06/02/22 10:09:11  PM,21.282,0.0,,,,,
101,06/02/22 10:14:11  PM,20.901,0.0,,,,,
102,06/02/22 10:19:11  PM,20.710,0.0,,,,,
103,06/02/22 10:24:11  PM,20.615,0.0,,,,,
104,06/02/22 10:29:11  PM,20.615,0.0,,,,,
105,06/02/22 10:34:11  PM,20.519,0.0,,,,,
106,06/02/22 10:39:11  PM,20.519,0.0,,,,,
107,06/02/22 10:44:11  PM,20.519,0.0,,,,,
108,06/02/22 10:49:11  PM,20.615,0.0,,,,,
109,06/02/22 10:54:11  PM,20.615,0.0,,,,,
110,06/02/22 10:59:11  PM,20.615,0.0,,,,,
111,06/02/22 11:04:11  PM,20.615,0.0,,,,,
112,06/02/22 11:09:11  PM,20.615,0.0,,,,,
113,06/02/22 11:14:11  PM,20.615,0.0,,,,,
114,06/02/22 11:19:11  PM,20.710,0.0,,,,,
115,06/02/22 11:24:11  PM,20.710,0.0,,,,,
116,06/02/22 11:29:11  PM,20.710,0.0,,,,,
117,06/02/22 11:34:11  PM,20.710,0.0,,,,,
118,06/02/22 11:39:11  PM,20.710,0.0,,,,,
119,06/02/22 11:44:11  PM,20.710,0.0,,,,,
120,06/02/22 11:49:11  PM,20.710,0.0,,,,,
121,06/02/22 11:54:11  PM,20.710,0.0,,,,,
122,06/02/22 11:59:11  PM,20.710,0.0,,,,,
123,06/03/22 12:04:11  AM,20.710,0.0,,,,,
124,06/03/22 12:09:11  AM,20.710,0.0,,,,,
125,06/03/22 12:14:11  AM,20.710,0.0,,,,,
126,06/03/22 12:19:11  AM,20.710,0.0,,,,,
127,06/03/22 12:24:11  AM,20.710,0.0,,,,,
128,06/03/22 12:29:11  AM,20.710,0.0,,,,,
129,06/03/22 12:34:11  AM,20.710,0.0,,,,,
130,06/03/22 12:39:11  AM,20.710,0.0,,,,,
131,06/03/22 12:44:11  AM,20.710,0.0,,,,,
132,06/03/22 12:49:11  AM,20.710,0.0,,,,,
133,06/03/22 12:54:11  AM,20.710,0.0,,,,,
134,06/03/22 12:59:11  AM,20.710,0.0,,,,,
135,06/03/22 01:04:11  AM,20.710,0.0,,,,,
136,06/03/22 01:09:11  AM,20.710,0.0,,,,,
137,06/03/22 01:14:11  AM,20.710,0.0,,,,,
138,06/03/22 01:19:11  AM,20.710,0.0,,,,,
139,06/03/22 01:24:11  AM,20.710,0.0,,,,,
140,06/03/22 01:29:11  AM,20.710,0.0,,,,,
141,06/03/22 01:34:11  AM,20.710,0.0,,,,,
142,06/03/22 01:39:11  AM,20.710,0.0,,,,,
143,06/03/22 01:44:11  AM,20.710,0.0,,,,,
144,06/03/22 01:49:11  AM,20.710,0.0,,,,,
145,06/03/22 01:54:11  AM,20.710,0.0,,,,,
146,06/03/22 01:59:11  AM,20.710,0.0,,,,,
147,06/03/22 02:04:11  AM,20.710,0.0,,,,,
148,06/03/22 02:09:11  AM,20.710,0.0,,,,,
149,06/03/22 02:14:11  AM,20.710,0.0,,,,,
150,06/03/22 02:19:11  AM,20.710,0.0,,,,,
151,06/03/22 02:24:11  AM,20.710,0.0,,,,,
152,06/03/22 02:29:11  AM,20.710,0.0,,,,,
153,06/03/22 02:34:11  AM,20.710,0.0,,,,,
154,06/03/22 02:39:11  AM,20.710,0.0,,,,,
155,06/03/22 02:44:11  AM,20.710,0.0,,,,,
156,06/03/22 02:49:11  AM,20.710,0.0,,,,,
157,06/03/22 02:54:11  AM,20.710,0.0,,,,,
158,06/03/22 02:59:11  AM,20.710,0.0,,,,,
159,06/03/22 03:04:11  AM,20.710,0.0,,,,,
160,06/03/22 03:09:11  AM,20.710,0.0,,,,,
161,06/03/22 03:14:11  AM,20.710,0.0,,,,,
162,06/03/22 03:19:11  AM,20.710,0.0,,,,,
163,06/03/22 03:24:11  AM,20.710,0.0,,,,,
164,06/03/22 03:29:11  AM,20.710,0.0,,,,,
165,06/03/22 03:34:11  AM,20.710,0.0,,,,,
166,06/03/22 03:39:11  AM,20.710,0.0,,,,,
167,06/03/22 03:44:11  AM,20.710,0.0,,,,,
168,06/03/22 03:49:11  AM,20.710,0.0,,,,,
169,06/03/22 03:54:11  AM,20.710,0.0,,,,,
170,06/03/22 03:59:11  AM,20.710,0.0,,,,,
171,06/03/22 04:04:11  AM,20.710,0.0,,,,,
172,06/03/22 04:09:11  AM,20.710,0.0,,,,,
173,06/03/22 04:14:11  AM,20.710,0.0,,,,,
174,06/03/22 04:19:11  AM,20.710,0.0,,,,,
