"Plot Title: inc5"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,06/10/22 01:49:06  PM,22.525,0.0,,,,,
2,06/10/22 01:49:13  PM,,,Logged,,,,
3,06/10/22 01:54:06  PM,22.046,2238.9,,,,,
4,06/10/22 01:59:06  PM,21.282,2325.0,,,,,
5,06/10/22 02:04:06  PM,20.901,2152.8,,,,,
6,06/10/22 02:09:06  PM,20.710,2066.7,,,,,
7,06/10/22 02:14:06  PM,20.615,2238.9,,,,,
8,06/10/22 02:19:06  PM,20.519,1980.6,,,,,
9,06/10/22 02:24:06  PM,20.519,1302.4,,,,,
10,06/10/22 02:29:06  PM,20.519,1345.5,,,,,
11,06/10/22 02:34:06  PM,20.519,1808.3,,,,,
12,06/10/22 02:39:06  PM,20.519,1722.2,,,,,
13,06/10/22 02:44:06  PM,20.710,2755.6,,,,,
14,06/10/22 02:49:06  PM,20.615,2411.1,,,,,
15,06/10/22 02:54:06  PM,20.329,2755.6,,,,,
16,06/10/22 02:59:06  PM,20.043,2152.8,,,,,
17,06/10/22 03:04:06  PM,19.567,2066.7,,,,,
18,06/10/22 03:09:06  PM,19.187,2152.8,,,,,
19,06/10/22 03:14:06  PM,18.711,2583.4,,,,,
20,06/10/22 03:19:06  PM,18.236,3444.5,,,,,
21,06/10/22 03:24:06  PM,17.760,3788.9,,,,,
22,06/10/22 03:29:06  PM,17.379,3788.9,,,,,
23,06/10/22 03:34:06  PM,16.903,2755.6,,,,,
24,06/10/22 03:39:06  PM,16.523,3616.7,,,,,
25,06/10/22 03:44:06  PM,16.046,3100.0,,,,,
26,06/10/22 03:49:06  PM,15.760,2669.5,,,,,
27,06/10/22 03:54:06  PM,15.569,3444.5,,,,,
28,06/10/22 03:59:06  PM,15.473,3444.5,,,,,
29,06/10/22 04:04:06  PM,15.378,3444.5,,,,,
30,06/10/22 04:09:06  PM,15.378,2152.8,,,,,
31,06/10/22 04:14:06  PM,15.378,2238.9,,,,,
32,06/10/22 04:19:06  PM,15.378,3788.9,,,,,
33,06/10/22 04:24:06  PM,15.473,3272.2,,,,,
34,06/10/22 04:29:06  PM,15.473,3100.0,,,,,
35,06/10/22 04:34:06  PM,15.473,2066.7,,,,,
36,06/10/22 04:39:06  PM,15.473,2152.8,,,,,
37,06/10/22 04:44:06  PM,15.569,3272.2,,,,,
38,06/10/22 04:49:06  PM,15.569,3616.7,,,,,
39,06/10/22 04:54:06  PM,15.569,3444.5,,,,,
40,06/10/22 04:59:06  PM,15.569,2583.4,,,,,
41,06/10/22 05:04:06  PM,15.569,2066.7,,,,,
42,06/10/22 05:09:06  PM,15.569,3788.9,,,,,
43,06/10/22 05:14:06  PM,15.664,3444.5,,,,,
44,06/10/22 05:19:06  PM,15.664,2325.0,,,,,
45,06/10/22 05:24:06  PM,15.664,2152.8,,,,,
46,06/10/22 05:29:06  PM,15.664,2238.9,,,,,
47,06/10/22 05:34:06  PM,15.664,3788.9,,,,,
48,06/10/22 05:39:06  PM,15.664,3616.7,,,,,
49,06/10/22 05:44:06  PM,15.664,3444.5,,,,,
50,06/10/22 05:49:06  PM,15.664,3616.7,,,,,
51,06/10/22 05:54:06  PM,15.664,2583.4,,,,,
52,06/10/22 05:59:06  PM,15.664,3788.9,,,,,
53,06/10/22 06:04:06  PM,15.664,3444.5,,,,,
54,06/10/22 06:09:06  PM,15.664,3272.2,,,,,
55,06/10/22 06:14:06  PM,15.664,2238.9,,,,,
56,06/10/22 06:19:06  PM,15.664,2927.8,,,,,
57,06/10/22 06:24:06  PM,15.664,3788.9,,,,,
58,06/10/22 06:29:06  PM,15.664,2238.9,,,,,
59,06/10/22 06:34:06  PM,15.664,3788.9,,,,,
60,06/10/22 06:39:06  PM,15.664,2411.1,,,,,
61,06/10/22 06:44:06  PM,15.664,2497.2,,,,,
62,06/10/22 06:49:06  PM,15.664,3616.7,,,,,
63,06/10/22 06:54:06  PM,15.664,2583.4,,,,,
64,06/10/22 06:59:06  PM,15.664,3788.9,,,,,
65,06/10/22 07:04:06  PM,15.664,3272.2,,,,,
66,06/10/22 07:09:06  PM,15.664,2927.8,,,,,
67,06/10/22 07:14:06  PM,15.664,3444.5,,,,,
68,06/10/22 07:19:06  PM,15.664,3788.9,,,,,
69,06/10/22 07:24:06  PM,15.664,3100.0,,,,,
70,06/10/22 07:29:06  PM,15.664,3788.9,,,,,
71,06/10/22 07:34:06  PM,15.664,2583.4,,,,,
72,06/10/22 07:39:06  PM,15.664,3616.7,,,,,
73,06/10/22 07:44:06  PM,15.664,2152.8,,,,,
74,06/10/22 07:49:06  PM,15.664,3444.5,,,,,
75,06/10/22 07:54:06  PM,15.664,3100.0,,,,,
76,06/10/22 07:59:06  PM,15.664,2238.9,,,,,
77,06/10/22 08:04:06  PM,15.664,3788.9,,,,,
78,06/10/22 08:09:06  PM,15.664,3788.9,,,,,
79,06/10/22 08:14:06  PM,15.569,3100.0,,,,,
80,06/10/22 08:19:06  PM,15.664,3100.0,,,,,
81,06/10/22 08:24:06  PM,15.664,2066.7,,,,,
82,06/10/22 08:29:06  PM,15.664,3788.9,,,,,
83,06/10/22 08:34:06  PM,15.664,3100.0,,,,,
84,06/10/22 08:39:06  PM,15.664,2755.6,,,,,
85,06/10/22 08:44:06  PM,15.664,2152.8,,,,,
86,06/10/22 08:49:06  PM,15.664,3788.9,,,,,
87,06/10/22 08:54:06  PM,15.664,2152.8,,,,,
88,06/10/22 08:59:06  PM,15.664,3616.7,,,,,
89,06/10/22 09:04:06  PM,15.664,2411.1,,,,,
90,06/10/22 09:09:06  PM,15.664,3788.9,,,,,
91,06/10/22 09:14:06  PM,15.664,3616.7,,,,,
92,06/10/22 09:19:06  PM,15.664,2927.8,,,,,
93,06/10/22 09:24:06  PM,15.664,3444.5,,,,,
94,06/10/22 09:29:06  PM,15.664,3100.0,,,,,
95,06/10/22 09:34:06  PM,15.664,3616.7,,,,,
96,06/10/22 09:39:06  PM,15.569,2238.9,,,,,
97,06/10/22 09:44:06  PM,15.569,2755.6,,,,,
98,06/10/22 09:49:06  PM,15.569,3100.0,,,,,
99,06/10/22 09:54:06  PM,15.569,2152.8,,,,,
100,06/10/22 09:59:06  PM,15.569,2755.6,,,,,
101,06/10/22 10:04:06  PM,15.282,0.0,,,,,
102,06/10/22 10:09:06  PM,14.900,0.0,,,,,
103,06/10/22 10:14:06  PM,14.709,0.0,,,,,
104,06/10/22 10:19:06  PM,14.613,0.0,,,,,
105,06/10/22 10:24:06  PM,14.517,0.0,,,,,
106,06/10/22 10:29:06  PM,14.517,0.0,,,,,
107,06/10/22 10:34:06  PM,14.613,0.0,,,,,
108,06/10/22 10:39:06  PM,14.613,0.0,,,,,
109,06/10/22 10:44:06  PM,14.709,0.0,,,,,
110,06/10/22 10:49:06  PM,14.804,0.0,,,,,
111,06/10/22 10:54:06  PM,14.804,0.0,,,,,
112,06/10/22 10:59:06  PM,14.900,0.0,,,,,
113,06/10/22 11:04:06  PM,14.900,0.0,,,,,
114,06/10/22 11:09:06  PM,14.996,0.0,,,,,
115,06/10/22 11:14:06  PM,14.996,0.0,,,,,
116,06/10/22 11:19:06  PM,14.996,0.0,,,,,
117,06/10/22 11:24:06  PM,14.996,0.0,,,,,
118,06/10/22 11:29:06  PM,14.996,0.0,,,,,
119,06/10/22 11:34:06  PM,14.996,0.0,,,,,
120,06/10/22 11:39:06  PM,14.996,0.0,,,,,
121,06/10/22 11:44:06  PM,14.996,0.0,,,,,
122,06/10/22 11:49:06  PM,14.996,0.0,,,,,
123,06/10/22 11:54:06  PM,14.996,0.0,,,,,
124,06/10/22 11:59:06  PM,14.996,0.0,,,,,
125,06/11/22 12:04:06  AM,14.996,0.0,,,,,
126,06/11/22 12:09:06  AM,14.996,0.0,,,,,
127,06/11/22 12:14:06  AM,14.996,0.0,,,,,
128,06/11/22 12:19:06  AM,14.996,0.0,,,,,
129,06/11/22 12:24:06  AM,14.996,0.0,,,,,
130,06/11/22 12:29:06  AM,14.996,0.0,,,,,
131,06/11/22 12:34:06  AM,14.996,0.0,,,,,
132,06/11/22 12:39:06  AM,14.996,0.0,,,,,
133,06/11/22 12:44:06  AM,14.996,0.0,,,,,
134,06/11/22 12:49:06  AM,14.996,0.0,,,,,
135,06/11/22 12:54:06  AM,14.996,0.0,,,,,
136,06/11/22 12:59:06  AM,14.996,0.0,,,,,
137,06/11/22 01:04:06  AM,14.996,0.0,,,,,
138,06/11/22 01:09:06  AM,14.996,0.0,,,,,
139,06/11/22 01:14:06  AM,14.996,0.0,,,,,
140,06/11/22 01:19:06  AM,14.996,0.0,,,,,
141,06/11/22 01:24:06  AM,14.996,0.0,,,,,
142,06/11/22 01:29:06  AM,14.996,0.0,,,,,
143,06/11/22 01:34:06  AM,14.996,0.0,,,,,
144,06/11/22 01:39:06  AM,14.996,0.0,,,,,
145,06/11/22 01:44:06  AM,14.996,0.0,,,,,
146,06/11/22 01:49:06  AM,14.996,0.0,,,,,
147,06/11/22 01:54:06  AM,14.996,0.0,,,,,
148,06/11/22 01:59:06  AM,14.996,0.0,,,,,
149,06/11/22 02:04:06  AM,14.996,0.0,,,,,
150,06/11/22 02:09:06  AM,14.996,0.0,,,,,
151,06/11/22 02:14:06  AM,14.996,0.0,,,,,
152,06/11/22 02:19:06  AM,14.996,0.0,,,,,
153,06/11/22 02:24:06  AM,14.996,0.0,,,,,
154,06/11/22 02:29:06  AM,14.996,0.0,,,,,
155,06/11/22 02:34:06  AM,14.996,0.0,,,,,
156,06/11/22 02:39:06  AM,14.996,0.0,,,,,
157,06/11/22 02:44:06  AM,14.996,0.0,,,,,
158,06/11/22 02:49:06  AM,14.996,0.0,,,,,
159,06/11/22 02:54:06  AM,14.996,0.0,,,,,
160,06/11/22 02:59:06  AM,14.996,0.0,,,,,
161,06/11/22 03:04:06  AM,14.996,0.0,,,,,
