"Plot Title: 3"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316939, SEN S/N: 10316939)","Intensity, Lux (LGR S/N: 10316939, SEN S/N: 10316939)","Coupler Detached (LGR S/N: 10316939)","Coupler Attached (LGR S/N: 10316939)","Host Connected (LGR S/N: 10316939)","Stopped (LGR S/N: 10316939)","End Of File (LGR S/N: 10316939)"
1,05/18/22 12:02:11  PM,23.004,0.0,,,,,
2,05/18/22 12:02:16  PM,,,Logged,,,,
3,05/18/22 12:02:41  PM,23.100,193.8,,,,,
4,05/18/22 12:03:11  PM,23.100,204.5,,,,,
5,05/18/22 12:03:41  PM,23.100,204.5,,,,,
6,05/18/22 12:04:11  PM,23.100,193.8,,,,,
7,05/18/22 12:04:41  PM,23.100,193.8,,,,,
8,05/18/22 12:05:11  PM,23.100,204.5,,,,,
9,05/18/22 12:05:41  PM,23.100,204.5,,,,,
10,05/18/22 12:06:11  PM,23.100,64.6,,,,,
11,05/18/22 12:06:41  PM,23.196,139.9,,,,,
12,05/18/22 12:07:11  PM,23.196,1722.2,,,,,
13,05/18/22 12:07:41  PM,23.196,2755.6,,,,,
14,05/18/22 12:08:11  PM,23.004,2066.7,,,,,
15,05/18/22 12:08:41  PM,22.908,2497.2,,,,,
16,05/18/22 12:09:11  PM,22.812,2066.7,,,,,
17,05/18/22 12:09:41  PM,22.621,1980.6,,,,,
18,05/18/22 12:10:11  PM,22.525,2411.1,,,,,
19,05/18/22 12:10:41  PM,22.429,1808.3,,,,,
20,05/18/22 12:11:11  PM,22.333,1894.5,,,,,
21,05/18/22 12:11:41  PM,22.238,2238.9,,,,,
22,05/18/22 12:12:11  PM,22.142,2583.4,,,,,
23,05/18/22 12:12:41  PM,22.046,2927.8,,,,,
24,05/18/22 12:13:11  PM,21.951,3100.0,,,,,
25,05/18/22 12:13:41  PM,21.855,2669.5,,,,,
26,05/18/22 12:14:11  PM,21.760,2755.6,,,,,
27,05/18/22 12:14:41  PM,21.664,2669.5,,,,,
28,05/18/22 12:15:11  PM,21.664,3100.0,,,,,
29,05/18/22 12:15:41  PM,21.569,3100.0,,,,,
30,05/18/22 12:16:11  PM,21.569,3100.0,,,,,
31,05/18/22 12:16:41  PM,21.473,2152.8,,,,,
32,05/18/22 12:17:11  PM,21.473,2755.6,,,,,
33,05/18/22 12:17:41  PM,21.378,2755.6,,,,,
34,05/18/22 12:18:11  PM,21.378,2927.8,,,,,
35,05/18/22 12:18:41  PM,21.282,2497.2,,,,,
36,05/18/22 12:19:11  PM,21.282,2755.6,,,,,
37,05/18/22 12:19:41  PM,21.282,2411.1,,,,,
38,05/18/22 12:20:11  PM,21.282,2497.2,,,,,
39,05/18/22 12:20:41  PM,21.187,2325.0,,,,,
40,05/18/22 12:21:11  PM,21.187,1722.2,,,,,
41,05/18/22 12:21:41  PM,21.187,3100.0,,,,,
42,05/18/22 12:22:11  PM,21.187,1722.2,,,,,
43,05/18/22 12:22:41  PM,21.091,1808.3,,,,,
44,05/18/22 12:23:11  PM,21.091,2583.4,,,,,
45,05/18/22 12:23:41  PM,21.091,2927.8,,,,,
46,05/18/22 12:24:11  PM,21.091,1722.2,,,,,
47,05/18/22 12:24:41  PM,21.091,2927.8,,,,,
48,05/18/22 12:25:11  PM,21.091,2497.2,,,,,
49,05/18/22 12:25:41  PM,21.091,2411.1,,,,,
50,05/18/22 12:26:11  PM,21.187,2411.1,,,,,
51,05/18/22 12:26:41  PM,21.282,2066.7,,,,,
52,05/18/22 12:27:11  PM,21.282,2927.8,,,,,
53,05/18/22 12:27:41  PM,21.282,2927.8,,,,,
54,05/18/22 12:28:11  PM,21.378,2497.2,,,,,
55,05/18/22 12:28:41  PM,21.378,2755.6,,,,,
56,05/18/22 12:29:11  PM,21.378,3100.0,,,,,
57,05/18/22 12:29:41  PM,21.378,2927.8,,,,,
58,05/18/22 12:30:11  PM,21.378,2927.8,,,,,
59,05/18/22 12:30:41  PM,21.378,1894.5,,,,,
60,05/18/22 12:31:11  PM,21.282,3100.0,,,,,
61,05/18/22 12:31:41  PM,21.282,3100.0,,,,,
62,05/18/22 12:32:11  PM,21.282,2066.7,,,,,
63,05/18/22 12:32:41  PM,21.282,1722.2,,,,,
64,05/18/22 12:33:11  PM,21.282,2583.4,,,,,
65,05/18/22 12:33:41  PM,21.282,2325.0,,,,,
66,05/18/22 12:34:11  PM,21.282,2669.5,,,,,
67,05/18/22 12:34:41  PM,21.282,2755.6,,,,,
68,05/18/22 12:35:11  PM,21.282,2152.8,,,,,
69,05/18/22 12:35:41  PM,21.282,3100.0,,,,,
70,05/18/22 12:36:11  PM,21.282,2927.8,,,,,
71,05/18/22 12:36:41  PM,21.282,1980.6,,,,,
72,05/18/22 12:37:11  PM,21.282,1722.2,,,,,
73,05/18/22 12:37:41  PM,21.282,2325.0,,,,,
74,05/18/22 12:38:11  PM,21.282,2497.2,,,,,
75,05/18/22 12:38:41  PM,21.187,2669.5,,,,,
76,05/18/22 12:39:11  PM,21.187,3100.0,,,,,
77,05/18/22 12:39:41  PM,21.187,3100.0,,,,,
78,05/18/22 12:40:11  PM,21.187,2066.7,,,,,
79,05/18/22 12:40:41  PM,21.187,2927.8,,,,,
80,05/18/22 12:41:11  PM,21.187,2497.2,,,,,
81,05/18/22 12:41:41  PM,21.187,2411.1,,,,,
82,05/18/22 12:42:11  PM,21.187,2411.1,,,,,
83,05/18/22 12:42:41  PM,21.187,3100.0,,,,,
84,05/18/22 12:43:11  PM,21.187,2066.7,,,,,
85,05/18/22 12:43:41  PM,21.187,2497.2,,,,,
86,05/18/22 12:44:11  PM,21.187,1894.5,,,,,
87,05/18/22 12:44:41  PM,21.187,3100.0,,,,,
88,05/18/22 12:45:11  PM,21.187,1722.2,,,,,
89,05/18/22 12:45:41  PM,21.187,2583.4,,,,,
90,05/18/22 12:46:11  PM,21.187,2669.5,,,,,
91,05/18/22 12:46:41  PM,21.187,1722.2,,,,,
92,05/18/22 12:47:11  PM,21.187,2497.2,,,,,
93,05/18/22 12:47:41  PM,21.187,2927.8,,,,,
94,05/18/22 12:48:11  PM,21.187,2066.7,,,,,
95,05/18/22 12:48:41  PM,21.187,2927.8,,,,,
96,05/18/22 12:49:11  PM,21.187,2583.4,,,,,
97,05/18/22 12:49:41  PM,21.187,3100.0,,,,,
98,05/18/22 12:50:11  PM,21.187,3100.0,,,,,
99,05/18/22 12:50:41  PM,21.187,1894.5,,,,,
100,05/18/22 12:51:11  PM,21.187,3100.0,,,,,
101,05/18/22 12:51:41  PM,21.187,2066.7,,,,,
102,05/18/22 12:52:11  PM,21.187,2669.5,,,,,
103,05/18/22 12:52:41  PM,21.187,1808.3,,,,,
104,05/18/22 12:53:11  PM,21.187,1722.2,,,,,
105,05/18/22 12:53:41  PM,21.187,2411.1,,,,,
106,05/18/22 12:54:11  PM,21.282,1808.3,,,,,
107,05/18/22 12:54:41  PM,21.282,2411.1,,,,,
108,05/18/22 12:55:11  PM,21.282,3100.0,,,,,
109,05/18/22 12:55:41  PM,21.282,3100.0,,,,,
110,05/18/22 12:56:11  PM,21.282,3100.0,,,,,
111,05/18/22 12:56:41  PM,21.282,2238.9,,,,,
112,05/18/22 12:57:11  PM,21.282,1722.2,,,,,
113,05/18/22 12:57:41  PM,21.282,3100.0,,,,,
114,05/18/22 12:58:11  PM,21.282,3100.0,,,,,
115,05/18/22 12:58:41  PM,21.282,2152.8,,,,,
116,05/18/22 12:59:11  PM,21.282,2152.8,,,,,
117,05/18/22 12:59:41  PM,21.282,2583.4,,,,,
118,05/18/22 01:00:11  PM,21.282,2066.7,,,,,
119,05/18/22 01:00:41  PM,21.282,3100.0,,,,,
120,05/18/22 01:01:11  PM,21.282,1808.3,,,,,
121,05/18/22 01:01:41  PM,21.282,2927.8,,,,,
122,05/18/22 01:02:11  PM,21.282,3100.0,,,,,
