"Plot Title: inc5_aug24_2023"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10316940, SEN S/N: 10316940)","Intensity, Lux (LGR S/N: 10316940, SEN S/N: 10316940)","Coupler Detached (LGR S/N: 10316940)","Coupler Attached (LGR S/N: 10316940)","Host Connected (LGR S/N: 10316940)","Stopped (LGR S/N: 10316940)","End Of File (LGR S/N: 10316940)"
1,08/24/23 09:36:40  AM,18.616,0.0,,,,,
2,08/24/23 09:36:44  AM,,,Logged,,,,
3,08/24/23 10:36:40  AM,19.758,871.9,,,,,
4,08/24/23 11:36:40  AM,19.758,688.9,,,,,
5,08/24/23 12:36:40  PM,19.758,753.5,,,,,
6,08/24/23 01:36:40  PM,19.662,914.9,,,,,
7,08/24/23 02:36:40  PM,19.662,785.8,,,,,
8,08/24/23 03:36:40  PM,19.758,990.3,,,,,
9,08/24/23 04:36:40  PM,19.758,818.1,,,,,
10,08/24/23 05:36:40  PM,19.758,1011.8,,,,,
11,08/24/23 06:36:40  PM,19.758,656.6,,,,,
12,08/24/23 07:36:40  PM,19.853,678.1,,,,,
13,08/24/23 08:36:40  PM,19.853,688.9,,,,,
14,08/24/23 09:36:40  PM,19.853,990.3,,,,,
15,08/24/23 10:36:40  PM,19.567,0.0,,,,,
16,08/24/23 11:36:40  PM,20.138,0.0,,,,,
17,08/25/23 12:36:40  AM,20.138,0.0,,,,,
18,08/25/23 01:36:40  AM,20.234,0.0,,,,,
19,08/25/23 02:36:40  AM,20.234,0.0,,,,,
20,08/25/23 03:36:40  AM,20.234,0.0,,,,,
21,08/25/23 04:36:40  AM,20.138,0.0,,,,,
22,08/25/23 05:36:40  AM,20.138,0.0,,,,,
23,08/25/23 06:36:40  AM,20.329,947.2,,,,,
24,08/25/23 07:36:40  AM,19.853,602.8,,,,,
25,08/25/23 08:36:40  AM,19.758,624.3,,,,,
26,08/25/23 09:36:40  AM,19.758,559.7,,,,,
27,08/25/23 10:09:56  AM,,,,Logged,,,
28,08/25/23 10:10:02  AM,,,,,Logged,,
29,08/25/23 10:24:18  AM,,,Logged,,,,
30,08/25/23 10:36:40  AM,20.043,1636.1,,,,,
31,08/25/23 11:36:40  AM,19.948,1894.5,,,,,
32,08/25/23 12:36:40  PM,19.948,2583.4,,,,,
33,08/25/23 01:36:40  PM,19.853,2927.8,,,,,
34,08/25/23 02:36:40  PM,19.948,1808.3,,,,,
35,08/25/23 03:36:40  PM,19.948,1808.3,,,,,
36,08/25/23 04:36:40  PM,19.948,1722.2,,,,,
37,08/25/23 05:36:40  PM,19.948,1722.2,,,,,
38,08/25/23 06:36:40  PM,19.948,1980.6,,,,,
39,08/25/23 07:36:40  PM,20.043,2497.2,,,,,
40,08/25/23 08:36:40  PM,20.043,2755.6,,,,,
41,08/25/23 09:36:40  PM,20.043,2669.5,,,,,
42,08/25/23 10:36:40  PM,19.662,0.0,,,,,
43,08/25/23 11:36:40  PM,20.138,0.0,,,,,
44,08/26/23 12:36:40  AM,20.234,0.0,,,,,
45,08/26/23 01:36:40  AM,20.234,0.0,,,,,
46,08/26/23 02:36:40  AM,20.138,0.0,,,,,
47,08/26/23 03:36:40  AM,20.138,0.0,,,,,
48,08/26/23 04:36:40  AM,20.138,0.0,,,,,
49,08/26/23 05:36:40  AM,20.138,0.0,,,,,
50,08/26/23 06:36:40  AM,20.424,1808.3,,,,,
51,08/26/23 07:36:40  AM,20.043,2325.0,,,,,
52,08/26/23 08:36:40  AM,19.948,2669.5,,,,,
53,08/26/23 09:36:40  AM,20.043,2152.8,,,,,
54,08/26/23 10:36:40  AM,19.948,1636.1,,,,,
55,08/26/23 11:36:40  AM,20.043,2325.0,,,,,
56,08/26/23 12:36:40  PM,20.043,2927.8,,,,,
57,08/26/23 01:36:40  PM,20.043,1550.0,,,,,
58,08/26/23 02:36:40  PM,20.043,1894.5,,,,,
59,08/26/23 03:36:40  PM,20.043,1980.6,,,,,
60,08/26/23 04:36:40  PM,19.948,1636.1,,,,,
61,08/26/23 05:36:40  PM,20.043,2152.8,,,,,
62,08/26/23 06:36:40  PM,20.043,1550.0,,,,,
63,08/26/23 07:36:40  PM,20.043,2497.2,,,,,
64,08/26/23 08:36:40  PM,20.043,1722.2,,,,,
65,08/26/23 09:36:40  PM,20.043,2755.6,,,,,
66,08/26/23 10:36:40  PM,19.662,0.0,,,,,
67,08/26/23 11:36:40  PM,20.138,0.0,,,,,
68,08/27/23 12:36:40  AM,20.138,0.0,,,,,
69,08/27/23 01:36:40  AM,20.138,0.0,,,,,
70,08/27/23 02:36:40  AM,20.138,0.0,,,,,
71,08/27/23 03:36:40  AM,20.138,0.0,,,,,
72,08/27/23 04:36:40  AM,20.138,0.0,,,,,
73,08/27/23 05:36:40  AM,20.138,0.0,,,,,
74,08/27/23 06:36:40  AM,20.424,2669.5,,,,,
75,08/27/23 07:36:40  AM,20.043,2755.6,,,,,
76,08/27/23 08:36:40  AM,20.043,1550.0,,,,,
77,08/27/23 09:36:40  AM,20.043,1722.2,,,,,
78,08/27/23 10:36:40  AM,20.043,1980.6,,,,,
79,08/27/23 11:36:40  AM,20.043,2755.6,,,,,
80,08/27/23 12:36:40  PM,20.043,1722.2,,,,,
81,08/27/23 01:36:40  PM,20.043,2927.8,,,,,
82,08/27/23 02:36:40  PM,20.138,1550.0,,,,,
83,08/27/23 03:36:40  PM,20.043,2755.6,,,,,
84,08/27/23 04:36:40  PM,20.138,2325.0,,,,,
85,08/27/23 05:36:40  PM,20.138,2583.4,,,,,
86,08/27/23 06:36:40  PM,20.138,1894.5,,,,,
87,08/27/23 07:36:40  PM,20.043,2927.8,,,,,
88,08/27/23 08:36:40  PM,20.138,1636.1,,,,,
89,08/27/23 09:36:40  PM,20.138,1550.0,,,,,
90,08/27/23 10:36:40  PM,19.758,0.0,,,,,
91,08/27/23 11:36:40  PM,20.138,0.0,,,,,
92,08/28/23 12:36:40  AM,20.138,0.0,,,,,
93,08/28/23 01:36:40  AM,20.138,0.0,,,,,
94,08/28/23 02:36:40  AM,20.138,0.0,,,,,
95,08/28/23 03:36:40  AM,20.138,0.0,,,,,
96,08/28/23 04:36:40  AM,20.138,0.0,,,,,
97,08/28/23 05:36:40  AM,20.138,0.0,,,,,
98,08/28/23 06:36:40  AM,20.519,2755.6,,,,,
99,08/28/23 07:36:40  AM,20.043,2411.1,,,,,
100,08/28/23 08:36:40  AM,20.043,2583.4,,,,,
101,08/28/23 09:36:40  AM,20.043,2927.8,,,,,
102,08/28/23 10:36:40  AM,19.948,2927.8,,,,,
103,08/28/23 11:36:40  AM,20.043,2325.0,,,,,
104,08/28/23 12:36:40  PM,20.043,2755.6,,,,,
105,08/28/23 01:36:40  PM,19.758,2755.6,,,,,
106,08/28/23 02:36:40  PM,19.948,2152.8,,,,,
107,08/28/23 03:36:40  PM,19.948,2927.8,,,,,
108,08/28/23 04:36:40  PM,19.948,1550.0,,,,,
109,08/28/23 05:36:40  PM,19.948,1894.5,,,,,
110,08/28/23 06:36:40  PM,20.043,2755.6,,,,,
111,08/28/23 07:36:40  PM,20.043,2325.0,,,,,
112,08/28/23 08:36:40  PM,20.043,1980.6,,,,,
113,08/28/23 09:36:40  PM,20.043,2669.5,,,,,
114,08/28/23 10:36:40  PM,19.662,0.0,,,,,
115,08/28/23 11:36:40  PM,20.138,0.0,,,,,
116,08/29/23 12:36:40  AM,20.234,0.0,,,,,
117,08/29/23 01:36:40  AM,20.234,0.0,,,,,
118,08/29/23 02:36:40  AM,20.138,0.0,,,,,
119,08/29/23 03:36:40  AM,20.138,0.0,,,,,
120,08/29/23 04:36:40  AM,20.138,0.0,,,,,
121,08/29/23 05:36:40  AM,20.138,0.0,,,,,
122,08/29/23 06:36:40  AM,20.424,2669.5,,,,,
123,08/29/23 07:36:40  AM,19.853,2927.8,,,,,
124,08/29/23 08:36:40  AM,19.853,2583.4,,,,,
125,08/29/23 09:36:40  AM,19.948,2755.6,,,,,
126,08/29/23 10:36:40  AM,19.853,2152.8,,,,,
127,08/29/23 11:36:40  AM,19.948,2152.8,,,,,
128,08/29/23 12:36:40  PM,19.948,2755.6,,,,,
129,08/29/23 01:36:40  PM,19.948,2927.8,,,,,
130,08/29/23 02:36:40  PM,19.948,2927.8,,,,,
131,08/29/23 03:36:40  PM,19.948,2325.0,,,,,
132,08/29/23 04:36:40  PM,19.948,2411.1,,,,,
133,08/29/23 05:36:40  PM,19.853,2583.4,,,,,
134,08/29/23 06:36:40  PM,19.948,1636.1,,,,,
135,08/29/23 07:36:40  PM,19.948,1808.3,,,,,
136,08/29/23 08:36:40  PM,19.948,2325.0,,,,,
137,08/29/23 09:36:40  PM,19.948,1894.5,,,,,
138,08/29/23 10:36:40  PM,19.662,0.0,,,,,
139,08/29/23 11:36:40  PM,20.138,0.0,,,,,
140,08/30/23 12:36:40  AM,20.138,0.0,,,,,
141,08/30/23 01:36:40  AM,20.138,0.0,,,,,
142,08/30/23 02:36:40  AM,20.138,0.0,,,,,
143,08/30/23 03:36:40  AM,20.138,0.0,,,,,
144,08/30/23 04:36:40  AM,20.138,0.0,,,,,
145,08/30/23 05:36:40  AM,20.138,0.0,,,,,
146,08/30/23 06:36:40  AM,20.329,1636.1,,,,,
147,08/30/23 07:36:40  AM,19.853,2152.8,,,,,
148,08/30/23 08:36:40  AM,19.758,1894.5,,,,,
149,08/30/23 09:36:40  AM,19.853,2927.8,,,,,
150,08/30/23 10:36:40  AM,19.472,0.0,,,,,
151,08/30/23 11:36:40  AM,19.282,0.0,,,,,
152,08/30/23 12:36:40  PM,19.282,0.0,,,,,
153,08/30/23 01:36:40  PM,19.282,0.0,,,,,
154,08/30/23 02:36:40  PM,19.377,0.0,,,,,
155,08/30/23 03:36:40  PM,19.377,0.0,,,,,
156,08/30/23 04:36:40  PM,19.472,0.0,,,,,
157,08/30/23 05:36:40  PM,19.472,0.0,,,,,
158,08/30/23 06:36:40  PM,19.282,0.0,,,,,
159,08/30/23 07:36:40  PM,19.187,0.0,,,,,
160,08/30/23 08:36:40  PM,19.092,0.0,,,,,
161,08/30/23 09:36:40  PM,19.092,0.0,,,,,
162,08/30/23 10:36:40  PM,18.996,0.0,,,,,
163,08/30/23 11:36:40  PM,18.901,0.0,,,,,
164,08/31/23 12:36:40  AM,18.806,0.0,,,,,
165,08/31/23 01:36:40  AM,18.711,0.0,,,,,
166,08/31/23 02:36:40  AM,18.616,0.0,,,,,
167,08/31/23 03:36:40  AM,18.426,0.0,,,,,
168,08/31/23 04:36:40  AM,18.426,0.0,,,,,
169,08/31/23 05:36:40  AM,18.331,0.0,,,,,
170,08/31/23 06:36:40  AM,18.236,0.0,,,,,
171,08/31/23 07:36:40  AM,18.236,0.0,,,,,
172,08/31/23 08:36:40  AM,18.140,0.0,,,,,
173,08/31/23 09:36:40  AM,18.236,0.0,,,,,
174,08/31/23 10:36:40  AM,18.426,0.0,,,,,
175,08/31/23 11:36:40  AM,18.616,0.0,,,,,
176,08/31/23 12:36:40  PM,18.806,0.0,,,,,
177,08/31/23 01:36:40  PM,18.806,0.0,,,,,
178,08/31/23 02:36:40  PM,18.806,0.0,,,,,
