"Date","Time","Temperature","DateTime"
2006-06-01,"00:15:00",19.64,2006-06-01 00:15:00
2006-06-01,"00:30:00",19.67,2006-06-01 00:30:00
2006-06-01,"00:45:00",19.67,2006-06-01 00:45:00
2006-06-01,"01:00:00",19.68,2006-06-01 01:00:00
2006-06-01,"01:15:00",19.62,2006-06-01 01:15:00
2006-06-01,"01:30:00",19.5,2006-06-01 01:30:00
2006-06-01,"01:45:00",19.47,2006-06-01 01:45:00
2006-06-01,"02:00:00",19.58,2006-06-01 02:00:00
2006-06-01,"02:15:00",19.6,2006-06-01 02:15:00
2006-06-01,"02:30:00",19.65,2006-06-01 02:30:00
2006-06-01,"02:45:00",19.71,2006-06-01 02:45:00
2006-06-01,"03:00:00",19.65,2006-06-01 03:00:00
2006-06-01,"03:15:00",19.6,2006-06-01 03:15:00
2006-06-01,"03:30:00",19.58,2006-06-01 03:30:00
2006-06-01,"03:45:00",19.49,2006-06-01 03:45:00
2006-06-01,"04:00:00",19.39,2006-06-01 04:00:00
2006-06-01,"04:15:00",19.36,2006-06-01 04:15:00
2006-06-01,"04:30:00",19.31,2006-06-01 04:30:00
2006-06-01,"04:45:00",19.33,2006-06-01 04:45:00
2006-06-01,"05:00:00",19.28,2006-06-01 05:00:00
2006-06-01,"05:15:00",19.31,2006-06-01 05:15:00
2006-06-01,"05:30:00",19.27,2006-06-01 05:30:00
2006-06-01,"05:45:00",19.29,2006-06-01 05:45:00
2006-06-01,"06:00:00",19.28,2006-06-01 06:00:00
2006-06-01,"06:15:00",19.3,2006-06-01 06:15:00
2006-06-01,"06:30:00",19.3,2006-06-01 06:30:00
2006-06-01,"06:45:00",19.31,2006-06-01 06:45:00
2006-06-01,"07:00:00",19.28,2006-06-01 07:00:00
2006-06-01,"07:15:00",19.36,2006-06-01 07:15:00
2006-06-01,"07:30:00",19.45,2006-06-01 07:30:00
2006-06-01,"07:45:00",19.6,2006-06-01 07:45:00
2006-06-01,"08:00:00",19.6,2006-06-01 08:00:00
2006-06-01,"08:15:00",19.41,2006-06-01 08:15:00
2006-06-01,"08:30:00",19.47,2006-06-01 08:30:00
2006-06-01,"08:45:00",19.22,2006-06-01 08:45:00
2006-06-01,"09:00:00",17.8,2006-06-01 09:00:00
2006-06-01,"09:15:00",17.95,2006-06-01 09:15:00
2006-06-01,"09:30:00",18.3,2006-06-01 09:30:00
2006-06-01,"09:45:00",18.15,2006-06-01 09:45:00
2006-06-01,"10:00:00",18.22,2006-06-01 10:00:00
2006-06-01,"10:15:00",18.45,2006-06-01 10:15:00
