Before Handling Insects,,"Initials/Time
 Date",Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri
Water plants in growth chambers (greenhouse),,, ,,,,,,,,,,,,,,,
Collect plants from greenhouse for experiments,,,,,,,,,,,,,,,,,,
Put away dry dishes & discard broken/scratched,,,,,,,,,,,,,,,,,,
Water plants on grow cart,,,,,,,,,,,,,,,,,,
Plant for maintenance (1/2 tray per dorm) and experiments,,,,,,,,,,,,,,,,,,
Aphid Maintenance,,Time,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri
Change Aphid dorm (1st Monday of the month),,,,,,,,,,,,,,,,,,
Replace dirty trays (as necessary),,,,,,,,,,,,,,,,,,
Water aphid dorms (DO NOT OVERWATER),,,,,,,,,,,,,,,,,,
Add new plants to Aphid dorm (6 per tray),,,,,,,,,,,,,,,,,,
Lab Maintenance,,Time,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri
Replace all materials on shelves and in drawers,,,,,,,,,,,,,,,,,,
Wash all materials and place to dry,,,,,,,,,,,,,,,,,,
Run eyewash for 30s and record in Safety Binder (M),,,,,,,,,,,,,,,,,,
Discard/put away boxes/misplaced materials/garbage,,,,,,,,,,,,,,,,,,
Wipe out sinks and drain boards (1st M w vinegar),,,,,,,,,,,,,,,,,,
Wipe all counter tops and tidy up,,,,,,,,,,,,,,,,,,
Check that dorms are securely closed,,,,,,,,,,,,,,,,,,
Wipe and clean fridge (1st Fri) Defrost as necessary (1st Fri of semester),,,,,,,,,,,,,,,,,,
Sweep floor as necessary,,,,,,,,,,,,,,,,,,
Wash floor (2nd Fri),,,,,,,,,,,,,,,,,,
Email regarding supplies as needed,,,,,,,,,,,,,,,,,,
Aphid Experiments,,Time,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri
Aphid Prep,"Collect 4 pea plants from greenhouse, add 2 aphids to each plant and put in lab incubator at 20C",,,,,,,,,,,,,,,,,
,"After 24 hours, remove the adult aphids, leave nymphs to mature for 5 days",,,,, ,,,,,,,,,,,,
Start experiment as per experimental procedure document,,,,,, ,,,,,,,,,,,,
Complete experiment as per experimental procedure document,,,,,,,,,,,,,,,,,,
Duckweed Experiements,,TIme,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri,Mon,Wed,Thurs,Fri
Start experiment as per experimental procedure document,,,,,,,,,,,,,,,,,,
Complete experiment as per experimental procedure document,,,,,,,,,,,,,,,,,,
Remove dead Duckweed from the medium,,,,,,,,,,,,,,,,,,
Create new source culture (1st Monday of the month),,,,,,,,,,,,,,,,,,
Replace growth medium as needed,,,,,,,,,,,,,,,,,,
Add a solution of DI water and hoaglands solution to field duckweed,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
