Experiment_Number,Mean_Temp,Experiment_Start,Experiment_End,Profile_name,Autocorrelation,Incubator,Offspring_Plant1,Offspring_Plant2,Offspring_Plant3,Duckweed_Rep1,Duckweed_Rep2,Duckweed_Rep3,cat_1,cat_1_4,Program_mean,Obs_mean,Program_sd,Obs_sd,Program_ac,Obs_ac,Gaps,Gap_size,SA_initial_rep1,SA_initial_rep2,SA_initial_rep3,SA_final_rep1,SA_final_rep2,SA_final_rep3
26,27,7-Feb-21,12-Feb-21,simplelong_27_000_9,0,3,10,14,18,8,6,8,N/A,N/A,26.94915254,27.06086957,2.5512774,2.521100215,0.057542563,0.088778921,n,,,,,,,
26,27,7-Feb-21,12-Feb-21,simplelong_27_095_9,0.95,5,9,14,10,6,9,8,N,P,26.99152542,27.02375,2.572689446,2.634687969,0.902200213,0.933988945,n,,,,,,,
26,27,7-Feb-21,12-Feb-21,simplelong_27_095_rev_9,0.95,6,22,20,28,8,8,11,P,N,26.95508475,26.814,2.600939917,2.624092724,0.914829609,0.907751744,n,,,,,,,
53,15,5-Nov-21,10-Nov-21,Simplelong 15_095rev_06,0.95,4,0,3,2,5,6,6,N,P,15.04214876,14.97024793,2.535933492,2.529283318,0.926355991,0.928604695,n,,,,,,,
55,15,19-Nov-21,24-Nov-21,Simplelong15_095_06,0.95,2,12,19,17,4,5,6,P,N,15.0325,14.94916667,2.544335032,2.544692808,0.902829858,0.907825588,n,,,,,,,
55,15,19-Nov-21,24-Nov-21,Simplelong15_000_06,0,5,15,12,8,7,5,6,N/A,N/A,15.04710744,14.96446281,2.529528098,2.424660097,-0.009354022,0.047061601,n,,,,,,,
67,15,4-Mar-22,9-Mar-22,Simplelong15_000_8,0,4,8,7,13,4,5,5,N/A,N/A,15.04214876,14.98347107,2.530110408,2.444495419,0.001204153,0.057075794,n,,,,,,,
67,15,4-Mar-22,9-Mar-22,Simplelong15_095_8,0.95,5,,,,4,6,6,N,P,15.04214876,14.95867769,2.530110408,2.532741249,0.919113058,0.919748233,n,,,,,,,
67,15,4-Mar-22,9-Mar-22,Simplelong15_095rev_8,0.95,6,0,0,0,6,5,5,P,N,15.04214876,14.95123967,2.530110408,2.517774007,0.905559522,0.907919066,n,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_095_9,0.95,2,26,23,32,6,6,6,P,N,15.03719008,14.95785124,2.53565022,2.534487196,0.91119201,0.919703104,n,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_095rev_9,0.95,3,12,17,10,5,6,6,N,P,15.03719008,14.95619835,2.53565022,2.544303852,0.921483723,0.927271929,n,,,,,,,
68,15,11-Mar-22,16-Mar-22,Simplelong15_000_9,0,4,7,9,10,6,6,6,N/A,N/A,15.03719008,14.98099174,2.53565022,2.455854028,-0.015386876,0.052489358,n,,,,,,,
69,15,18-Mar-22,23-Mar-22,Simplelong15_095_10,0.95,2,,,,6,6,6,P,N,15.04793388,14.9661157,2.531406038,2.524531432,0.905666778,0.90964735,n,,0.19,0.174,0.166,0.291,0.216,0.216
69,15,18-Mar-22,23-Mar-22,Simplelong15_095rev_10,0.95,3,9,0,0,5,6,6,N,P,15.04793388,14.96,2.531406038,2.540905681,0.917902657,0.929308547,n,,0.184,0.197,0.168,0.228,0.251,0.214
69,15,18-Mar-22,23-Mar-22,Simplelong15_000_10,0,4,1,7,5,4,5,5,N/A,N/A,15.04793388,14.97355372,2.531406038,2.44692898,-0.005862879,0.027875003,n,,0.17,0.205,0.233,0.192,0.215,0.26
69,15,18-Mar-22,23-Mar-22,Simplelong15_095_11,0.95,5,17,10,0,5,5,5,P,P,15.03884298,14.95123967,2.533224951,2.547420777,0.894795491,0.905345186,n,,0.205,0.166,0.178,0.255,0.197,0.231
69,15,18-Mar-22,23-Mar-22,Simplelong15_095rev_11,0.95,6,,,,6,6,3,N,P,15.03884298,14.96280992,2.533224951,2.525045618,0.923786727,0.927990569,n,,0.221,0.146,0.189,0.293,0.187,0.214
71,15,1-Apr-22,6-Apr-22,Simplelong15_000_12,0,2,0,0,0,7,6,4,N/A,N/A,15.03719008,14.97272727,2.531341286,2.460961872,-0.000770611,0.042496437,n,,0.15,0.141,0.127,0.256,0.216,0.21
