"ambient","nw","all_day","time","order","random_variation"
26.8470094961277,29.4411428382689,30.0881904510252,11,1,30.4973927046605
29.5,31.25,32.5,12,2,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,3,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,4,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,5,34.108747180996
35,35,37.5,16,6,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,7,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,8,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,9,32.6733460059314
29.5,31.25,32.5,20,10,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,11,20
24,27.5,27.5,22,12,20
21.1529905038723,25.5588571617311,24.9118095489748,23,13,24.7113181652477
18.5,23.75,22.5,24,14,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,15,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,16,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,17,20.2923163956038
13,20,17.5,4,18,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,19,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,20,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,21,20.1691622694777
18.5,23.75,22.5,8,22,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,23,25.3242571456615
24,27.5,27.5,10,24,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,25,30.4973927046605
29.5,31.25,32.5,12,26,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,27,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,28,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,29,34.108747180996
35,35,37.5,16,30,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,31,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,32,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,33,32.6733460059314
29.5,31.25,32.5,20,34,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,35,20
24,27.5,27.5,22,36,20
21.1529905038723,25.5588571617311,24.9118095489748,23,37,24.7113181652477
18.5,23.75,22.5,24,38,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,39,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,40,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,41,20.2923163956038
13,20,17.5,4,42,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,43,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,44,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,45,20.1691622694777
18.5,23.75,22.5,8,46,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,47,25.3242571456615
24,27.5,27.5,10,48,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,49,30.4973927046605
29.5,31.25,32.5,12,50,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,51,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,52,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,53,34.108747180996
35,35,37.5,16,54,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,55,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,56,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,57,32.6733460059314
29.5,31.25,32.5,20,58,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,59,20
24,27.5,27.5,22,60,20
21.1529905038723,25.5588571617311,24.9118095489748,23,61,24.7113181652477
18.5,23.75,22.5,24,62,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,63,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,64,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,65,20.2923163956038
13,20,17.5,4,66,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,67,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,68,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,69,20.1691622694777
18.5,23.75,22.5,8,70,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,71,25.3242571456615
24,27.5,27.5,10,72,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,73,30.4973927046605
29.5,31.25,32.5,12,74,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,75,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,76,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,77,34.108747180996
35,35,37.5,16,78,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,79,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,80,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,81,32.6733460059314
29.5,31.25,32.5,20,82,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,83,20
24,27.5,27.5,22,84,20
21.1529905038723,25.5588571617311,24.9118095489748,23,85,24.7113181652477
18.5,23.75,22.5,24,86,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,87,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,88,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,89,20.2923163956038
13,20,17.5,4,90,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,91,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,92,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,93,20.1691622694777
18.5,23.75,22.5,8,94,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,95,25.3242571456615
24,27.5,27.5,10,96,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,97,30.4973927046605
29.5,31.25,32.5,12,98,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,99,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,100,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,101,34.108747180996
35,35,37.5,16,102,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,103,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,104,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,105,32.6733460059314
29.5,31.25,32.5,20,106,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,107,20
24,27.5,27.5,22,108,20
21.1529905038723,25.5588571617311,24.9118095489748,23,109,24.7113181652477
18.5,23.75,22.5,24,110,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,111,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,112,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,113,20.2923163956038
13,20,17.5,4,114,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,115,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,116,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,117,20.1691622694777
18.5,23.75,22.5,8,118,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,119,25.3242571456615
24,27.5,27.5,10,120,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,121,30.4973927046605
29.5,31.25,32.5,12,122,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,123,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,124,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,125,34.108747180996
35,35,37.5,16,126,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,127,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,128,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,129,32.6733460059314
29.5,31.25,32.5,20,130,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,131,20
24,27.5,27.5,22,132,20
21.1529905038723,25.5588571617311,24.9118095489748,23,133,24.7113181652477
18.5,23.75,22.5,24,134,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,135,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,136,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,137,20.2923163956038
13,20,17.5,4,138,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,139,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,140,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,141,20.1691622694777
18.5,23.75,22.5,8,142,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,143,25.3242571456615
24,27.5,27.5,10,144,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,145,30.4973927046605
29.5,31.25,32.5,12,146,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,147,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,148,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,149,34.108747180996
35,35,37.5,16,150,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,151,33.6112786775708
33.5262794416288,33.9951905283833,36.1602540378444,18,152,34.108747180996
31.778174593052,32.8033008588991,34.5710678118655,19,153,32.6733460059314
29.5,31.25,32.5,20,154,22.3016003615199
26.8470094961277,29.4411428382689,30.0881904510252,21,155,20
24,27.5,27.5,22,156,20
21.1529905038723,25.5588571617311,24.9118095489748,23,157,24.7113181652477
18.5,23.75,22.5,24,158,32.713682007514
16.221825406948,22.1966991411009,20.4289321881345,1,159,31.9251717928757
14.4737205583712,21.0048094716167,18.8397459621556,2,160,25.4485922574992
13.3748159108202,20.255556302832,17.8407417371093,3,161,20.2923163956038
13,20,17.5,4,162,31.1270574210935
13.3748159108202,20.255556302832,17.8407417371093,5,163,34.108747180996
14.4737205583712,21.0048094716167,18.8397459621556,6,164,28.714695285921
16.221825406948,22.1966991411009,20.4289321881345,7,165,20.1691622694777
18.5,23.75,22.5,8,166,33.247894135752
21.1529905038723,25.5588571617311,24.9118095489748,9,167,25.3242571456615
24,27.5,27.5,10,168,26.3068378023611
26.8470094961277,29.4411428382689,30.0881904510252,11,169,30.4973927046605
29.5,31.25,32.5,12,170,23.278134667959
31.778174593052,32.8033008588991,34.5710678118655,13,171,22.7645290144573
33.5262794416288,33.9951905283833,36.1602540378444,14,172,25.6429746906354
34.6251840891798,34.744443697168,37.1592582628907,15,173,34.108747180996
35,35,37.5,16,174,30.5021216560316
34.6251840891798,34.744443697168,37.1592582628907,17,175,33.6112786775708
