Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0127,,Measuring period,,2022-06-23 9:25:00 AM - 2022-06-23 11:58:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-06-23,09:25,20.1,20.0,,,
2022-06-23,09:26,20.1,19.9,,,
2022-06-23,09:27,20.1,19.9,,,
2022-06-23,09:28,20.0,19.8,,,
2022-06-23,09:29,20.0,19.8,,,
2022-06-23,09:30,20.0,19.8,,,
2022-06-23,09:31,20.0,19.7,,,
2022-06-23,09:32,20.0,19.7,,,
2022-06-23,09:33,19.8,19.6,,,
2022-06-23,09:34,19.8,19.6,,,
2022-06-23,09:35,19.7,19.6,,,
2022-06-23,09:36,19.7,19.5,,,
2022-06-23,09:37,19.7,19.5,,,
2022-06-23,09:38,19.7,19.4,,,
2022-06-23,09:39,19.7,19.4,,,
2022-06-23,09:40,19.7,19.4,,,
2022-06-23,09:41,19.5,19.3,,,
2022-06-23,09:42,19.3,19.3,,,
2022-06-23,09:43,19.3,19.2,,,
2022-06-23,09:44,19.3,19.2,,,
2022-06-23,09:45,19.3,19.2,,,
2022-06-23,09:46,19.3,19.1,,,
2022-06-23,09:47,19.3,19.1,,,
2022-06-23,09:48,19.3,19.0,,,
2022-06-23,09:49,19.2,19.0,,,
2022-06-23,09:50,19.2,19.0,,,
2022-06-23,09:51,19.2,18.9,,,
2022-06-23,09:52,19.2,18.9,,,
2022-06-23,09:53,19.1,18.8,,,
2022-06-23,09:54,19.0,18.8,,,
2022-06-23,09:55,19.0,18.8,,,
2022-06-23,09:56,19.0,18.7,,,
2022-06-23,09:57,18.8,18.7,,,
2022-06-23,09:58,18.7,18.6,,,
2022-06-23,09:59,18.7,18.6,,,
2022-06-23,10:00,18.7,18.6,,,
2022-06-23,10:01,18.7,18.5,,,
2022-06-23,10:02,18.6,18.5,,,
2022-06-23,10:03,18.6,18.4,,,
2022-06-23,10:04,18.6,18.4,,,
2022-06-23,10:05,18.6,18.4,,,
2022-06-23,10:06,18.5,18.3,,,
2022-06-23,10:07,18.3,18.3,,,
2022-06-23,10:08,18.3,18.2,,,
2022-06-23,10:09,18.2,18.2,,,
2022-06-23,10:10,18.2,18.2,,,
2022-06-23,10:11,18.2,18.1,,,
2022-06-23,10:12,18.2,18.1,,,
2022-06-23,10:13,18.2,18.0,,,
2022-06-23,10:14,18.2,18.0,,,
2022-06-23,10:15,18.1,18.0,,,
2022-06-23,10:16,18.0,17.9,,,
2022-06-23,10:17,18.0,17.9,,,
2022-06-23,10:18,17.8,17.8,,,
2022-06-23,10:19,17.8,17.8,,,
2022-06-23,10:20,17.8,17.8,,,
2022-06-23,10:21,17.8,17.7,,,
2022-06-23,10:22,17.7,17.7,,,
2022-06-23,10:23,17.7,17.6,,,
2022-06-23,10:24,17.7,17.6,,,
2022-06-23,10:25,17.6,17.6,,,
2022-06-23,10:26,17.6,17.6,,,
2022-06-23,10:27,17.5,17.6,,,
2022-06-23,10:28,17.5,17.6,,,
2022-06-23,10:29,17.5,17.6,,,
2022-06-23,10:30,17.3,17.7,,,
2022-06-23,10:31,17.3,17.7,,,
2022-06-23,10:32,17.3,17.7,,,
2022-06-23,10:33,17.3,17.7,,,
2022-06-23,10:34,17.3,17.7,,,
