Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0378,,Measuring period,,2022-06-23 9:29:00 AM - 2022-06-23 11:58:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-06-23,09:29,20.0,20.0,,,
2022-06-23,09:30,20.0,19.9,,,
2022-06-23,09:31,20.0,19.8,,,
2022-06-23,09:32,20.0,19.7,,,
2022-06-23,09:33,20.0,19.7,,,
2022-06-23,09:34,20.0,19.6,,,
2022-06-23,09:35,20.0,19.5,,,
2022-06-23,09:36,19.8,19.4,,,
2022-06-23,09:37,19.7,19.4,,,
2022-06-23,09:38,19.7,19.3,,,
2022-06-23,09:39,19.7,19.2,,,
2022-06-23,09:40,19.6,19.1,,,
2022-06-23,09:41,19.5,19.1,,,
2022-06-23,09:42,19.3,19.0,,,
2022-06-23,09:43,19.3,18.9,,,
2022-06-23,09:44,19.2,18.9,,,
2022-06-23,09:45,19.2,18.8,,,
2022-06-23,09:46,19.2,18.7,,,
2022-06-23,09:47,19.1,18.6,,,
2022-06-23,09:48,19.0,18.6,,,
2022-06-23,09:49,19.0,18.5,,,
2022-06-23,09:50,18.7,18.4,,,
2022-06-23,09:51,18.7,18.3,,,
2022-06-23,09:52,18.7,18.3,,,
2022-06-23,09:53,18.6,18.2,,,
2022-06-23,09:54,18.5,18.1,,,
2022-06-23,09:55,18.5,18.0,,,
2022-06-23,09:56,18.3,18.0,,,
2022-06-23,09:57,18.2,17.9,,,
2022-06-23,09:58,18.2,17.8,,,
2022-06-23,09:59,18.1,17.8,,,
2022-06-23,10:00,18.1,17.7,,,
2022-06-23,10:01,18.0,17.6,,,
2022-06-23,10:02,17.7,17.5,,,
2022-06-23,10:03,17.7,17.5,,,
2022-06-23,10:04,17.7,17.4,,,
2022-06-23,10:05,17.7,17.3,,,
2022-06-23,10:06,17.6,17.2,,,
2022-06-23,10:07,17.5,17.2,,,
2022-06-23,10:08,17.3,17.1,,,
2022-06-23,10:09,17.2,17.0,,,
2022-06-23,10:10,17.2,16.9,,,
2022-06-23,10:11,17.2,16.9,,,
2022-06-23,10:12,17.1,16.8,,,
2022-06-23,10:13,17.0,16.7,,,
2022-06-23,10:14,17.0,16.7,,,
2022-06-23,10:15,16.8,16.6,,,
2022-06-23,10:16,16.7,16.5,,,
2022-06-23,10:17,16.7,16.4,,,
2022-06-23,10:18,16.6,16.4,,,
2022-06-23,10:19,16.6,16.3,,,
2022-06-23,10:20,16.5,16.2,,,
2022-06-23,10:21,16.3,16.1,,,
2022-06-23,10:22,16.2,16.1,,,
2022-06-23,10:23,16.2,16.0,,,
2022-06-23,10:24,16.2,15.9,,,
2022-06-23,10:25,16.1,15.8,,,
2022-06-23,10:26,16.0,15.8,,,
2022-06-23,10:27,15.8,15.7,,,
2022-06-23,10:28,15.8,15.6,,,
