Company,,University of Waterloo,,Tested by,,
Experiment,,,,Probe ID,,
Ser.-No.,,R511.0378,,Measuring period,,2022-06-28 11:18:00 AM - 2022-06-28 11:47:00 AM
,,,,,,
,,,,,,
,,,,,,
Date,Time,Temp.,Set-,Alarm,Alarm,Alarm
,,,Point,Min.,Max.,Temp.
,,(°C),(°C),(°C),(°C),(°C)
,,,,,,
2022-06-28,11:18,25.0,20.0,,,
2022-06-28,11:19,25.0,20.0,,,
2022-06-28,11:20,25.1,20.0,,,
2022-06-28,11:21,25.1,20.0,,,
2022-06-28,11:22,25.1,20.0,,,
2022-06-28,11:23,25.1,20.0,,,
2022-06-28,11:24,25.1,20.0,,,
2022-06-28,11:25,25.1,20.0,,,
2022-06-28,11:26,25.1,20.0,,,
2022-06-28,11:27,25.1,20.0,,,
2022-06-28,11:28,25.1,20.0,,,
2022-06-28,11:29,25.1,20.0,,,
2022-06-28,11:30,25.1,20.0,,,
2022-06-28,11:31,25.1,20.0,,,
2022-06-28,11:32,25.1,20.0,,,
2022-06-28,11:33,25.1,20.0,,,
2022-06-28,11:34,25.1,20.0,,,
2022-06-28,11:35,25.1,20.0,,,
2022-06-28,11:36,25.1,20.0,,,
2022-06-28,11:37,25.1,20.0,,,
2022-06-28,11:38,25.1,20.1,,,
2022-06-28,11:39,25.1,20.1,,,
2022-06-28,11:40,25.1,20.1,,,
2022-06-28,11:41,25.1,20.1,,,
2022-06-28,11:42,25.1,20.1,,,
2022-06-28,11:43,25.1,20.1,,,
2022-06-28,11:44,25.1,20.1,,,
2022-06-28,11:45,25.1,20.1,,,
2022-06-28,11:46,25.1,20.1,,,
2022-06-28,11:47,25.1,20.1,,,
