"","control","nw","time","order"
"13",268.470094961277,294.411428382689,110,10
"14",295,312.5,120,20
"15",317.78174593052,328.033008588991,130,30
"16",335.262794416288,339.951905283833,140,40
"17",346.251840891798,347.44443697168,150,50
"18",350,350,160,60
"19",346.251840891798,347.44443697168,170,70
"20",335.262794416288,339.951905283833,180,80
"21",317.78174593052,328.033008588991,190,90
"22",295,312.5,200,100
"23",268.470094961277,294.411428382689,210,110
"24",240,275,220,120
"1",211.529905038723,255.588571617311,230,130
"2",185,237.5,240,140
"3",162.21825406948,221.966991411009,10,150
"4",144.737205583712,210.048094716167,20,160
"5",133.748159108202,202.55556302832,30,170
"6",130,200,40,180
"7",133.748159108202,202.55556302832,50,190
"8",144.737205583712,210.048094716167,60,200
"9",162.21825406948,221.966991411009,70,210
"10",185,237.5,80,220
"11",211.529905038723,255.588571617311,90,230
"12",240,275,100,240
"13.1",268.470094961277,294.411428382689,110,250
"14.1",295,312.5,120,260
"15.1",317.78174593052,328.033008588991,130,270
"16.1",335.262794416288,339.951905283833,140,280
"17.1",346.251840891798,347.44443697168,150,290
"18.1",350,350,160,300
"19.1",346.251840891798,347.44443697168,170,310
"20.1",335.262794416288,339.951905283833,180,320
"21.1",317.78174593052,328.033008588991,190,330
"22.1",295,312.5,200,340
"23.1",268.470094961277,294.411428382689,210,350
"24.1",240,275,220,360
"1.1",211.529905038723,255.588571617311,230,370
"2.1",185,237.5,240,380
"3.1",162.21825406948,221.966991411009,10,390
"4.1",144.737205583712,210.048094716167,20,400
"5.1",133.748159108202,202.55556302832,30,410
"6.1",130,200,40,420
"7.1",133.748159108202,202.55556302832,50,430
"8.1",144.737205583712,210.048094716167,60,440
"9.1",162.21825406948,221.966991411009,70,450
"10.1",185,237.5,80,460
"11.1",211.529905038723,255.588571617311,90,470
"12.1",240,275,100,480
"13.2",268.470094961277,294.411428382689,110,490
"14.2",295,312.5,120,500
"15.2",317.78174593052,328.033008588991,130,510
"16.2",335.262794416288,339.951905283833,140,520
"17.2",346.251840891798,347.44443697168,150,530
"18.2",350,350,160,540
"19.2",346.251840891798,347.44443697168,170,550
"20.2",335.262794416288,339.951905283833,180,560
"21.2",317.78174593052,328.033008588991,190,570
"22.2",295,312.5,200,580
"23.2",268.470094961277,294.411428382689,210,590
"24.2",240,275,220,600
"1.2",211.529905038723,255.588571617311,230,610
"2.2",185,237.5,240,620
"3.2",162.21825406948,221.966991411009,10,630
"4.2",144.737205583712,210.048094716167,20,640
"5.2",133.748159108202,202.55556302832,30,650
"6.2",130,200,40,660
"7.2",133.748159108202,202.55556302832,50,670
"8.2",144.737205583712,210.048094716167,60,680
"9.2",162.21825406948,221.966991411009,70,690
"10.2",185,237.5,80,700
"11.2",211.529905038723,255.588571617311,90,710
"12.2",240,275,100,720
"13.3",268.470094961277,294.411428382689,110,730
"14.3",295,312.5,120,740
"15.3",317.78174593052,328.033008588991,130,750
"16.3",335.262794416288,339.951905283833,140,760
"17.3",346.251840891798,347.44443697168,150,770
"18.3",350,350,160,780
"19.3",346.251840891798,347.44443697168,170,790
"20.3",335.262794416288,339.951905283833,180,800
"21.3",317.78174593052,328.033008588991,190,810
"22.3",295,312.5,200,820
"23.3",268.470094961277,294.411428382689,210,830
"24.3",240,275,220,840
"1.3",211.529905038723,255.588571617311,230,850
"2.3",185,237.5,240,860
"3.3",162.21825406948,221.966991411009,10,870
"4.3",144.737205583712,210.048094716167,20,880
"5.3",133.748159108202,202.55556302832,30,890
"6.3",130,200,40,900
"7.3",133.748159108202,202.55556302832,50,910
"8.3",144.737205583712,210.048094716167,60,920
"9.3",162.21825406948,221.966991411009,70,930
"10.3",185,237.5,80,940
"11.3",211.529905038723,255.588571617311,90,950
"12.3",240,275,100,960
"13.4",268.470094961277,294.411428382689,110,970
"14.4",295,312.5,120,980
"15.4",317.78174593052,328.033008588991,130,990
"16.4",335.262794416288,339.951905283833,140,1000
"17.4",346.251840891798,347.44443697168,150,1010
"18.4",350,350,160,1020
"19.4",346.251840891798,347.44443697168,170,1030
"20.4",335.262794416288,339.951905283833,180,1040
"21.4",317.78174593052,328.033008588991,190,1050
"22.4",295,312.5,200,1060
"23.4",268.470094961277,294.411428382689,210,1070
"24.4",240,275,220,1080
"1.4",211.529905038723,255.588571617311,230,1090
"2.4",185,237.5,240,1100
"3.4",162.21825406948,221.966991411009,10,1110
"4.4",144.737205583712,210.048094716167,20,1120
"5.4",133.748159108202,202.55556302832,30,1130
"6.4",130,200,40,1140
"7.4",133.748159108202,202.55556302832,50,1150
"8.4",144.737205583712,210.048094716167,60,1160
"9.4",162.21825406948,221.966991411009,70,1170
"10.4",185,237.5,80,1180
"11.4",211.529905038723,255.588571617311,90,1190
"12.4",240,275,100,1200
"13.5",268.470094961277,294.411428382689,110,1210
"14.5",295,312.5,120,1220
"15.5",317.78174593052,328.033008588991,130,1230
"16.5",335.262794416288,339.951905283833,140,1240
"17.5",346.251840891798,347.44443697168,150,1250
"18.5",350,350,160,1260
"19.5",346.251840891798,347.44443697168,170,1270
"20.5",335.262794416288,339.951905283833,180,1280
"21.5",317.78174593052,328.033008588991,190,1290
"22.5",295,312.5,200,1300
"23.5",268.470094961277,294.411428382689,210,1310
"24.5",240,275,220,1320
"1.5",211.529905038723,255.588571617311,230,1330
"2.5",185,237.5,240,1340
"3.5",162.21825406948,221.966991411009,10,1350
"4.5",144.737205583712,210.048094716167,20,1360
"5.5",133.748159108202,202.55556302832,30,1370
"6.5",130,200,40,1380
"7.5",133.748159108202,202.55556302832,50,1390
"8.5",144.737205583712,210.048094716167,60,1400
"9.5",162.21825406948,221.966991411009,70,1410
"10.5",185,237.5,80,1420
"11.5",211.529905038723,255.588571617311,90,1430
"12.5",240,275,100,1440
"13.6",268.470094961277,294.411428382689,110,1450
"14.6",295,312.5,120,1460
"15.6",317.78174593052,328.033008588991,130,1470
"16.6",335.262794416288,339.951905283833,140,1480
"17.6",346.251840891798,347.44443697168,150,1490
"18.6",350,350,160,1500
"19.6",346.251840891798,347.44443697168,170,1510
"20.6",335.262794416288,339.951905283833,180,1520
"21.6",317.78174593052,328.033008588991,190,1530
"22.6",295,312.5,200,1540
"23.6",268.470094961277,294.411428382689,210,1550
"24.6",240,275,220,1560
"1.6",211.529905038723,255.588571617311,230,1570
"2.6",185,237.5,240,1580
"3.6",162.21825406948,221.966991411009,10,1590
"4.6",144.737205583712,210.048094716167,20,1600
"5.6",133.748159108202,202.55556302832,30,1610
