,fname,program_mean,obs_mean,program_sd,obs_sd
1,e10inc2-summer-constant-24.xls,24.00,23.98,0.00,0.08
2,e10inc3-nw-27.5.xls,27.43,27.40,5.29,5.27
3,e10inc4-summer-constant-27.5.xls,27.50,27.49,0.00,0.05
4,e10inc6-summer-control-24.xls,23.91,23.89,7.77,7.75
5,e11inc2-summer-control-24.xls,23.95,23.93,7.78,7.77
6,e11inc3-summer-nw-27.5.xls,27.46,27.42,5.30,5.30
7,e11inc4-summer-constant-24.xls,24.00,23.99,0.00,0.05
8,e11inc6-summer-constant-27.5.xls,27.50,27.50,0.00,0.05
9,e12inc2-summer-control-24-joint.xls,23.89,23.86,7.56,7.52
10,e12inc3-summer-constant-24-joint.xls,23.73,23.72,1.00,1.00
11,e12inc4-summer-nw-27.5-joint.xls,27.09,27.06,5.45,5.43
12,e12inc6-summer-constant-27.5-joint.xls,26.99,26.99,1.88,1.88
13,e13inc2-summer-control-24.xls,23.95,23.93,7.78,7.78
14,e13inc3-summer-nw.xls,27.46,27.43,5.30,5.29
15,e13inc4-summer-constant-24.xls,24.00,23.99,0.00,0.05
16,e13inc6-summer-constant-27.5.xls,27.50,27.49,0.00,0.05
17,e14inc2-summer-nw-27.5.xls,27.46,27.43,5.31,5.32
18,e14inc3-summer-constant-27.5.xls,27.50,27.50,0.00,0.04
19,e14inc4-summer-control-24.xls,23.95,23.93,7.79,7.78
20,e14inc6-summer-constant-24.xls,24.00,23.99,0.00,0.05
21,e15inc2-summer-constant-27.5.xls,27.50,27.49,0.00,0.07
22,e15inc3-summer-constant-24.xls,24.00,23.99,0.00,0.05
23,e15inc4-summer-nw-27.5.xls,27.46,27.42,5.31,5.30
24,e15inc6-summer-control-24.xls,23.95,23.92,7.79,7.79
25,e9inc2-summer-constant-24-joint.xls,23.55,23.53,1.26,1.28
26,e9inc3-nw-27.5-joint.xls,26.53,26.52,5.50,5.49
27,e9inc4-summer-constant-27.5-joint.xls,26.66,26.65,2.37,2.38
28,e9inc6-summer-control-24-joint.xls,23.40,23.40,7.40,7.37
